node1,node2,combined_score,citation,citation_source
ARRB2,MAP2K1,0.944,PMC9854651,pmcid
ARRB2,FLNA,0.87,PMC9854651,pmcid
ARRB2,CHUK,0.715,PMC9854651,pmcid
ARRB2,KIR3DL1,0.701,PMC9854651,pmcid
ARRB2,RELA,0.918,PMC9854651,pmcid
ARRB2,MC1R,0.788,PMC9854651,pmcid
ARRB2,NEDD4,0.972,PMC9854651,pmcid
ARRB2,TRAF6,0.994,PMC9854651,pmcid
ATM,ERCC1,0.983,PMC9854651,pmcid
ATM,CDC6,0.72,PMC9854651,pmcid
ATM,POLE2,0.919,PMC9854651,pmcid
ATM,TSC2,0.722,PMC9854651,pmcid
ATM,OBFC1,0.781,PMC9854651,pmcid
ATM,MLH1,0.992,PMC9854651,pmcid
ATM,MSH2,0.989,PMC9854651,pmcid
ATM,MSH6,0.992,PMC9854651,pmcid
ATM,TERF2,0.962,PMC9854651,pmcid
ATM,VHL,0.828,PMC9854651,pmcid
ATM,CDK4,0.942,PMC9854651,pmcid
ATM,MDM2,0.996,PMC9854651,pmcid
ATM,BRIP1,0.915,PMC9854651,pmcid
ATM,PALB2,0.945,PMC9854651,pmcid
ATM,PIAS4,0.954,PMC9854651,pmcid
ATM,MCM2,0.794,PMC9854651,pmcid
ATM,MSH3,0.932,PMC9854651,pmcid
ATM,NBN,0.999,PMC9854651,pmcid
ATM,PMS2,0.865,PMC9854651,pmcid
ATM,CDK2,0.956,PMC9854651,pmcid
ATM,FANCM,0.824,PMC9854651,pmcid
ATM,TP53,0.999,PMC9854651,pmcid
ATM,CCNA2,0.852,PMC9854651,pmcid
ATM,EGFR,0.804,PMC9854651,pmcid
ATM,TERF1,0.912,PMC9854651,pmcid
ATM,NF1,0.704,PMC9854651,pmcid
ATM,HRAS,0.713,PMC9854651,pmcid
ATM,MYC,0.714,PMC9854651,pmcid
ATM,FANCA,0.727,PMC9854651,pmcid
ATM,ERCC2,0.736,PMC9854651,pmcid
ATM,SMARCA4,0.742,PMC9854651,pmcid
ATM,CDKN2A,0.75,PMC9854651,pmcid
ATM,CDT1,0.773,PMC9854651,pmcid
ATM,CDC45,0.783,PMC9854651,pmcid
ATM,ERCC3,0.81,PMC9854651,pmcid
ATM,RECQL4,0.819,PMC9854651,pmcid
ATM,RMI1,0.83,PMC9854651,pmcid
ATM,TERT,0.879,PMC9854651,pmcid
ATM,PTEN,0.89,PMC9854651,pmcid
ATM,POLE4,0.908,PMC9854651,pmcid
ATM,CASP8,0.909,PMC9854651,pmcid
ATM,XPA,0.915,PMC9854651,pmcid
ATM,POLE3,0.915,PMC9854651,pmcid
ATM,CETN2,0.927,PMC9854651,pmcid
ATM,PCNA,0.928,PMC9854651,pmcid
ATM,RAD23B,0.944,PMC9854651,pmcid
ATM,HSP90AA1,0.947,PMC9854651,pmcid
ATM,RTEL1,0.948,PMC9854651,pmcid
ATM,STK11,0.95,PMC9854651,pmcid
ATM,POLH,0.954,PMC9854651,pmcid
ATM,SLX4,0.956,PMC9854651,pmcid
ATM,XPC,0.959,PMC9854651,pmcid
ATM,ERCC5,0.962,PMC9854651,pmcid
ATM,RAD52,0.966,PMC9854651,pmcid
ATM,RPA2,0.966,PMC9854651,pmcid
ATM,TRAF6,0.966,PMC9854651,pmcid
ATM,ERCC4,0.969,PMC9854651,pmcid
ATM,TOP3A,0.971,PMC9854651,pmcid
ATM,POLE,0.972,PMC9854651,pmcid
ATM,EXO1,0.975,PMC9854651,pmcid
ATM,WRN,0.978,PMC9854651,pmcid
ATM,FANCI,0.99,PMC9854651,pmcid
ATM,FANCD2,0.993,PMC9854651,pmcid
ATM,RAD51,0.993,PMC9854651,pmcid
ATM,BRCA2,0.996,PMC9854651,pmcid
ATM,RAD50,0.996,PMC9854651,pmcid
ATM,BLM,0.997,PMC9854651,pmcid
ATM,XRCC6,0.998,PMC9854651,pmcid
ATM,KAT5,0.999,PMC9854651,pmcid
ATM,H2AFX,0.999,PMC9854651,pmcid
ATM,CHEK2,0.999,PMC9854651,pmcid
ATM,MRE11A,0.999,PMC9854651,pmcid
ATM,TP53BP1,0.999,PMC9854651,pmcid
ATM,IKBKG,0.999,PMC9854651,pmcid
ATM,BRCA1,0.999,PMC9854651,pmcid
ATM,MDC1,0.999,PMC9854651,pmcid
ATOX1,ATP7B,0.999,PMC9854651,pmcid
ATOX1,ATP7A,0.999,PMC9854651,pmcid
ATP7A,ATP7B,0.811,PMC9854651,pmcid
ATP7A,POMC,0.726,PMC9854651,pmcid
ATP7A,EIF4E,0.828,PMC9854651,pmcid
ATXN2,PABPC1,0.999,PMC9854651,pmcid
ATXN2,FMR1,0.828,PMC9854651,pmcid
ATXN2,LSM14A,0.779,PMC9854651,pmcid
ATXN2,DDX6,0.993,PMC9854651,pmcid
B2M,CD74,0.743,PMC9854651,pmcid
B2M,IL2RB,0.928,PMC9854651,pmcid
B2M,IL2,0.96,PMC9854651,pmcid
B2M,PIK3CA,0.92,PMC9854651,pmcid
B2M,CD80,0.983,PMC9854651,pmcid
B2M,CD28,0.948,PMC9854651,pmcid
B2M,CD86,0.95,PMC9854651,pmcid
B2M,LCK,0.93,PMC9854651,pmcid
B2M,HLA-DQA1,0.751,PMC9854651,pmcid
B2M,HLA-DRB1,0.776,PMC9854651,pmcid
B2M,JUN,0.933,PMC9854651,pmcid
B2M,IL2RG,0.933,PMC9854651,pmcid
B2M,HLA-DQB1,0.774,PMC9854651,pmcid
B2M,IL2RA,0.929,PMC9854651,pmcid
B2M,KIR3DL1,0.974,PMC9854651,pmcid
B2M,GRB2,0.708,PMC9854651,pmcid
B2M,HLA-DRA,0.785,PMC9854651,pmcid
B2M,HLA-DMB,0.761,PMC9854651,pmcid
B2M,HLA-B,0.999,PMC9854651,pmcid
BCL10,MAPK1,0.823,PMC9854651,pmcid
BCL10,NFKBIA,0.901,PMC9854651,pmcid
BCL10,NFKB1,0.786,PMC9854651,pmcid
BCL10,REL,0.858,PMC9854651,pmcid
BCL10,USP9X,0.769,PMC9854651,pmcid
BCL10,CASP8,0.998,PMC9854651,pmcid
BCL10,IRAK1,0.835,PMC9854651,pmcid
BCL10,CHUK,0.986,PMC9854651,pmcid
BCL10,TLR4,0.83,PMC9854651,pmcid
BCL10,RELA,0.92,PMC9854651,pmcid
BCL10,IKBKB,0.995,PMC9854651,pmcid
BCL10,TRAF6,0.998,PMC9854651,pmcid
BCL10,IKBKG,0.999,PMC9854651,pmcid
BCL2L1,MAPK1,0.944,PMC9854651,pmcid
BCL2L1,RAF1,0.831,PMC9854651,pmcid
BCL2L1,KRAS,0.971,PMC9854651,pmcid
BCL2L1,VHL,0.826,PMC9854651,pmcid
BCL2L1,MDM2,0.756,PMC9854651,pmcid
BCL2L1,TCEB2,0.815,PMC9854651,pmcid
BCL2L1,CDK2,0.722,PMC9854651,pmcid
BCL2L1,TP53,0.999,PMC9854651,pmcid
BCL2L1,FADD,0.746,PMC9854651,pmcid
BCL2L1,VEGFA,0.701,PMC9854651,pmcid
BCL2L1,JUN,0.704,PMC9854651,pmcid
BCL2L1,JAK2,0.707,PMC9854651,pmcid
BCL2L1,RELA,0.713,PMC9854651,pmcid
BCL2L1,PTEN,0.723,PMC9854651,pmcid
BCL2L1,BCL2L12,0.724,PMC9854651,pmcid
BCL2L1,FASLG,0.744,PMC9854651,pmcid
BCL2L1,CTNNB1,0.744,PMC9854651,pmcid
BCL2L1,CASP1,0.796,PMC9854651,pmcid
BCL2L1,CASP7,0.803,PMC9854651,pmcid
BCL2L1,MYC,0.806,PMC9854651,pmcid
BCL2L1,TCEB1,0.833,PMC9854651,pmcid
BCL2L1,MTOR,0.855,PMC9854651,pmcid
BCL2L1,PSEN2,0.868,PMC9854651,pmcid
BCL2L1,PRKACA,0.906,PMC9854651,pmcid
BCL2L1,XIAP,0.908,PMC9854651,pmcid
BCL2L1,PRKAR1A,0.909,PMC9854651,pmcid
BCL2L1,YWHAZ,0.926,PMC9854651,pmcid
BCL2L1,PTPN11,0.945,PMC9854651,pmcid
BCL2L1,MCL1,0.966,PMC9854651,pmcid
BCL2L1,CASP8,0.976,PMC9854651,pmcid
BCL2L1,CDKN2A,0.976,PMC9854651,pmcid
BCL2L1,HRAS,0.983,PMC9854651,pmcid
BCL2L1,NLRP1,0.996,PMC9854651,pmcid
BCL2L1,BCL2L11,0.999,PMC9854651,pmcid
BCL2L11,MAPK1,0.904,PMC9854651,pmcid
BCL2L11,RAF1,0.948,PMC9854651,pmcid
BCL2L11,CREBBP,0.926,PMC9854651,pmcid
BCL2L11,EP300,0.936,PMC9854651,pmcid
BCL2L11,TP53,0.741,PMC9854651,pmcid
BCL2L11,BRAF,0.71,PMC9854651,pmcid
BCL2L11,MAP2K1,0.814,PMC9854651,pmcid
BCL2L11,CASP8,0.783,PMC9854651,pmcid
BCL2L11,FASLG,0.795,PMC9854651,pmcid
BCL2L11,MCL1,0.999,PMC9854651,pmcid
BCL2L11,BTRC,0.99,PMC9854651,pmcid
BCL2L11,XIAP,0.729,PMC9854651,pmcid
BCL2L11,JUN,0.854,PMC9854651,pmcid
BCL2L11,JAK2,0.937,PMC9854651,pmcid
BCL2L11,DYNLL1,0.999,PMC9854651,pmcid
BCL2L11,CUL2,0.829,PMC9854651,pmcid
BCL2L12,TP53,0.868,PMC9854651,pmcid
BCL2L12,CASP7,0.761,PMC9854651,pmcid
BLM,ERCC1,0.969,PMC9854651,pmcid
BLM,POLE2,0.957,PMC9854651,pmcid
BLM,FANCE,0.959,PMC9854651,pmcid
BLM,MLH1,0.995,PMC9854651,pmcid
BLM,MSH2,0.93,PMC9854651,pmcid
BLM,MSH6,0.972,PMC9854651,pmcid
BLM,TERF2,0.98,PMC9854651,pmcid
BLM,CDK4,0.845,PMC9854651,pmcid
BLM,BRIP1,0.981,PMC9854651,pmcid
BLM,PALB2,0.715,PMC9854651,pmcid
BLM,MCM2,0.708,PMC9854651,pmcid
BLM,NBN,0.931,PMC9854651,pmcid
BLM,CDK2,0.811,PMC9854651,pmcid
BLM,TINF2,0.931,PMC9854651,pmcid
BLM,FANCM,0.999,PMC9854651,pmcid
BLM,TP53,0.992,PMC9854651,pmcid
BLM,TERF1,0.955,PMC9854651,pmcid
BLM,FANCD2,0.904,PMC9854651,pmcid
BLM,FANCC,0.959,PMC9854651,pmcid
BLM,SLX4,0.93,PMC9854651,pmcid
BLM,WRN,0.866,PMC9854651,pmcid
BLM,TERF2IP,0.904,PMC9854651,pmcid
BLM,TERT,0.759,PMC9854651,pmcid
BLM,ERCC4,0.986,PMC9854651,pmcid
BLM,FANCI,0.789,PMC9854651,pmcid
BLM,RMI1,0.999,PMC9854651,pmcid
BLM,POLE,0.969,PMC9854651,pmcid
BLM,MRE11A,0.992,PMC9854651,pmcid
BLM,FANCF,0.962,PMC9854651,pmcid
BLM,C17ORF70,0.99,PMC9854651,pmcid
BLM,KAT5,0.713,PMC9854651,pmcid
BLM,MDC1,0.758,PMC9854651,pmcid
BLM,ERCC5,0.761,PMC9854651,pmcid
BLM,POLA1,0.785,PMC9854651,pmcid
BLM,WDHD1,0.785,PMC9854651,pmcid
BLM,CHEK2,0.867,PMC9854651,pmcid
BLM,CDC45,0.886,PMC9854651,pmcid
BLM,MCM10,0.89,PMC9854651,pmcid
BLM,POLE4,0.906,PMC9854651,pmcid
BLM,POLE3,0.906,PMC9854651,pmcid
BLM,STRA13,0.913,PMC9854651,pmcid
BLM,FANCB,0.929,PMC9854651,pmcid
BLM,BRCA2,0.933,PMC9854651,pmcid
BLM,POLH,0.944,PMC9854651,pmcid
BLM,BRCA1,0.95,PMC9854651,pmcid
BLM,XRCC6,0.953,PMC9854651,pmcid
BLM,FANCL,0.954,PMC9854651,pmcid
BLM,C19ORF40,0.954,PMC9854651,pmcid
BLM,POT1,0.958,PMC9854651,pmcid
BLM,PCNA,0.963,PMC9854651,pmcid
BLM,RTEL1,0.971,PMC9854651,pmcid
BLM,RPA2,0.972,PMC9854651,pmcid
BLM,FANCG,0.973,PMC9854651,pmcid
BLM,H2AFX,0.977,PMC9854651,pmcid
BLM,RAD50,0.979,PMC9854651,pmcid
BLM,TP53BP1,0.987,PMC9854651,pmcid
BLM,RAD52,0.991,PMC9854651,pmcid
BLM,RAD51,0.999,PMC9854651,pmcid
BLM,FANCA,0.999,PMC9854651,pmcid
BLM,EXO1,0.999,PMC9854651,pmcid
BLM,TOP3A,0.999,PMC9854651,pmcid
BLOC1S3,BLOC1S6,0.993,PMC9854651,pmcid
BLOC1S3,HPS5,0.934,PMC9854651,pmcid
BLOC1S3,HPS3,0.955,PMC9854651,pmcid
BLOC1S3,HPS6,0.955,PMC9854651,pmcid
BLOC1S3,HPS1,0.737,PMC9854651,pmcid
BLOC1S3,DTNBP1,0.996,PMC9854651,pmcid
BLOC1S3,SNAPIN,0.989,PMC9854651,pmcid
BLOC1S3,BLOC1S5,0.977,PMC9854651,pmcid
BLOC1S3,HPS4,0.955,PMC9854651,pmcid
BLOC1S5,BLOC1S6,0.991,PMC9854651,pmcid
BLOC1S5,HPS5,0.815,PMC9854651,pmcid
BLOC1S5,HPS3,0.802,PMC9854651,pmcid
BLOC1S5,HPS6,0.828,PMC9854651,pmcid
BLOC1S5,HPS1,0.72,PMC9854651,pmcid
BLOC1S5,DTNBP1,0.996,PMC9854651,pmcid
BLOC1S5,SNAPIN,0.973,PMC9854651,pmcid
BLOC1S5,HPS4,0.805,PMC9854651,pmcid
BLOC1S6,HPS1,0.855,PMC9854651,pmcid
BLOC1S6,HPS4,0.925,PMC9854651,pmcid
BLOC1S6,HPS5,0.939,PMC9854651,pmcid
BLOC1S6,HPS3,0.943,PMC9854651,pmcid
BLOC1S6,HPS6,0.945,PMC9854651,pmcid
BLOC1S6,SNAPIN,0.995,PMC9854651,pmcid
BLOC1S6,DTNBP1,0.999,PMC9854651,pmcid
BOP1,FBL,0.999,PMC9854651,pmcid
BOP1,GAR1,0.942,PMC9854651,pmcid
BOP1,RRP9,0.989,PMC9854651,pmcid
BOP1,NOP58,0.999,PMC9854651,pmcid
BOP1,NHP2,0.989,PMC9854651,pmcid
BOP1,DCAF13,0.989,PMC9854651,pmcid
BOP1,EIF3A,0.811,PMC9854651,pmcid
BOP1,DKC1,0.989,PMC9854651,pmcid
BOP1,EIF6,0.978,PMC9854651,pmcid
BOP1,NOP56,0.999,PMC9854651,pmcid
BOP1,NHP2L1,0.998,PMC9854651,pmcid
BOP1,WDR36,0.991,PMC9854651,pmcid
BRAF,MAPK1,0.987,PMC9854651,pmcid
BRAF,RAF1,0.993,PMC9854651,pmcid
BRAF,KRAS,0.999,PMC9854651,pmcid
BRAF,PEBP1,0.755,PMC9854651,pmcid
BRAF,PIK3CA,0.719,PMC9854651,pmcid
BRAF,PTEN,0.819,PMC9854651,pmcid
BRAF,PRKACA,0.85,PMC9854651,pmcid
BRAF,HSP90AA1,0.852,PMC9854651,pmcid
BRAF,PPP1CC,0.91,PMC9854651,pmcid
BRAF,PHB,0.918,PMC9854651,pmcid
BRAF,RIT1,0.933,PMC9854651,pmcid
BRAF,SHOC2,0.952,PMC9854651,pmcid
BRAF,KSR1,0.974,PMC9854651,pmcid
BRAF,RAP1A,0.982,PMC9854651,pmcid
BRAF,YWHAZ,0.997,PMC9854651,pmcid
BRAF,NRAS,0.998,PMC9854651,pmcid
BRAF,HRAS,0.999,PMC9854651,pmcid
BRAF,MAP2K1,0.999,PMC9854651,pmcid
BRCA1,ERCC1,0.982,PMC9854651,pmcid
BRCA1,KEAP1,0.7,PMC9854651,pmcid
BRCA1,CDC6,0.728,PMC9854651,pmcid
BRCA1,POLE2,0.954,PMC9854651,pmcid
BRCA1,OBFC1,0.757,PMC9854651,pmcid
BRCA1,FANCE,0.982,PMC9854651,pmcid
BRCA1,MLH1,0.995,PMC9854651,pmcid
BRCA1,MSH2,0.996,PMC9854651,pmcid
BRCA1,MSH6,0.961,PMC9854651,pmcid
BRCA1,TERF2,0.775,PMC9854651,pmcid
BRCA1,CDK4,0.973,PMC9854651,pmcid
BRCA1,BRIP1,0.999,PMC9854651,pmcid
BRCA1,PALB2,0.999,PMC9854651,pmcid
BRCA1,HERC2,0.882,PMC9854651,pmcid
BRCA1,CREBBP,0.969,PMC9854651,pmcid
BRCA1,PIAS4,0.872,PMC9854651,pmcid
BRCA1,EP300,0.984,PMC9854651,pmcid
BRCA1,PIK3CA,0.705,PMC9854651,pmcid
BRCA1,MSH3,0.798,PMC9854651,pmcid
BRCA1,NBN,0.999,PMC9854651,pmcid
BRCA1,PMS2,0.907,PMC9854651,pmcid
BRCA1,CDK2,0.995,PMC9854651,pmcid
BRCA1,FANCM,0.861,PMC9854651,pmcid
BRCA1,TP53,0.999,PMC9854651,pmcid
BRCA1,CCNA2,0.843,PMC9854651,pmcid
BRCA1,SKP2,0.727,PMC9854651,pmcid
BRCA1,EGFR,0.837,PMC9854651,pmcid
BRCA1,TERF1,0.807,PMC9854651,pmcid
BRCA1,FANCD2,0.999,PMC9854651,pmcid
BRCA1,FANCC,0.985,PMC9854651,pmcid
BRCA1,SLX4,0.978,PMC9854651,pmcid
BRCA1,WRN,0.997,PMC9854651,pmcid
BRCA1,ERCC4,0.973,PMC9854651,pmcid
BRCA1,FANCI,0.998,PMC9854651,pmcid
BRCA1,PABPC1,0.854,PMC9854651,pmcid
BRCA1,RMI1,0.891,PMC9854651,pmcid
BRCA1,POLE,0.982,PMC9854651,pmcid
BRCA1,MRE11A,0.996,PMC9854651,pmcid
BRCA1,FANCF,0.982,PMC9854651,pmcid
BRCA1,C17ORF70,0.72,PMC9854651,pmcid
BRCA1,HSP90AA1,0.74,PMC9854651,pmcid
BRCA1,KAT5,0.833,PMC9854651,pmcid
BRCA1,UBE2D3,0.999,PMC9854651,pmcid
BRCA1,NF1,0.97,PMC9854651,pmcid
BRCA1,RAD52,0.972,PMC9854651,pmcid
BRCA1,XRCC6,0.931,PMC9854651,pmcid
BRCA1,RTEL1,0.956,PMC9854651,pmcid
BRCA1,EXO1,0.974,PMC9854651,pmcid
BRCA1,FLNA,0.944,PMC9854651,pmcid
BRCA1,XIAP,0.881,PMC9854651,pmcid
BRCA1,JUN,0.892,PMC9854651,pmcid
BRCA1,PTEN,0.812,PMC9854651,pmcid
BRCA1,POLH,0.948,PMC9854651,pmcid
BRCA1,RPA2,0.908,PMC9854651,pmcid
BRCA1,UBE2D1,0.99,PMC9854651,pmcid
BRCA1,POLE3,0.916,PMC9854651,pmcid
BRCA1,MDC1,0.999,PMC9854651,pmcid
BRCA1,FANCG,0.985,PMC9854651,pmcid
BRCA1,RAD50,0.994,PMC9854651,pmcid
BRCA1,PCNA,0.941,PMC9854651,pmcid
BRCA1,BRCA2,0.999,PMC9854651,pmcid
BRCA1,TP53BP1,0.999,PMC9854651,pmcid
BRCA1,CHEK2,0.999,PMC9854651,pmcid
BRCA1,RAD51,0.999,PMC9854651,pmcid
BRCA1,FANCA,0.999,PMC9854651,pmcid
BRCA1,UBE2E2,0.867,PMC9854651,pmcid
BRCA1,FANCB,0.808,PMC9854651,pmcid
BRCA1,RELA,0.96,PMC9854651,pmcid
BRCA1,FANCL,0.985,PMC9854651,pmcid
BRCA1,SMARCA4,0.995,PMC9854651,pmcid
BRCA1,CDC45,0.798,PMC9854651,pmcid
BRCA1,HRAS,0.7,PMC9854651,pmcid
BRCA1,MCM10,0.827,PMC9854651,pmcid
BRCA1,CDKN2A,0.785,PMC9854651,pmcid
BRCA1,C19ORF40,0.731,PMC9854651,pmcid
BRCA1,RECQL4,0.745,PMC9854651,pmcid
BRCA1,TOP3A,0.897,PMC9854651,pmcid
BRCA1,CUL7,0.913,PMC9854651,pmcid
BRCA1,POLE4,0.914,PMC9854651,pmcid
BRCA1,MYC,0.998,PMC9854651,pmcid
BRCA1,H2AFX,0.999,PMC9854651,pmcid
BRCA2,ERCC1,0.746,PMC9854651,pmcid
BRCA2,POLE2,0.941,PMC9854651,pmcid
BRCA2,FANCE,0.911,PMC9854651,pmcid
BRCA2,MLH1,0.941,PMC9854651,pmcid
BRCA2,MSH2,0.855,PMC9854651,pmcid
BRCA2,MSH6,0.832,PMC9854651,pmcid
BRCA2,CDK4,0.918,PMC9854651,pmcid
BRCA2,BRIP1,0.972,PMC9854651,pmcid
BRCA2,PALB2,0.999,PMC9854651,pmcid
BRCA2,NBN,0.923,PMC9854651,pmcid
BRCA2,PMS2,0.81,PMC9854651,pmcid
BRCA2,CDK2,0.959,PMC9854651,pmcid
BRCA2,FANCM,0.894,PMC9854651,pmcid
BRCA2,TP53,0.989,PMC9854651,pmcid
BRCA2,CCNA2,0.749,PMC9854651,pmcid
BRCA2,FANCD2,0.999,PMC9854651,pmcid
BRCA2,FANCC,0.858,PMC9854651,pmcid
BRCA2,SLX4,0.981,PMC9854651,pmcid
BRCA2,WRN,0.918,PMC9854651,pmcid
BRCA2,ERCC4,0.7,PMC9854651,pmcid
BRCA2,FANCI,0.996,PMC9854651,pmcid
BRCA2,RMI1,0.835,PMC9854651,pmcid
BRCA2,POLE,0.967,PMC9854651,pmcid
BRCA2,STK11,0.735,PMC9854651,pmcid
BRCA2,MRE11A,0.889,PMC9854651,pmcid
BRCA2,FANCF,0.837,PMC9854651,pmcid
BRCA2,C17ORF70,0.748,PMC9854651,pmcid
BRCA2,KAT5,0.736,PMC9854651,pmcid
BRCA2,RAD52,0.887,PMC9854651,pmcid
BRCA2,XRCC6,0.74,PMC9854651,pmcid
BRCA2,RTEL1,0.953,PMC9854651,pmcid
