gene_a,gene_b,score
SRD5A1,STAR,0.745
HSD17B8,SRD5A1,0.922
SRD5A1,SRD5A2,0.935
CYP11B2,SRD5A1,0.936
CYP11B1,SRD5A1,0.945
CYP21A2,SRD5A1,0.957
AKR1C4,SRD5A1,0.961
HSD3B1,SRD5A1,0.971
CYP19A1,SRD5A1,0.972
AKR1C1,SRD5A1,0.975
HSD17B6,SRD5A1,0.976
AKR1C2,SRD5A1,0.977
HSD17B3,SRD5A1,0.978
HSD3B2,SRD5A1,0.98
AKR1C3,SRD5A1,0.986
CYP17A1,SRD5A1,0.992
GNRH1,HSD3B2,0.418
GNRH1,NCOA3,0.449
GNRH1,NCOA1,0.449
GNRH1,HSD17B3,0.466
GNRH1,GPER1,0.472
GNRH1,STAR,0.523
EDNRB,GNRH1,0.563
EDN3,GNRH1,0.577
GNAQ,GNRH1,0.58
GNRH1,HSD3B1,0.583
CYP17A1,GNRH1,0.645
GNRH1,LHB,0.681
GNRH1,SHBG,0.72
ESR1,GNRH1,0.726
GNRH1,LHCGR,0.774
AR,GNRH1,0.779
CYP19A1,GNRH1,0.779
FSHR,GNRH1,0.779
ESR2,GNRH1,0.785
GNRH1,POMC,0.867
FSHB,GNRH1,0.903
GNRH1,KISS1,0.967
KISS1,STAR,0.407
LHB,STAR,0.474
GPER1,STAR,0.475
AR,STAR,0.511
ESR1,STAR,0.541
ESR2,STAR,0.543
FSHB,STAR,0.62
SRD5A2,STAR,0.647
FSHR,STAR,0.74
HSD17B3,STAR,0.756
LHCGR,STAR,0.77
POMC,STAR,0.77
HSD3B2,STAR,0.821
CYP21A2,STAR,0.838
CYP11B1,STAR,0.868
CYP19A1,STAR,0.878
HSD3B1,STAR,0.903
CYP11B2,STAR,0.935
CYP17A1,STAR,0.95
CYP17A1,HSD17B12,0.429
HSD17B11,HSD17B12,0.456
AKR1C3,HSD17B12,0.489
HSD17B12,HSD17B6,0.916
CYP19A1,HSD17B12,0.956
HSD17B12,HSD17B8,0.973
GNAQ,MITF,0.463
GNAQ,KISS1,0.525
GNAQ,GPER1,0.588
ESR1,GNAQ,0.602
GNAQ,POMC,0.674
GNAQ,KIT,0.789
GNAQ,LHCGR,0.864
EDNRB,GNAQ,0.975
KIT,OCA2,0.404
IRF4,KIT,0.411
KIT,NCOA1,0.416
EDN3,KIT,0.45
AR,KIT,0.463
DCT,KIT,0.478
ASIP,KIT,0.48
KIT,PMEL,0.488
KIT,SLC24A5,0.497
KIT,TYRP1,0.551
ESR1,KIT,0.592
KIT,SOX10,0.604
KIT,PAX3,0.616
EDNRB,KIT,0.703
KIT,MC1R,0.757
KIT,MITF,0.783
KIT,TFAP2A,0.802
KIT,KITLG,0.999
AKR1C4,CYP11B1,0.409
CYP11B1,CYP7B1,0.415
CYP11B1,FSHR,0.527
CYP11B1,LHCGR,0.596
CYP11B1,POMC,0.863
CYP11B1,CYP11B2,0.912
AKR1C1,CYP11B1,0.918
CYP11B1,HSD17B8,0.92
CYP11B1,HSD17B6,0.93
AKR1C3,CYP11B1,0.947
CYP11B1,CYP19A1,0.949
CYP11B1,SRD5A2,0.951
CYP11B1,CYP17A1,0.964
CYP11B1,HSD17B3,0.97
CYP11B1,CYP21A2,0.973
CYP11B1,HSD3B1,0.984
CYP11B1,HSD3B2,0.992
LHCGR,SHBG,0.438
LHCGR,SRD5A2,0.464
KISS1,LHCGR,0.52
CYP11B2,LHCGR,0.54
AR,LHCGR,0.552
CYP21A2,LHCGR,0.556
FSHR,LHCGR,0.698
HSD3B2,LHCGR,0.701
ESR2,LHCGR,0.727
ESR1,LHCGR,0.731
HSD17B3,LHCGR,0.778
CYP19A1,LHCGR,0.81
HSD3B1,LHCGR,0.815
CGA,LHCGR,0.819
CYP17A1,LHCGR,0.856
LHCGR,POMC,0.941
LHB,LHCGR,0.952
FSHB,LHCGR,0.99
PAX3,SLC45A2,0.431
EDNRB,SLC45A2,0.478
SLC45A2,SOX10,0.491
KITLG,SLC45A2,0.565
MITF,SLC45A2,0.609
BNC2,SLC45A2,0.616
MFSD12,SLC45A2,0.697
IRF4,SLC45A2,0.716
PMEL,SLC45A2,0.753
ASIP,SLC45A2,0.767
DCT,SLC45A2,0.794
MLANA,SLC45A2,0.809
SLC24A4,SLC45A2,0.856
MC1R,SLC45A2,0.909
SLC45A2,TYRP1,0.959
OCA2,SLC45A2,0.977
SLC24A5,SLC45A2,0.985
CYP19A1,CYP7B1,0.674
CYP21A2,CYP7B1,0.928
CYP17A1,CYP7B1,0.933
CYP7B1,HSD3B2,0.967
CYP7B1,HSD3B1,0.97
CYP11B2,LHB,0.402
CYP11B2,FSHR,0.438
CYP11B2,FSHB,0.524
CYP11B2,POMC,0.826
AKR1C1,CYP11B2,0.911
CYP11B2,HSD17B8,0.919
CYP11B2,HSD17B6,0.926
AKR1C3,CYP11B2,0.936
CYP11B2,SRD5A2,0.938
CYP11B2,CYP19A1,0.947
CYP11B2,HSD17B3,0.961
CYP11B2,CYP17A1,0.963
CYP11B2,CYP21A2,0.975
CYP11B2,HSD3B1,0.979
CYP11B2,HSD3B2,0.984
EDN3,TYRP1,0.523
ASIP,EDN3,0.551
DCT,EDN3,0.555
EDN3,MC1R,0.557
EDN3,MITF,0.628
EDN3,KITLG,0.698
EDN3,PAX3,0.702
EDN3,SOX10,0.876
EDN3,EDNRB,0.999
KITLG,SLC24A5,0.569
BNC2,SLC24A5,0.59
MFSD12,SLC24A5,0.608
MITF,SLC24A5,0.616
IRF4,SLC24A5,0.623
MLANA,SLC24A5,0.633
DCT,SLC24A5,0.674
PMEL,SLC24A5,0.695
ASIP,SLC24A5,0.748
MC1R,SLC24A5,0.858
SLC24A5,TYRP1,0.899
OCA2,SLC24A5,0.952
ESR2,HSD3B2,0.421
ESR2,HSD17B3,0.446
BNC2,ESR2,0.459
ESR2,SRD5A2,0.467
ESR2,FSHB,0.479
ESR2,POMC,0.582
AR,ESR2,0.588
ESR2,HSD3B1,0.594
ESR2,KISS1,0.601
ESR2,FKBP5,0.62
CYP17A1,ESR2,0.646
ESR2,FSHR,0.663
ESR2,SHBG,0.759
ESR2,NCOR2,0.908
CYP19A1,ESR2,0.925
ESR2,GPER1,0.943
ESR2,NCOA2,0.993
ESR2,NCOA3,0.997
ESR1,ESR2,0.998
ESR2,NCOA1,0.999
EDNRB,OCA2,0.41
OCA2,SOX10,0.433
OCA2,PAX3,0.449
BNC2,OCA2,0.578
MFSD12,OCA2,0.579
OCA2,PMEL,0.582
KITLG,OCA2,0.611
MLANA,OCA2,0.626
MITF,OCA2,0.631
IRF4,OCA2,0.675
DCT,OCA2,0.689
ASIP,OCA2,0.811
OCA2,SLC24A4,0.857
MC1R,OCA2,0.936
OCA2,TYRP1,0.972
MFSD12,PMEL,0.428
MFSD12,TYRP1,0.442
ASIP,MFSD12,0.46
MC1R,MFSD12,0.528
CYP17A1,HSD17B11,0.4
AKR1C3,HSD17B11,0.411
HSD17B11,HSD17B3,0.422
HSD17B11,HSD3B1,0.437
KISS1,LHB,0.421
GPER1,KISS1,0.435
AR,KISS1,0.439
HSD3B1,KISS1,0.491
CYP19A1,KISS1,0.507
KISS1,SHBG,0.518
FSHR,KISS1,0.548
KISS1,POMC,0.693
ESR1,KISS1,0.693
FSHB,KISS1,0.798
FSHB,HSD3B1,0.452
HSD3B1,SHBG,0.461
AKR1C4,HSD3B1,0.52
AKR1C2,HSD3B1,0.545
ESR1,HSD3B1,0.585
HSD3B1,POMC,0.607
AR,HSD3B1,0.631
FSHR,HSD3B1,0.734
HSD17B8,HSD3B1,0.929
AKR1C1,HSD3B1,0.949
HSD17B6,HSD3B1,0.952
HSD3B1,SRD5A2,0.963
HSD3B1,HSD3B2,0.965
AKR1C3,HSD3B1,0.971
CYP21A2,HSD3B1,0.979
HSD17B3,HSD3B1,0.983
CYP19A1,HSD3B1,0.988
CYP17A1,HSD3B1,0.995
CYP17A1,NCOA1,0.429
AKR1C4,CYP17A1,0.464
CYP17A1,FSHB,0.555
CYP17A1,SHBG,0.616
CYP17A1,ESR1,0.661
AKR1C2,CYP17A1,0.668
AR,CYP17A1,0.797
CYP17A1,FSHR,0.825
CYP17A1,POMC,0.828
CYP17A1,HSD17B8,0.935
CYP17A1,CYP21A2,0.951
AKR1C1,CYP17A1,0.955
CYP17A1,HSD17B6,0.97
CYP17A1,CYP19A1,0.971
AKR1C3,CYP17A1,0.979
CYP17A1,SRD5A2,0.986
CYP17A1,HSD17B3,0.991
CYP17A1,HSD3B2,0.994
FOXD3,TFAP2A,0.621
DCT,FOXD3,0.64
FOXD3,MITF,0.654
FOXD3,PAX3,0.731
FOXD3,SOX10,0.802
CYP19A1,NCOA3,0.482
NCOA3,NCOR2,0.917
NCOA1,NCOA3,0.994
NCOA2,NCOA3,0.997
AR,NCOA3,0.997
ESR1,NCOA3,0.999
CYP21A2,HSD17B8,0.564
HSD17B6,HSD17B8,0.918
HSD17B8,SRD5A2,0.919
HSD17B8,HSD3B2,0.923
CYP19A1,HSD17B8,0.932
AKR1C3,HSD17B8,0.936
HSD17B3,HSD17B8,0.964
AKR1C2,AR,0.428
AR,POMC,0.434
AR,HSD17B6,0.44
AR,HSD3B2,0.487
AR,GPER1,0.545
AR,FSHR,0.585
AR,HSD17B3,0.594
AKR1C3,AR,0.627
AR,SHBG,0.697
AR,CYP19A1,0.787
AR,SRD5A2,0.821
AR,FKBP5,0.905
AR,NCOR2,0.971
AR,ESR1,0.981
AR,NCOA1,0.984
AR,NCOA2,0.999
HSD17B3,LHB,0.431
ESR1,HSD17B3,0.456
AKR1C4,HSD17B3,0.548
FSHR,HSD17B3,0.637
AKR1C1,HSD17B3,0.687
CYP21A2,HSD17B3,0.691
AKR1C2,HSD17B3,0.758
HSD17B3,HSD17B6,0.954
CYP19A1,HSD17B3,0.972
HSD17B3,SRD5A2,0.979
AKR1C3,HSD17B3,0.986
HSD17B3,HSD3B2,0.987
ASIP,EDNRB,0.411
EDNRB,PMEL,0.439
EDNRB,MLANA,0.482
EDNRB,MC1R,0.527
EDNRB,TYRP1,0.554
DCT,EDNRB,0.566
EDNRB,PAX3,0.648
EDNRB,MITF,0.67
EDNRB,POMC,0.765
EDNRB,KITLG,0.881
EDNRB,SOX10,0.908
AKR1C4,CYP21A2,0.419
AKR1C4,HSD17B6,0.599
AKR1C4,HSD3B2,0.685
AKR1C2,AKR1C4,0.863
AKR1C3,AKR1C4,0.883
AKR1C4,SRD5A2,0.959
GPER1,SHBG,0.433
FSHB,SHBG,0.437
FSHR,SHBG,0.492
SHBG,SRD5A2,0.548
POMC,SHBG,0.664
ESR1,SHBG,0.729
CYP19A1,SHBG,0.769
AKR1C3,ESR1,0.424
AKR1C3,CYP21A2,0.466
AKR1C3,CYP19A1,0.956
AKR1C3,SRD5A2,0.969
AKR1C3,HSD17B6,0.978
AKR1C3,HSD3B2,0.981
AKR1C1,AKR1C3,0.995
AKR1C2,AKR1C3,0.997
BNC2,IRF4,0.4
BNC2,MC1R,0.48
AKR1C2,HSD3B2,0.579
AKR1C2,HSD17B6,0.63
AKR1C2,SRD5A2,0.964
AKR1C1,AKR1C2,0.998
AKR1C1,HSD17B6,0.539
AKR1C1,CYP21A2,0.917
AKR1C1,SRD5A2,0.949
AKR1C1,HSD3B2,0.957
IRF4,TYRP1,0.406
ASIP,IRF4,0.497
IRF4,MC1R,0.506
IRF4,KITLG,0.525
IRF4,SLC24A4,0.7
MC1R,MLANA,0.501
MLANA,PAX3,0.634
MITF,MLANA,0.741
MLANA,SOX10,0.745
MLANA,TYRP1,0.902
DCT,MLANA,0.921
MLANA,PMEL,0.99
KITLG,TYRP1,0.681
PAX3,TYRP1,0.707
SLC24A4,TYRP1,0.721
POMC,TYRP1,0.729
DCT,TYRP1,0.745
SOX10,TYRP1,0.764
ASIP,TYRP1,0.818
PMEL,TYRP1,0.91
MC1R,TYRP1,0.934
MITF,TYRP1,0.936
MC1R,PAX3,0.429
NCOA2,PAX3,0.435
PAX3,PMEL,0.437
PAX3,TFAP2A,0.595
DCT,PAX3,0.767
MITF,PAX3,0.881
NCOA1,PAX3,0.936
PAX3,SOX10,0.997
CYP19A1,POMC,0.453
CYP19A1,CYP21A2,0.517
CYP19A1,KITLG,0.538
CYP19A1,FSHB,0.705
CYP19A1,GPER1,0.712
CYP19A1,FSHR,0.831
CYP19A1,ESR1,0.927
CYP19A1,HSD17B6,0.936
CYP19A1,SRD5A2,0.961
CYP19A1,HSD3B2,0.979
MC1R,SOX10,0.526
POMC,SOX10,0.558
PMEL,SOX10,0.561
SOX10,TFAP2A,0.657
DCT,SOX10,0.86
MITF,SOX10,0.94
FSHR,GPER1,0.406
GPER1,POMC,0.698
ESR1,GPER1,0.953
NCOA2,NCOR2,0.877
NCOA1,NCOR2,0.884
ESR1,NCOR2,0.993
FKBP5,POMC,0.573
LHB,POMC,0.681
ESR1,POMC,0.692
HSD3B2,POMC,0.697
DCT,POMC,0.756
MITF,POMC,0.799
FSHB,POMC,0.825
CGA,POMC,0.849
CYP21A2,POMC,0.861
ASIP,POMC,0.905
FSHR,POMC,0.93
MC1R,POMC,0.999
FSHR,KITLG,0.436
FSHR,HSD3B2,0.581
FSHR,LHB,0.695
ESR1,FSHR,0.717
CGA,FSHR,0.99
FSHB,FSHR,0.999
NCOA1,NCOA2,0.997
ESR1,NCOA1,0.999
MITF,TFAP2A,0.406
KITLG,MITF,0.578
ASIP,MITF,0.622
MITF,PMEL,0.773
MC1R,MITF,0.847
DCT,MITF,0.956
DCT,KITLG,0.531
ASIP,DCT,0.666
DCT,MC1R,0.759
DCT,PMEL,0.898
ESR1,NCOA2,0.999
MC1R,PMEL,0.64
ESR1,HSD3B2,0.415
ESR1,SRD5A2,0.451
ESR1,FSHB,0.548
ESR1,TFAP2A,0.879
ESR1,FKBP5,0.883
FSHB,LHB,0.676
CGA,FSHB,0.999
KITLG,SLC24A4,0.589
ASIP,SLC24A4,0.723
MC1R,SLC24A4,0.731
FKBP5,KITLG,0.422
HSD17B6,HSD3B2,0.952
HSD3B2,SRD5A2,0.971
CYP21A2,HSD3B2,0.985
HSD17B6,SRD5A2,0.953
KITLG,MC1R,0.552
ASIP,MC1R,0.999
ASIP,KITLG,0.496
CYP21A2,SRD5A2,0.956
CGA,TFAP2A,0.755
CGA,LHB,0.956
