source_gene,source_gene_ensembl,target_endpoint,layer_type,edge_weight_castle_effect,edge_sign,sign_basis,q_value,citation,citation_source
AP3D1,ENSG00000065000,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CCDC22,ENSG00000101997,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
AP1M1,ENSG00000072958,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
KIAA0196,ENSG00000164961,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SEC31A,ENSG00000138674,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RPRD2,ENSG00000163125,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
VPS29,ENSG00000111237,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ASCC3,ENSG00000112249,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
FRYL,ENSG00000075539,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HPS4,ENSG00000100099,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HPS5,ENSG00000110756,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RAB7A,ENSG00000075785,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DHX29,ENSG00000067248,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HPS1,ENSG00000107521,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RAB21,ENSG00000080371,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RAB27A,ENSG00000069974,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
AP1G1,ENSG00000166747,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD8,ENSG00000169019,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HPS6,ENSG00000166189,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.9,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BLOC1S3,ENSG00000189114,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DEK,ENSG00000124795,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
GANAB,ENSG00000089597,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
LZIC,ENSG00000162441,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC24A5,ENSG00000188467,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.8,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ANKRD27,ENSG00000105186,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CDKN2A,ENSG00000147889,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD5,ENSG00000170619,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DCT,ENSG00000080166,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DYRK1A,ENSG00000157540,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HNRNPR,ENSG00000125944,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HPS3,ENSG00000163755,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
VPS35,ENSG00000069329,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD3-BMI1,ENSG00000269897,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SAR1A,ENSG00000079332,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ACTR2,ENSG00000138071,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
NF2,ENSG00000186575,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
OCA2,ENSG00000104044,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC12A9,ENSG00000146828,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ATP6V0A2,ENSG00000185344,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
LYST,ENSG00000143669,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
QKI,ENSG00000112531,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RAB32,ENSG00000118508,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SIAH1,ENSG00000196470,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TMED2,ENSG00000086598,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HDAC3,ENSG00000171720,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
KLF6,ENSG00000067082,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
NCOR1,ENSG00000141027,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SRSF5,ENSG00000100650,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TBL1XR1,ENSG00000177565,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00019277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
C16ORF62,ENSG00000103544,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000324585,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CTDSPL2,ENSG00000137770,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000324585,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TMEM163,ENSG00000152128,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000324585,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SCAF4,ENSG00000156304,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.3,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000324585,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
C10ORF11,ENSG00000148655,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000574266,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
PDCD10,ENSG00000114209,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000574266,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
MSMO1,ENSG00000052802,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000574266,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
TMED10,ENSG00000170348,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000666558,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
MTMR6,ENSG00000139505,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000666558,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CREBBP,ENSG00000005339,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000666558,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
WDR91,ENSG00000105875,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.5,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000880643,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
RBBP6,ENSG00000122257,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.4,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000880643,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
EP300,ENSG00000100393,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000880643,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BACE2,ENSG00000182240,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000880643,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
HNRNPA2B1,ENSG00000122566,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000880643,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
SLC17A5,ENSG00000119899,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.2,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.000972474,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
COMMD10,ENSG00000145781,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.001063731,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
WDR81,ENSG00000167716,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,2.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.001137683,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CUL5,ENSG00000166266,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.1,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.001137683,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
BLOC1S2,ENSG00000196072,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.001187277,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
ACTR3,ENSG00000115091,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.001568584,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CHD8,ENSG00000100888,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.00188499,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
C16ORF80,ENSG00000070761,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.0,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.002223752,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
DTNBP1,ENSG00000047579,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.7,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.002364299,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
CMTR2,ENSG00000180917,melanin_content,bipartite_functional_perturbation_layer_NOT_topology_comparable,1.6,-,knockout/knockdown of source_gene REDUCES melanin_content (all 169 hits share this direction),0.002742412,"PMC10901463 (Bajpai et al. 2023 Science 381:eade6289, DOI 10.1126/science.ade6289); Table S1, q<0.10 hit threshold",pmcid
