GeneID,Symbol,GeneInfo,Localization,Process,Function,Combined_casTLE_Effect,Combined_casTLE_Score,Minimum_Effect_Estimate,Maximum_Effect_Estimate,p_value,q_value,direction_note
ENSG00000138674,SEC31A,SEC31 homolog A (S. cerevisiae),Golgi membrane|cytoplasm|endoplasmic reticulum|endoplasmic reticulum membrane|cytosol|ER to Golgi transport vesicle membrane|vesicle coat|COPII vesicle coat|ER to Golgi transport vesicle|intracellular membrane-bounded organelle|perinuclear region of cytoplasm|,antigen processing and presentation of peptide antigen via MHC class I|ER to Golgi vesicle-mediated transport|ER to Golgi vesicle-mediated transport|activation of signaling protein activity involved in unfolded protein response|protein transport|protein N-linked glycosylation via asparagine|antigen processing and presentation of exogenous peptide antigen via MHC class II|endoplasmic reticulum unfolded protein response|post-translational protein modification|cellular protein metabolic process|COPII vesicle coating|response to calcium ion|membrane organization|,protein binding|calcium-dependent protein binding|,2.3,64.1,1.6,3.0,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000163125,RPRD2,regulation of nuclear pre-mRNA domain containing 2,"DNA-directed RNA polymerase II, holoenzyme|",,,2.2,86.0,1.9,2.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000111237,VPS29,vacuolar protein sorting 29 homolog (S. cerevisiae),cytoplasm|endosome|cytosol|endosome membrane|intracellular membrane-bounded organelle|extracellular vesicular exosome|,protein transport|dephosphorylation|,phosphoserine phosphatase activity|metal ion binding|,2.2,82.4,1.8,2.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000112249,ASCC3,activating signal cointegrator 1 complex subunit 3,intracellular|nucleus|cytoplasm|Golgi apparatus|membrane|,"DNA dealkylation involved in DNA repair|transcription, DNA-templated|regulation of transcription, DNA-templated|cell proliferation|DNA duplex unwinding|",protein binding|ATP binding|ATP-dependent 3'-5' DNA helicase activity|poly(A) RNA binding|,2.1,90.8,1.7,2.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000075539,FRYL,FRY-like,,"transcription, DNA-templated|regulation of transcription, DNA-templated|",,2.1,104.0,1.7,2.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000100099,HPS4,Hermansky-Pudlak syndrome 4,cytoplasm|lysosome|membrane|BLOC-3 complex|melanosome|platelet dense granule|,protein targeting|lysosome organization|blood coagulation|hemostasis|melanocyte differentiation|positive regulation of eye pigmentation|protein stabilization|,protein binding|protein homodimerization activity|protein dimerization activity|,2.1,95.3,1.7,2.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000110756,HPS5,Hermansky-Pudlak syndrome 5,BLOC-2 complex|,organelle organization|blood coagulation|pigmentation|,,2.1,94.1,1.8,2.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000075785,RAB7A,"RAB7A, member RAS oncogene family",lysosome|lysosome|lysosomal membrane|late endosome|late endosome|Golgi apparatus|phagocytic vesicle membrane|melanosome|intracellular membrane-bounded organelle|phagocytic vesicle|extracellular vesicular exosome|alveolar lamellar body|,GTP catabolic process|GTP catabolic process|protein targeting to lysosome|endocytosis|epidermal growth factor catabolic process|small GTPase mediated signal transduction|cell death|endosome to lysosome transport|protein transport|antigen processing and presentation of exogenous peptide antigen via MHC class II|early endosome to late endosome transport|bone resorption|phagosome maturation|phagosome acidification|phagosome-lysosome fusion|,GTPase activity|protein binding|GTP binding|GDP binding|Rac GTPase binding|,2.1,77.2,1.4,2.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000067248,DHX29,DEAH (Asp-Glu-Ala-His) box polypeptide 29,mitochondrion|eukaryotic 43S preinitiation complex|,ATP catabolic process|translational initiation|,translation initiation factor activity|ATP binding|ATP-dependent helicase activity|ribosomal small subunit binding|poly(A) RNA binding|,2.0,94.3,1.6,2.6,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000107521,HPS1,Hermansky-Pudlak syndrome 1,cytoplasm|lysosome|integral component of plasma membrane|cytoplasmic membrane-bounded vesicle|BLOC-3 complex|,lysosome organization|blood coagulation|visual perception|melanocyte differentiation|positive regulation of natural killer cell activation|secretion of lysosomal enzymes|eye pigmentation|retina development in camera-type eye|,protein binding|protein dimerization activity|,2.0,105.0,1.7,2.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000080371,RAB21,"RAB21, member RAS oncogene family",Golgi membrane|endosome|endoplasmic reticulum membrane|cytoplasmic vesicle membrane|early endosome membrane|cleavage furrow|extracellular vesicular exosome|,GTP catabolic process|small GTPase mediated signal transduction|protein transport|,GTPase activity|protein binding|GTP binding|GDP binding|,2.0,99.0,1.6,2.5,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000069974,RAB27A,"RAB27A, member RAS oncogene family",photoreceptor outer segment|lysosome|late endosome|Golgi apparatus|apical plasma membrane|dendrite|secretory granule membrane|multivesicular body membrane|melanosome|extracellular vesicular exosome|exocytic vesicle|,GTP catabolic process|protein targeting|exocytosis|small GTPase mediated signal transduction|blood coagulation|antigen processing and presentation|melanocyte differentiation|melanosome transport|cytotoxic T cell degranulation|natural killer cell degranulation|cellular protein metabolic process|positive regulation of exocytosis|multivesicular body sorting pathway|,GTPase activity|protein binding|GTP binding|GTP binding|GDP binding|protein domain specific binding|myosin V binding|,2.0,60.9,1.4,2.6,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000166747,AP1G1,"adaptor-related protein complex 1, gamma 1 subunit",Golgi membrane|cytoplasm|lysosomal membrane|Golgi apparatus|cytosol|membrane|AP-type membrane coat adaptor complex|clathrin adaptor complex|clathrin-coated vesicle|cytoplasmic vesicle membrane|clathrin-coated vesicle membrane|trans-Golgi network membrane|intracellular membrane-bounded organelle|perinuclear region of cytoplasm|recycling endosome|,intracellular protein transport|post-Golgi vesicle-mediated transport|viral process|antigen processing and presentation of exogenous peptide antigen via MHC class II|melanosome organization|endosome to melanosome transport|positive regulation of natural killer cell degranulation|positive regulation of natural killer cell mediated cytotoxicity|regulation of defense response to virus by virus|membrane organization|Golgi to lysosome transport|,transporter activity|protein binding|protein transporter activity|Rab GTPase binding|kinesin binding|GTP-dependent protein binding|,1.9,108.0,1.6,2.5,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000169019,COMMD8,COMM domain containing 8,,,protein binding|,1.9,61.8,1.4,2.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000166189,HPS6,Hermansky-Pudlak syndrome 6,endoplasmic reticulum|membrane|BLOC-2 complex|early endosome membrane|,organelle organization|blood coagulation|melanocyte differentiation|protein localization to membrane|,Rab GTPase binding|GTP-dependent protein binding|,1.9,106.0,1.6,2.4,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000189114,BLOC1S3,"biogenesis of lysosomal organelles complex-1, subunit 3",cytosol|transport vesicle|BLOC-1 complex|,eye development|post-Golgi vesicle-mediated transport|anterograde axon cargo transport|platelet activation|neuron projection development|melanosome transport|melanosome organization|positive regulation of natural killer cell activation|secretion of lysosomal enzymes|endosome to melanosome transport|response to drug|pigmentation|anterograde synaptic vesicle transport|platelet dense granule organization|membrane organization|,molecular_function|protein binding|,1.8,69.3,1.4,2.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000124795,DEK,DEK proto-oncogene,nucleus|,regulation of transcription from RNA polymerase II promoter|transcription from RNA polymerase II promoter|signal transduction|chromatin modification|viral genome replication|regulation of double-strand break repair|regulation of double-strand break repair via nonhomologous end joining|,DNA binding|histone binding|poly(A) RNA binding|,1.8,101.0,1.6,2.4,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000089597,GANAB,"glucosidase, alpha; neutral AB",endoplasmic reticulum lumen|Golgi apparatus|membrane|glucosidase II complex|melanosome|extracellular vesicular exosome|,protein folding|protein N-linked glycosylation via asparagine|post-translational protein modification|cellular protein metabolic process|,"carbohydrate binding|glucan 1,3-alpha-glucosidase activity|poly(A) RNA binding|",1.8,65.3,1.5,2.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000162441,LZIC,leucine zipper and CTNNBIP1 domain containing,,response to ionizing radiation|,beta-catenin binding|,1.8,52.9,1.2,2.5,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000188467,SLC24A5,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 5",trans-Golgi network|plasma membrane|integral component of membrane|melanosome|,ion transport|potassium ion transport|calcium ion transport|ion transmembrane transport|sodium ion transmembrane transport|response to stimulus|transmembrane transport|,"calcium, potassium:sodium antiporter activity|symporter activity|",1.8,102.0,1.5,2.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000105186,ANKRD27,ankyrin repeat domain 27 (VPS9 domain),cytoplasm|lysosome|early endosome|membrane|,positive regulation of GTPase activity|positive regulation of GTPase activity|early endosome to late endosome transport|,guanyl-nucleotide exchange factor activity|GTPase activator activity|protein binding|,1.7,60.4,1.2,2.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000147889,CDKN2A,cyclin-dependent kinase inhibitor 2A,nucleus|nucleoplasm|nucleoplasm|nucleolus|cytoplasm|mitochondrion|cytosol|nuclear body|senescence-associated heterochromatin focus|protein complex|,"cell cycle checkpoint|G1/S transition of mitotic cell cycle|protein polyubiquitination|mitotic cell cycle|negative regulation of cell-matrix adhesion|transcription, DNA-templated|rRNA processing|negative regulation of protein kinase activity|activation of cysteine-type endopeptidase activity involved in apoptotic process|cell cycle arrest|cell cycle arrest|Ras protein signal transduction|negative regulation of cell proliferation|negative regulation of cell proliferation|apoptotic mitochondrial changes|regulation of G2/M transition of mitotic cell cycle|negative regulation of cell growth|negative regulation of B cell proliferation|regulation of protein stability|protein destabilization|negative regulation of NF-kappaB transcription factor activity|negative regulation of immature T cell proliferation in thymus|positive regulation of protein sumoylation|positive regulation of smooth muscle cell apoptotic process|senescence-associated heterochromatin focus assembly|negative regulation of phosphorylation|positive regulation of DNA damage response, signal transduction by p53 class mediator|negative regulation of cyclin-dependent protein serine/threonine kinase activity|negative regulation of transcription, DNA-templated|positive regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|regulation of protein export from nucleus|somatic stem cell division|protein stabilization|negative regulation of ubiquitin-protein transferase activity|protein K63-linked ubiquitination|positive regulation of cell cycle arrest|cellular senescence|replicative senescence|regulation of apoptotic DNA fragmentation|positive regulation of macrophage apoptotic process|positive regulation of cellular senescence|",p53 binding|DNA binding|cyclin-dependent protein serine/threonine kinase inhibitor activity|protein binding|transcription factor binding|protein kinase binding|poly(A) RNA binding|NF-kappaB binding|ubiquitin-protein transferase inhibitor activity|MDM2/MDM4 family protein binding|,1.7,83.8,1.4,2.2,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000170619,COMMD5,COMM domain containing 5,nucleus|,,protein binding|,1.7,81.6,1.4,2.2,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000080166,DCT,dopachrome tautomerase,cytosol|integral component of membrane|melanosome membrane|melanosome|,positive regulation of neuroblast proliferation|melanin biosynthetic process from tyrosine|epidermis development|ventricular zone neuroblast division|developmental pigmentation|cell development|oxidation-reduction process|,dopachrome isomerase activity|copper ion binding|oxidoreductase activity|,1.7,93.3,1.4,2.2,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000157540,DYRK1A,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A,nucleus|nucleoplasm|nuclear speck|ribonucleoprotein complex|,"mitotic cell cycle|protein phosphorylation|nervous system development|circadian rhythm|peptidyl-serine phosphorylation|peptidyl-threonine phosphorylation|peptidyl-tyrosine phosphorylation|peptidyl-tyrosine phosphorylation|negative regulation of DNA damage response, signal transduction by p53 class mediator|protein autophosphorylation|positive regulation of protein deacetylation|",protein kinase activity|protein serine/threonine kinase activity|protein serine/threonine/tyrosine kinase activity|protein tyrosine kinase activity|non-membrane spanning protein tyrosine kinase activity|protein binding|ATP binding|protein self-association|tau protein binding|,1.7,57.7,1.1,2.6,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000125944,HNRNPR,heterogeneous nuclear ribonucleoprotein R,nucleus|nucleoplasm|nucleoplasm|spliceosomal complex|cytoplasm|ribonucleoprotein complex|catalytic step 2 spliceosome|,"mRNA splicing, via spliceosome|mRNA splicing, via spliceosome|mRNA processing|RNA splicing|gene expression|",nucleotide binding|RNA binding|protein binding|poly(A) RNA binding|,1.7,89.6,1.4,2.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000163755,HPS3,Hermansky-Pudlak syndrome 3,BLOC-2 complex|,organelle organization|pigmentation|,,1.7,96.8,1.5,2.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000069329,VPS35,vacuolar protein sorting 35 homolog (S. cerevisiae),lysosomal membrane|endosome|cytosol|cytosol|retromer complex|extracellular vesicular exosome|,"cell death|protein transport|retrograde transport, endosome to Golgi|",protein binding|,1.7,73.1,1.4,2.3,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000269897,COMMD3-BMI1,COMMD3-BMI1 readthrough,,,,1.6,80.3,1.3,2.2,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000079332,SAR1A,"secretion associated, Ras related GTPase 1A",Golgi apparatus|sarcoplasmic reticulum|extracellular vesicular exosome|,intracellular protein transport|vesicle-mediated transport|,GTP binding|,1.5,57.1,1.1,2.1,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000138071,ACTR2,ARP2 actin-related protein 2 homolog (yeast),cytosol|Arp2/3 protein complex|Arp2/3 protein complex|actin cytoskeleton|membrane|actin cap|cell projection|extracellular vesicular exosome|,cellular component movement|establishment or maintenance of cell polarity|asymmetric cell division|cytoplasmic transport|actin cytoskeleton organization|meiotic cytokinesis|Fc-gamma receptor signaling pathway involved in phagocytosis|innate immune response|spindle localization|,actin binding|ATP binding|,1.4,77.6,1.1,1.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000186575,NF2,neurofibromin 2 (merlin),nucleus|nucleolus|cytoplasm|early endosome|cytoskeleton|plasma membrane|adherens junction|membrane|extrinsic component of membrane|lamellipodium|cortical actin cytoskeleton|filopodium membrane|cleavage furrow|ruffle membrane|perinuclear region of cytoplasm|,mesoderm formation|negative regulation of cell-matrix adhesion|negative regulation of protein kinase activity|ectoderm development|negative regulation of DNA replication|negative regulation of cell proliferation|negative regulation of cell proliferation|Schwann cell proliferation|negative regulation of cell-cell adhesion|actin cytoskeleton organization|negative regulation of cell migration|regulation of hippo signaling|odontogenesis of dentin-containing tooth|negative regulation of tyrosine phosphorylation of Stat3 protein|negative regulation of tyrosine phosphorylation of Stat5 protein|negative regulation of MAPK cascade|cell-cell junction organization|negative regulation of JAK-STAT cascade|positive regulation of stress fiber assembly|lens fiber cell differentiation|,actin binding|protein binding|,1.4,53.5,1.1,2.0,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000104044,OCA2,oculocutaneous albinism II,cytoplasm|lysosomal membrane|endoplasmic reticulum membrane|endosome membrane|integral component of membrane|melanosome membrane|,eye pigment biosynthetic process|spermatid development|cell proliferation|tyrosine transport|melanocyte differentiation|melanin biosynthetic process|transmembrane transport|,transporter activity|L-tyrosine transmembrane transporter activity|protein binding|,1.4,60.2,1.0,1.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000146828,SLC12A9,"solute carrier family 12, member 9",plasma membrane|integral component of membrane|extracellular vesicular exosome|,chloride transport|chloride transmembrane transport|,cation:chloride symporter activity|,1.4,61.3,1.1,2.0,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000185344,ATP6V0A2,"ATPase, H+ transporting, lysosomal V0 subunit a2","vacuolar proton-transporting V-type ATPase, V0 domain|acrosomal vesicle|cytoplasm|lysosomal membrane|plasma membrane|endosome membrane|integral component of membrane|phagocytic vesicle membrane|",cellular iron ion homeostasis|immune response|insulin receptor signaling pathway|ATP hydrolysis coupled proton transport|transferrin transport|interaction with host|transmembrane transport|phagosome maturation|,protein binding|hydrogen ion transmembrane transporter activity|,1.3,60.6,1.0,1.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000143669,LYST,lysosomal trafficking regulator,cytosol|microtubule cytoskeleton|,neutrophil mediated immunity|T cell mediated immunity|phospholipid metabolic process|microtubule-based process|lysosome organization|blood coagulation|leukocyte chemotaxis|melanosome organization|endosome to lysosome transport via multivesicular body sorting pathway|positive regulation of natural killer cell activation|secretion of lysosomal enzymes|mast cell secretory granule organization|natural killer cell mediated cytotoxicity|response to drug|defense response to bacterium|defense response to protozoan|pigmentation|defense response to virus|phospholipid homeostasis|,protein binding|,1.3,52.0,1.0,2.5,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000112531,QKI,"QKI, KH domain containing, RNA binding",nucleus|cytoplasm|,vasculogenesis|mRNA processing|regulation of translation|spermatid development|RNA splicing|positive regulation of gene expression|myelination|muscle cell differentiation|long-chain fatty acid biosynthetic process|mRNA transport|,protein binding|SH3 domain binding|poly(A) RNA binding|,1.3,73.7,1.0,1.9,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000118508,RAB32,"RAB32, member RAS oncogene family",mitochondrion|early endosome|membrane|phagocytic vesicle membrane|melanosome|phagocytic vesicle|,small GTPase mediated signal transduction|protein transport|antigen processing and presentation|melanosome organization|endosome to melanosome transport|phagosome maturation|,protein binding|GTP binding|GTP-dependent protein binding|protein complex binding|AP-1 adaptor complex binding|AP-3 adaptor complex binding|,1.3,87.8,1.1,1.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000196470,SIAH1,siah E3 ubiquitin protein ligase 1,nucleus|cytoplasm|early endosome|cytosol|plasma membrane|beta-catenin destruction complex|,proteolysis|ubiquitin-dependent protein catabolic process|apoptotic process|cell cycle|spermatogenesis|nervous system development|axon guidance|anatomical structure morphogenesis|protein catabolic process|protein destabilization|protein ubiquitination involved in ubiquitin-dependent protein catabolic process|positive regulation of apoptotic process|proteasome-mediated ubiquitin-dependent protein catabolic process|neuron apoptotic process|positive regulation of intrinsic apoptotic signaling pathway|,ubiquitin-protein transferase activity|ubiquitin-protein transferase activity|ubiquitin-protein transferase activity|protein binding|protein C-terminus binding|zinc ion binding|zinc ion binding|ligase activity|,1.3,57.8,1.0,1.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000086598,TMED2,transmembrane emp24 domain trafficking protein 2,endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|integral component of membrane|COPI-coated vesicle|COPI-coated vesicle membrane|Golgi cisterna membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|zymogen granule membrane|intracellular membrane-bounded organelle|,maternal placenta development|intracellular protein transport|ER to Golgi vesicle-mediated transport|Golgi organization|negative regulation of GTPase activity|cargo loading into vesicle|COPI coating of Golgi vesicle|COPII vesicle coating|embryonic morphogenesis|protein targeting to plasma membrane|,protein binding|,1.3,54.3,1.0,1.8,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
ENSG00000171720,HDAC3,histone deacetylase 3,histone deacetylase complex|nucleus|nucleus|nucleoplasm|cytoplasm|spindle microtubule|transcriptional repressor complex|,"negative regulation of transcription from RNA polymerase II promoter|negative regulation of transcription from RNA polymerase II promoter|transcription, DNA-templated|protein deacetylation|Notch signaling pathway|regulation of mitotic cell cycle|chromatin modification|circadian regulation of gene expression|regulation of multicellular organism growth|negative regulation of apoptotic process|cellular lipid metabolic process|small molecule metabolic process|negative regulation of cell cycle|negative regulation of transcription, DNA-templated|negative regulation of JNK cascade|neurotrophin TRK receptor signaling pathway|spindle assembly|histone H3 deacetylation|histone H4 deacetylation|",chromatin binding|transcription corepressor activity|transcription corepressor activity|histone deacetylase activity|histone deacetylase activity|protein binding|transcription factor binding|transcription factor binding|enzyme binding|cyclin binding|chromatin DNA binding|NAD-dependent histone deacetylase activity (H3-K14 specific)|protein deacetylase activity|histone deacetylase binding|NAD-dependent histone deacetylase activity (H3-K9 specific)|NAD-dependent histone deacetylase activity (H4-K16 specific)|NAD-dependent histone deacetylase activity (H3-K18 specific)|,1.2,62.6,1.0,1.7,2e-06,0.00019277,perturbation_reduces_pigmentation (enriched in low-SSC/low-melanin gate)
