node,base,node_type,type_source,compartment,state,dual_compartment
Indole_5_6_quinone_carboxylic_acid_melan,Indole_5_6_quinone_carboxylic_acid,pending_db_resolution,,melanocyte,,False
Indole_5_6_quinone_melan,Indole_5_6_quinone,pending_db_resolution,,melanocyte,,False
JAK1_kerat,JAK1,pending_db_resolution,,keratinocyte,,False
JUN_kerat,JUN,pending_db_resolution,,keratinocyte,,True
JUN_melan,JUN,pending_db_resolution,,melanocyte,,True
KITLG_kerat,KITLG,pending_db_resolution,,keratinocyte,,True
KITLG_melan,KITLG,pending_db_resolution,,melanocyte,,True
KIT_melan,KIT,pending_db_resolution,,melanocyte,,False
Lipid_Peroxidation_kerat,Lipid_Peroxidation,pending_db_resolution,,keratinocyte,,False
MAP2K1_kerat,MAP2K1,pending_db_resolution,,keratinocyte,,True
MAP2K1_melan,MAP2K1,pending_db_resolution,,melanocyte,,True
MAP2K2_kerat,MAP2K2,pending_db_resolution,,keratinocyte,,True
MAP2K2_melan,MAP2K2,pending_db_resolution,,melanocyte,,True
MAP2K3_kerat,MAP2K3,pending_db_resolution,,keratinocyte,,True
MAP2K3_melan,MAP2K3,pending_db_resolution,,melanocyte,,True
MAP2K4_kerat,MAP2K4,pending_db_resolution,,keratinocyte,,True
MAP2K4_melan,MAP2K4,pending_db_resolution,,melanocyte,,True
MAP2K6_kerat,MAP2K6,pending_db_resolution,,keratinocyte,,True
MAP2K6_melan,MAP2K6,pending_db_resolution,,melanocyte,,True
MAP2K7_kerat,MAP2K7,pending_db_resolution,,keratinocyte,,True
MAP2K7_melan,MAP2K7,pending_db_resolution,,melanocyte,,True
MAP3K14_kerat,MAP3K14,pending_db_resolution,,keratinocyte,,False
MAP3K1_kerat,MAP3K1,pending_db_resolution,,keratinocyte,,True
MAP3K1_melan,MAP3K1,pending_db_resolution,,melanocyte,,True
MAP3K5_kerat,MAP3K5,pending_db_resolution,,keratinocyte,,False
MAP3K7:TAB1_kerat,MAP3K7:TAB1,complex,raghunath_file_syntax,keratinocyte,,False
MAP4K2_kerat,MAP4K2,pending_db_resolution,,keratinocyte,,False
MAPK14_kerat,MAPK14,pending_db_resolution,,keratinocyte,,True
MAPK14_melan,MAPK14,pending_db_resolution,,melanocyte,,True
MAPK1_kerat,MAPK1,pending_db_resolution,,keratinocyte,,True
MAPK1_melan,MAPK1,pending_db_resolution,,melanocyte,,True
MAPK3_kerat,MAPK3,pending_db_resolution,,keratinocyte,,True
MAPK3_melan,MAPK3,pending_db_resolution,,melanocyte,,True
MAPK8_kerat,MAPK8,pending_db_resolution,,keratinocyte,,True
MAPK8_melan,MAPK8,pending_db_resolution,,melanocyte,,True
MC1R_kerat,MC1R,pending_db_resolution,,keratinocyte,,True
MC1R_melan,MC1R,pending_db_resolution,,melanocyte,,True
MCL1:BAK1_kerat,MCL1:BAK1,complex,raghunath_file_syntax,keratinocyte,,False
MCL1:BAX_kerat,MCL1:BAX,complex,raghunath_file_syntax,keratinocyte,,False
MCL1_kerat,MCL1,pending_db_resolution,,keratinocyte,,False
MET_melan,MET,pending_db_resolution,,melanocyte,,False
MITF:EP300_melan,MITF:EP300,complex,raghunath_file_syntax,melanocyte,,False
MITF_melan,MITF,pending_db_resolution,,melanocyte,,False
MLANA,MLANA,pending_db_resolution,,none,,False
MMP1_kerat,MMP1,pending_db_resolution,,keratinocyte,,True
MMP1_melan,MMP1,pending_db_resolution,,melanocyte,,True
MMPs_kerat,MMPs,pending_db_resolution,,keratinocyte,,False
MSN_melan,MSN,pending_db_resolution,,melanocyte,,False
Melanocyte_migration,Melanocyte_migration,pending_db_resolution,,none,,False
Melanosome_biogenesis,Melanosome_biogenesis,pending_db_resolution,,none,,False
Melanosome_phagocytosis_kerat,Melanosome_phagocytosis,pending_db_resolution,,keratinocyte,,False
NFAT2_kerat,NFAT2,pending_db_resolution,,keratinocyte,,False
NFKB1_kerat,NFKB1,pending_db_resolution,,keratinocyte,,False
NGF_kerat,NGF,pending_db_resolution,,keratinocyte,,False
NOS2_kerat,NOS2,pending_db_resolution,,keratinocyte,,False
NOX1_kerat,NOX1,pending_db_resolution,,keratinocyte,,False
NTRK1_melan,NTRK1,pending_db_resolution,,melanocyte,,False
Nitric_oxide_kerat,Nitric_oxide,pending_db_resolution,,keratinocyte,,False
OCA2,OCA2,pending_db_resolution,,none,,False
PAK1_kerat,PAK1,pending_db_resolution,,keratinocyte,,True
PAK1_melan,PAK1,pending_db_resolution,,melanocyte,,True
PAX3_melan,PAX3,pending_db_resolution,,melanocyte,,False
PDPK1_kerat,PDPK1,pending_db_resolution,,keratinocyte,,True
PDPK1_melan,PDPK1,pending_db_resolution,,melanocyte,,True
PGE2_kerat,PGE2,pending_db_resolution,,keratinocyte,,True
PGE2_melan,PGE2,pending_db_resolution,,melanocyte,,True
PIAS3_melan,PIAS3,pending_db_resolution,,melanocyte,,False
PIK3CA_kerat,PIK3CA,pending_db_resolution,,keratinocyte,,True
PIK3CA_melan,PIK3CA,pending_db_resolution,,melanocyte,,True
PKC_kerat,PKC,pending_db_resolution,,keratinocyte,,False
PLA2_kerat,PLA2,pending_db_resolution,,keratinocyte,,False
PLC_kerat,PLC,pending_db_resolution,,keratinocyte,,True
PLC_melan,PLC,pending_db_resolution,,melanocyte,,True
PMAIP1_kerat,PMAIP1,pending_db_resolution,,keratinocyte,,False
PMEL_melan,PMEL,pending_db_resolution,,melanocyte,,False
PPP3CA_kerat,PPP3CA,pending_db_resolution,,keratinocyte,,False
PRKACA_kerat,PRKACA,pending_db_resolution,,keratinocyte,,True
PRKACA_melan,PRKACA,pending_db_resolution,,melanocyte,,True
PRKCB_melan,PRKCB,pending_db_resolution,,melanocyte,,False
PRKCD_kerat,PRKCD,pending_db_resolution,,keratinocyte,,False
PRKCH_kerat,PRKCH,pending_db_resolution,,keratinocyte,,False
PRKCZ_kerat,PRKCZ,pending_db_resolution,,keratinocyte,,True
PRKCZ_melan,PRKCZ,pending_db_resolution,,melanocyte,,True
PRKG1_melan,PRKG1,pending_db_resolution,,melanocyte,,False
PTGER1_melan,PTGER1,pending_db_resolution,,melanocyte,,False
PTGER2_kerat,PTGER2,pending_db_resolution,,keratinocyte,,False
PTGER3_melan,PTGER3,pending_db_resolution,,melanocyte,,False
PTGER4_kerat,PTGER4,pending_db_resolution,,keratinocyte,,False
PTGS2_kerat,PTGS2,pending_db_resolution,,keratinocyte,,True
PTGS2_melan,PTGS2,pending_db_resolution,,melanocyte,,True
Pheomelanin_melan,Pheomelanin,pending_db_resolution,,melanocyte,,False
Phosphodiesterase_melan,Phosphodiesterase,pending_db_resolution,,melanocyte,,False
RAC1:PARD6A:CDC42_melan,RAC1:PARD6A:CDC42,complex,raghunath_file_syntax,melanocyte,,False
RAC1_kerat,RAC1,pending_db_resolution,,keratinocyte,,True
RAC1_melan,RAC1,pending_db_resolution,,melanocyte,,True
RAF1_kerat,RAF1,pending_db_resolution,,keratinocyte,,True
RAF1_melan,RAF1,pending_db_resolution,,melanocyte,,True
RAP1A_melan,RAP1A,pending_db_resolution,,melanocyte,,False
RDX,RDX,pending_db_resolution,,none,,False
RHOA_kerat,RHOA,pending_db_resolution,,keratinocyte,,False
ROS_kerat,ROS,pending_db_resolution,,keratinocyte,,False
RPS6KA1_kerat,RPS6KA1,pending_db_resolution,,keratinocyte,,True
RPS6KA1_melan,RPS6KA1,pending_db_resolution,,melanocyte,,True
RYR1_kerat,RYR1,pending_db_resolution,,keratinocyte,,True
RYR1_melan,RYR1,pending_db_resolution,,melanocyte,,True
SMPD1_kerat,SMPD1,pending_db_resolution,,keratinocyte,,False
SMPD2_kerat,SMPD2,pending_db_resolution,,keratinocyte,,False
SOS1:GRB2:SHC1_kerat,SOS1:GRB2:SHC1,complex,raghunath_file_syntax,keratinocyte,,True
SOS1:GRB2:SHC1_melan,SOS1:GRB2:SHC1,complex,raghunath_file_syntax,melanocyte,,True
SOX10_melan,SOX10,pending_db_resolution,,melanocyte,,False
SPTLC1_kerat,SPTLC1,pending_db_resolution,,keratinocyte,,False
SPTLC2_kerat,SPTLC2,pending_db_resolution,,keratinocyte,,False
SRC_kerat,SRC,pending_db_resolution,,keratinocyte,,False
STAT1_kerat,STAT1,pending_db_resolution,,keratinocyte,,False
STAT3_kerat,STAT3,pending_db_resolution,,keratinocyte,,True
STAT3_melan,STAT3,pending_db_resolution,,melanocyte,,True
Singlet_oxygen_kerat,Singlet_oxygen,pending_db_resolution,,keratinocyte,,False
Skin_aging,Skin_aging,pending_db_resolution,,none,,False
Skin_inflammation,Skin_inflammation,pending_db_resolution,,none,,False
TFAP2A_kerat,TFAP2A,pending_db_resolution,,keratinocyte,,False
TNFRSF1A:NSMAF:GNB2L1_kerat,TNFRSF1A:NSMAF:GNB2L1,complex,raghunath_file_syntax,keratinocyte,,False
TNFRSF1A:TRADD:FADD_kerat,TNFRSF1A:TRADD:FADD,complex,raghunath_file_syntax,keratinocyte,,False
TNFRSF1A:TRAF2:RIPK1_kerat,TNFRSF1A:TRAF2:RIPK1,complex,raghunath_file_syntax,keratinocyte,,False
TNFRSF1A_kerat,TNFRSF1A,pending_db_resolution,,keratinocyte,,False
TNF_kerat,TNF,pending_db_resolution,,keratinocyte,,False
TP53_kerat,TP53,pending_db_resolution,,keratinocyte,,True
TP53_melan,TP53,pending_db_resolution,,melanocyte,,True
TPSAB1,TPSAB1,pending_db_resolution,,none,,False
TYRP1_melan,TYRP1,pending_db_resolution,,melanocyte,,False
TYR_melan,TYR,pending_db_resolution,,melanocyte,,False
Trypsin,Trypsin,pending_db_resolution,,none,,False
Tyrosine_melan,Tyrosine,pending_db_resolution,,melanocyte,,False
USF1_melan,USF1,pending_db_resolution,,melanocyte,,False
UVA,UVA,environmental,raghunath_paper_text,none,,False
UVB,UVB,environmental,raghunath_paper_text,none,,False
WNT5A,WNT5A,pending_db_resolution,,none,,False
alpha_MSH_kerat,alpha_MSH,pending_db_resolution,,keratinocyte,,True
alpha_MSH_melan,alpha_MSH,pending_db_resolution,,melanocyte,,True
cAMP_kerat,cAMP,pending_db_resolution,,keratinocyte,,True
cAMP_melan,cAMP,pending_db_resolution,,melanocyte,,True
cGMP_melan,cGMP,pending_db_resolution,,melanocyte,,False
