source_TF,target,sign,confidence_tier,citation,edge_provenance,omnipath_sources,n_pmids,mixed_sign_evidence,note
MITF,FOS,activation,A,PMID:14737107,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA,1,False,
MITF,GSK3B,unsigned,D,PMID:12093801,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA,1,False,
MITF,HGF,activation,CollecTRI(ungraded),PMID:16455654,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,
MITF,HIF1A,activation,A,"PMID:15983061,16386209,19995375,22012259,26999813,27220989,31207090","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA,7,False,
MITF,KIT,activation,A,"PMID:11041370,11076759,11174389,19067971,19937254,1999537,20374522,25810396,29885053,36241703,8695840,9199364,9553202","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,13,False,
MITF,MAPK1,unsigned,D,PMID:18628967,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA,1,False,
MITF,MC1R,activation,D,"PMID:10623832,12204775,21119619,22564683,31318566","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA,5,False,
MITF,MET,activation,A,"PMID:16455654,17371876,19067971,1999537,20067553,20068147,24317198,26845432,27220989,32319656","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;PAZAR_DoRothEA;ReMap_DoRothEA;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,10,False,
MITF,MLANA,activation,A,"PMID:12819038,14744763,19067971,19699574,1999537,20099279,20482673,24733089,26599548,27515936,31354817,33181138,37628992","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;PAZAR_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,13,False,
MITF,NSMAF,unsigned,B,OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources),"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,0,False,
MITF,OCA2,activation,A,PMID:22234890,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;PAZAR_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA,1,False,
MITF,PAX3,unsigned,D,PMID:22290434,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;DoRothEA;ExTRI_CollecTRI;PAZAR_DoRothEA,1,False,
MITF,PDE4B,unsigned,B,OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources),"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,0,False,
MITF,PIAS3,unsigned,CollecTRI(ungraded),"PMID:16368885,19201870,21519923","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,3,False,
MITF,PMEL,activation,A,"PMID:11076759,12819038,14643677,15357840,16964280,19067971,19699574,1999537,20099279,24769727,26070258,27515936,27774936,31354817,37628992,37734767","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2;GOA_CollecTRI;GOA_CollecTRI2;PAZAR_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,16,False,
MITF,PRKACA,activation,CollecTRI(ungraded),PMID:24333333,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,
MITF,PRKCB,activation,A,PMID:16411896,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;PAZAR_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA,1,False,
MITF,PRKCH,unsigned,B,OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources),"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,0,False,
MITF,PRKCZ,unsigned,D,PMID:21258399,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",DoRothEA;PAZAR;PAZAR_DoRothEA,1,False,
MITF,PTGS2,repression,CollecTRI(ungraded),PMID:24471568,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2,1,True,
MITF,STAT3,unsigned,B,OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources),"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",DoRothEA;PAZAR_DoRothEA;ReMap_DoRothEA,0,False,
MITF,TPSAB1,activation,CollecTRI(ungraded),"PMID:11157480,11741327,14527958,18284417,20513998","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;SIGNOR;SIGNOR_CollecTRI;SIGNOR_CollecTRI2,5,False,
MITF,TYR,activation,A,"PMID:10080955,10587587,10770922,11076759,11532965,11830592,12034359,12093801,12136092,12201672,12204775,12485437,12663655,12859621,14632202,14717844,15558216,15760338,15894174,16280009,16394501,16411896,16420250,16493586,16648630,16757562,16807878,17024102,17083486,17116288,17237008,17250547,17266927,17457519,17473428,17516925,17702866,18177348,18424413,18457359,18803655,19067970,19067971,19424591,19469902,19527735,19938076,1999537,19995375,20099279,20163455,20177067,20445320,20460767,20482673,20485200,20549222,20834163,20862309,21119619,21519923,21569106,21910056,21957942,21972008,21988805,21995379,22162275,22251576,22259223,22371403,22465131,22536778,22555175,22710324,22867636,22898827,23041339,23063590,23098757,23768344,23812774,23872139,23876066,23935660,24016750,24078219,24192058,24267888,24671267,24756377,24769727,25333888,25488359,25663088,26018825,26349509,26387540,26524968,26601420,26663053,27242917,27343558,27374284,27774936,28165285,28390782,28392346,28842328,29019920,29221146,29369499,29621941,29865165,29886459,30084054,30322121,30408247,30417494,30579288,30603437,30668315,30671368,30987288,31288940,31484592,31547367,31973810,32450387,32674403,33205668,33260669,33340761,33545118,33731492,33823181,33896085,33917957,34049220,34299326,34641584,34923233,34946730,35163281,35203061,35266648,35290062,35325017,35566061,35716437,35733058,35889231,36030197,36080217,36080359,36207998,36235295,36545047,36978940,37107174,37138409,37794194,7862173,7969144,8622664,8645245,8659547,8707852,8749302,8995290,9158138,9170159,9417870,9500554,9593634,9647758","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;GOA_CollecTRI;GOA_CollecTRI2;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR;PAZAR_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2;Wang,176,False,
MITF,TYRP1,activation,A,"PMID:10080955,10480898,10770922,11076759,11237412,11310793,12136092,12204775,12859621,14632202,15760338,16197942,16411896,16493586,16648630,17071589,17237008,17266927,17457519,19067970,19067971,19192212,19699574,1999537,19995375,20834163,21119619,21519923,21972008,22371403,22536778,22710324,22847819,22898827,23041339,23063590,23178856,23416839,23729736,24016750,24192058,25126713,25663088,26524968,27374284,28390782,28431046,29545604,29621941,30322121,30408247,30579288,30603437,31288940,33205668,33260669,33823181,33896085,35203061,35461746,35733058,36080359,36734267,36978940,37138409,8749302,8995290","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;PAZAR_DoRothEA;SIGNOR_CollecTRI;SIGNOR_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2;Wang,67,False,
PAX3,AHR,activation,CollecTRI(ungraded),PMID:22728919,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,AKT1,unsigned,CollecTRI(ungraded),PMID:10602488,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,BAX,repression,CollecTRI(ungraded),PMID:18053811,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,BCL2,activation,CollecTRI(ungraded),PMID:20435036,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,BCL2L1,activation,A,"PMID:10871843,11059777,20421967,21802410","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,4,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,CALM1,activation,CollecTRI(ungraded),PMID:10945244,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,CDK4,activation,CollecTRI(ungraded),"PMID:23469153,26199390","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI,2,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,DCT,activation,D,"PMID:15729346,16857183,1999537,20032463,37333245","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;ExTRI2_CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2;TFactS_CollecTRI;TFactS_DoRothEA;TfactS_CollecTRI2,5,True,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,EGFR,activation,CollecTRI(ungraded),PMID:20435036,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,F10,activation,CollecTRI(ungraded),PMID:11159521,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,GSK3B,activation,CollecTRI(ungraded),PMID:24577092,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,MET,activation,A,"PMID:12587921,15520281,20067553,28978033,8631247,8633043,9464541","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;RegNetwork_DoRothEA;TRED_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2;Wang,7,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,MITF,activation,A,"PMID:10480898,10536986,10644012,10938265,10942418,10982026,11041370,11237412,11830592,12519122,12668617,15729346,16280008,16494873,16998588,19026785,19074888,19403660,20032463,20925909,21164369,21519923,21965087,21997191,22290434,24062982,25466249,26977879,27012829,28390782,29158168,29545604,29865165,30277012,30914325,32168437,32990402,37823232,9500554","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;FANTOM4_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA,39,True,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,SOX10,activation,CollecTRI(ungraded),"PMID:11032856,24760871","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;GEREDB_CollecTRI;GEREDB_CollecTRI2,2,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,TP53,repression,CollecTRI(ungraded),"PMID:11914272,16303321,18053811,22216266,29937714,36191262","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI,6,True,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,TYR,activation,CollecTRI(ungraded),"PMID:11237412,15760338,21997191,29865165","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI,4,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,TYRP1,activation,CollecTRI(ungraded),"PMID:10480898,15760338,16280008,20032463","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI,4,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
PAX3,USF1,activation,CollecTRI(ungraded),PMID:19087304,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;ExTRI_CollecTRI,1,False,"PAX3 regulon edge: literature/database-curated (DoRothEA/CollecTRI text-mining + curated DBs), NOT melanocyte ChIP-seq-confirmed (unavailable until 2025) — lower confidence than MITF/SOX10 edges."
SOX10,DCT,activation,A,"PMID:11543611,12036907,14706856,15250937,16029420,16857183,17702866,1999537,21519923,28431046","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;SPIKE;SPIKE_LC;TFactS_CollecTRI;TFactS_DoRothEA;TFe_DoRothEA;TfactS_CollecTRI2,10,True,
SOX10,EDNRB,activation,A,"PMID:15170213,16412618,16623715,16921166,27663687,28063956,31313802","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;PAZAR;SPIKE;SPIKE_LC;TFactS_CollecTRI;TFe_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,7,False,
SOX10,MET,activation,CollecTRI(ungraded),PMID:20067553,"DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2,1,False,
SOX10,MITF,activation,A,"PMID:10938265,10942418,10973953,10982026,11543611,11734543,11830592,12668617,12944398,14706856,15760336,16494873,16921166,17702866,19026785,19422606,19805117,21203491,21519923,21965087,22363655,22594792,23913827,24927141,26927636,27454999,30914325,32168437","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;PAZAR;ReMap_DoRothEA;SPIKE;SPIKE_LC;TFactS_CollecTRI;TFe_DoRothEA;TRRUST;TRRUST_CollecTRI;TRRUST_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2,28,True,
SOX10,TYR,activation,A,"PMID:16757562,17516925,17702866,21210960,22391242,30809299","DoRothEA/CollecTRI regulon (OmniPath frozen pull, omnipath_internal.json)",CollecTRI;CollecTRI2;DoRothEA;DoRothEA-A_CollecTRI2;ExTRI2_CollecTRI2;ExTRI_CollecTRI;GEREDB_CollecTRI;GEREDB_CollecTRI2;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;SPIKE;SPIKE_LC;TFe_DoRothEA,6,False,
PAX3,RET,activation,literature-added(low-confidence),PMID:11032856;PMID:12668617,"manually added — Lang et al. 2000 (J Clin Invest 106:963-971, doi:10.1172/JCI10828, PMID:11032856) show PAX3 is required for enteric ganglia formation and that PAX3 binds/activates c-RET transcription, functioning with SOX10; Lang & Epstein 2003 (Hum Mol Genet 12:937-945, doi:10.1093/hmg/ddg107, PMID:12668617) characterize the specific mechanism (PAX3-SOX10 physical interaction activating a conserved c-RET enhancer). NOT present in the DoRothEA/CollecTRI regulon pull; both PMIDs verified live via PubMed/JCI/HMG before being written to this table.","NOT in omnipath_internal.json — hand-added, two primary references",2,False,"PAX3 low-confidence tier: literature edge (2 papers), not corroborated by DoRothEA/CollecTRI meta-curation, no melanocyte ChIP-seq support."
