source,target,sign,edge_layer,verb,interaction_norm,reference,source_comp,target_comp,compartment_relation,source_node_raw,target_node_raw,container_type,member_type,member_source
AKT1,EZR,+,backbone,activates,activates,[12],melanocyte,melanocyte,autocrine,AKT1_melan,EZR_melan,,,
AKT1,FOS,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,AKT1_melan,FOS_melan,,,
AKT1,GSK3B,-,backbone,inhibits,inhibits,[13],melanocyte,melanocyte,autocrine,AKT1_melan,GSK3B_melan,,,
AKT1,MSN,+,backbone,activates,activates,[12],melanocyte,melanocyte,autocrine,AKT1_melan,MSN_melan,,,
AKT1,RDX,+,backbone,activates,activates,[12],melanocyte,none,scaffold,AKT1_melan,RDX,,,
alpha_MSH_kerat,MC1R,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,alpha_MSH_kerat,MC1R_melan,,,
alpha_MSH_kerat,NFKB1,-,backbone,inhibits,inhibits,[2],keratinocyte,keratinocyte,autocrine,alpha_MSH_kerat,NFKB1_kerat,,,
alpha_MSH_melan,MC1R,+,backbone,activates,activates,[14],melanocyte,melanocyte,autocrine,alpha_MSH_melan,MC1R_melan,,,
APAF1:CYCS_kerat,CASP9,+,backbone,activates,activates,[15],keratinocyte,keratinocyte,autocrine,APAF1:CYCS_kerat,CASP9_kerat,,,
Arachidonic_Acid_kerat,PGE2_kerat,+,backbone,gets converted to,gets converted to,[16],keratinocyte,keratinocyte,autocrine,Arachidonic_Acid_kerat,PGE2_kerat,,,
Arachidonic_Acid_melan,PGE2_melan,+,backbone,gets converted to,gets converted to,[17],melanocyte,melanocyte,autocrine,Arachidonic_Acid_melan,PGE2_melan,,,
BAD,CYCS,+,backbone,increases release,increases release,[6],keratinocyte,keratinocyte,autocrine,BAD_kerat,CYCS_kerat,,,
BAD,CYCS,+,backbone,increases release,increases release,[18],melanocyte,melanocyte,autocrine,BAD_melan,CYCS_melan,,,
BAK1,CYCS,+,backbone,increases release,increases release,[19],keratinocyte,keratinocyte,autocrine,BAK1_kerat,CYCS_kerat,,,
BAX,CYCS,+,backbone,increases release,increases release,[20],keratinocyte,keratinocyte,autocrine,BAX_kerat,CYCS_kerat,,,
BAX,CYCS,+,backbone,increases release,increases release,NetProTM,melanocyte,melanocyte,autocrine,BAX_melan,CYCS_melan,,,
BBC3,BAX,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,BBC3_melan,BAX_melan,,,
BCL2,Cell_survival_kerat,+,backbone,induces,induces,[21],keratinocyte,keratinocyte,autocrine,BCL2_kerat,Cell_survival_kerat,,,
BCL2,BAX,-,backbone,inhibits,inhibits,NetProTM,melanocyte,melanocyte,autocrine,BCL2_melan,BAX_melan,,,
BCL2L1,Cell_survival_kerat,+,backbone,induces,induces,[22],keratinocyte,keratinocyte,autocrine,BCL2L1_kerat,Cell_survival_kerat,,,
BCL2L1,Cell_survival_melan,+,backbone,induces,induces,[23],melanocyte,melanocyte,autocrine,BCL2L1_melan,Cell_survival_melan,,,
BID,CYCS,+,backbone,increases release,increases release,[24],keratinocyte,keratinocyte,autocrine,BID_kerat,CYCS_kerat,,,
Calcium_cyt:Calmodulin_melan,Phosphodiesterase,+,backbone,activates,activates,[25],melanocyte,melanocyte,autocrine,Calcium_cyt:Calmodulin_melan,Phosphodiesterase_melan,,,
Calcium_cyt_kerat,PKC,+,backbone,activates,activates,[26],keratinocyte,keratinocyte,autocrine,Calcium_cyt_kerat,PKC_kerat,,,
Calcium_cyt_kerat,PPP3CA,+,backbone,activates,activates,[27],keratinocyte,keratinocyte,autocrine,Calcium_cyt_kerat,PPP3CA_kerat,,,
Calcium_cyt_melan,Calcium_cyt:Calmodulin_melan,+,backbone,forms complex,forms complex,[28],melanocyte,melanocyte,autocrine,Calcium_cyt_melan,Calcium_cyt:Calmodulin_melan,,,
Calcium_cyt_melan,PRKCB,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,Calcium_cyt_melan,PRKCB_melan,,,
cAMP_kerat,PRKACA,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,cAMP_kerat,PRKACA_kerat,,,
cAMP_melan,PRKACA,+,backbone,activates,activates,[29],melanocyte,melanocyte,autocrine,cAMP_melan,PRKACA_melan,,,
cAMP_melan,RAP1A,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,cAMP_melan,RAP1A_melan,,,
CASP3,CDKN1A,-,backbone,Inhibits,inhibits,[30],keratinocyte,keratinocyte,autocrine,CASP3_kerat,CDKN1A_kerat,,,
CASP3,DFFB:DFFA_kerat,-,backbone,induces complex dissociation,induces complex dissociation,NetProTM,keratinocyte,keratinocyte,autocrine,CASP3_kerat,DFFB:DFFA_kerat,,,
CASP3,MAP3K1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,CASP3_kerat,MAP3K1_kerat,,,
CASP3,PRKCD,+,backbone,activates,activates,[30],keratinocyte,keratinocyte,autocrine,CASP3_kerat,PRKCD_kerat,,,
CASP8,BID,+,backbone,activates,activates,[24],keratinocyte,keratinocyte,autocrine,CASP8_kerat,BID_kerat,,,
CASP8,CASP3,+,backbone,activates,activates,[31],keratinocyte,keratinocyte,autocrine,CASP8_kerat,CASP3_kerat,,,
CASP9,CASP3,+,backbone,activates,activates,[32],keratinocyte,keratinocyte,autocrine,CASP9_kerat,CASP3_kerat,,,
CASP9,CASP8,+,backbone,activates,activates,[32],keratinocyte,keratinocyte,autocrine,CASP9_kerat,CASP8_kerat,,,
CCND1,Cell_proliferation_kerat,+,backbone,induces,induces,[21],keratinocyte,keratinocyte,autocrine,CCND1_kerat,Cell_proliferation_kerat,,,
CCND1,CDK4:CCND1_melan,+,backbone,forms complex,forms complex,[33],melanocyte,melanocyte,autocrine,CCND1_melan,CDK4:CCND1_melan,,,
CDC42,MAP3K1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,CDC42_kerat,MAP3K1_kerat,,,
CDC42,RAC1,+,backbone,activates,activates,[34],keratinocyte,keratinocyte,autocrine,CDC42_kerat,RAC1_kerat,,,
CDH2,Melanocyte_migration,+,backbone,induces,induces,[12],melanocyte,none,scaffold,CDH2_melan,Melanocyte_migration,,,
CDK4:CCND1_melan,Cell_proliferation_melan,+,backbone,induces,induces,[33],melanocyte,melanocyte,autocrine,CDK4:CCND1_melan,Cell_proliferation_melan,,,
CDK4,CDK4:CCND1_melan,+,backbone,forms complex,forms complex,[33],melanocyte,melanocyte,autocrine,CDK4_melan,CDK4:CCND1_melan,,,
CDKN1A,Cell_cycle_arrest_kerat,+,backbone,induces,induces,[35],keratinocyte,keratinocyte,autocrine,CDKN1A_kerat,Cell_cycle_arrest_kerat,,,
CDKN1A,Cell_cycle_arrest_melan,+,backbone,induces,induces,[36],melanocyte,melanocyte,autocrine,CDKN1A_melan,Cell_cycle_arrest_melan,,,
Ceramide_kerat,PLA2,+,backbone,activates,activates,[37],keratinocyte,keratinocyte,autocrine,Ceramide_kerat,PLA2_kerat,,,
Ceramide_kerat,PRKCZ,+,backbone,activates,activates,[38],keratinocyte,keratinocyte,autocrine,Ceramide_kerat,PRKCZ_kerat,,,
Ceramide_kerat,TFAP2A,+,backbone,increases expression,increases expression,[39],keratinocyte,keratinocyte,autocrine,Ceramide_kerat,TFAP2A_kerat,,,
CFLAR,MAP2K7,-,backbone,inhibits,inhibits,[40],keratinocyte,keratinocyte,autocrine,CFLAR_kerat,MAP2K7_kerat,,,
cGMP_melan,Phosphodiesterase,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,cGMP_melan,Phosphodiesterase_melan,,,
cGMP_melan,PRKG1,+,backbone,activates,activates,[41],melanocyte,melanocyte,autocrine,cGMP_melan,PRKG1_melan,,,
CREB1,CFLAR,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,CREB1_kerat,CFLAR_kerat,,,
CREB1,DUSP1,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,CREB1_kerat,DUSP1_kerat,,,
CREB1,PTGS2,+,backbone,increases expression,increases expression,[42],keratinocyte,keratinocyte,autocrine,CREB1_kerat,PTGS2_kerat,,,
CREB1,BCL2,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,CREB1_melan,BCL2_melan,,,
CREB1,MITF,+,backbone,increases expression,increases expression,[43],melanocyte,melanocyte,autocrine,CREB1_melan,MITF_melan,,,
CREB1,PTGS2,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,CREB1_melan,PTGS2_melan,,,
CSF2,CSF2RA,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,CSF2_kerat,CSF2RA_melan,,,
CSF2RA:JAK1_melan,STAT3,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,CSF2RA:JAK1_melan,STAT3_melan,,,
CSF2RA,CSF2RA:JAK1_melan,+,backbone,forms complex,forms complex,NetProTM,melanocyte,melanocyte,autocrine,CSF2RA_melan,CSF2RA:JAK1_melan,,,
CTNNB1:LEF1_melan,MITF,+,backbone,increase expression,increase expression,"[43], [44]",melanocyte,melanocyte,autocrine,CTNNB1:LEF1_melan,MITF_melan,,,
CTNNB1,CTNNB1:LEF1_melan,+,backbone,forms complex,forms complex,[45],melanocyte,melanocyte,autocrine,CTNNB1_melan,CTNNB1:LEF1_melan,,,
CYCS,APAF1:CYCS_kerat,+,backbone,forms complex,forms complex,[15],keratinocyte,keratinocyte,autocrine,CYCS_kerat,APAF1:CYCS_kerat,,,
CYCS,Apoptosis_kerat,+,backbone,induces,induces,[20],keratinocyte,keratinocyte,autocrine,CYCS_kerat,Apoptosis_kerat,,,
CYCS,TFAP2A,+,backbone,activates,activates,[46],keratinocyte,keratinocyte,autocrine,CYCS_kerat,TFAP2A_kerat,,,
CYCS,Apoptosis_melan,+,backbone,induces,induces,[47],melanocyte,melanocyte,autocrine,CYCS_melan,Apoptosis_melan,,,
Cysteine_melan,Cysteinyl_DOPA_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,Cysteine_melan,Cysteinyl_DOPA_melan,,,
Cysteinyl_DOPA_melan,Pheomelanin_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,Cysteinyl_DOPA_melan,Pheomelanin_melan,,,
DAG_kerat,SMPD1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,DAG_kerat,SMPD1_kerat,,,
DAG_melan,PRKCB,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,DAG_melan,PRKCB_melan,,,
DCT,DHICA_melan,+,backbone,catalysis,catalysis,[48],melanocyte,melanocyte,autocrine,DCT_melan,DHICA_melan,,,
DFFB:DFFA_kerat,DFFA,-,backbone,dissociates to,dissociates to,NetProTM,keratinocyte,keratinocyte,autocrine,DFFB:DFFA_kerat,DFFA_kerat,,,
DFFB:DFFA_kerat,DFFB,-,backbone,dissociates to,dissociates to,NetProTM,keratinocyte,keratinocyte,autocrine,DFFB:DFFA_kerat,DFFB_kerat,,,
DFFB,DNA_Damage_kerat,+,backbone,induces,induces,NetProTM,keratinocyte,keratinocyte,autocrine,DFFB_kerat,DNA_Damage_kerat,,,
DHI_melan,Indole_5_6_quinone_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DHI_melan,Indole_5_6_quinone_melan,,,
DHICA_melan,Indole_5_6_quinone_carboxylic_acid_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DHICA_melan,Indole_5_6_quinone_carboxylic_acid_melan,,,
DNA_Damage_kerat,NFKB1,+,backbone,activates,activates,[49],keratinocyte,keratinocyte,autocrine,DNA_Damage_kerat,NFKB1_kerat,,,
DNA_Damage_kerat,TP53,+,backbone,activates,activates,[50],keratinocyte,keratinocyte,autocrine,DNA_Damage_kerat,TP53_kerat,,,
DOPA_melan,DOPAquinone_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DOPA_melan,DOPAquinone_melan,,,
DOPAchrome_melan,DHI_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DOPAchrome_melan,DHI_melan,,,
DOPAchrome_melan,DHICA_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DOPAchrome_melan,DHICA_melan,,,
DOPAquinone_melan,Cysteinyl_DOPA_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DOPAquinone_melan,Cysteinyl_DOPA_melan,,,
DOPAquinone_melan,DOPAchrome_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DOPAquinone_melan,DOPAchrome_melan,,,
DOPAquinone_melan,Glutathionyl_DOPA_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,DOPAquinone_melan,Glutathionyl_DOPA_melan,,,
DUSP1,MAPK1,-,backbone,inhibits,inhibits,NetProTM,keratinocyte,keratinocyte,autocrine,DUSP1_kerat,MAPK1_kerat,,,
DUSP1,MAPK3,-,backbone,inhibits,inhibits,NetProTM,keratinocyte,keratinocyte,autocrine,DUSP1_kerat,MAPK3_kerat,,,
DUSP1,MAPK8,-,backbone,inhibits,inhibits,[51],keratinocyte,keratinocyte,autocrine,DUSP1_kerat,MAPK8_kerat,,,
EDN1,EDNRB,+,backbone,activates,activates,[52],keratinocyte,melanocyte,paracrine,EDN1_kerat,EDNRB_melan,,,
EDNRB,ADCY4,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,EDNRB_melan,ADCY4_melan,,,
EDNRB,PLC,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,EDNRB_melan,PLC_melan,,,
EGFR,PIK3CA,+,backbone,activates,activates,[7],keratinocyte,keratinocyte,autocrine,EGFR_kerat,PIK3CA_kerat,,,
EGFR,SOS1:GRB2:SHC1_kerat,+,backbone,activates,activates,[53],keratinocyte,keratinocyte,autocrine,EGFR_kerat,SOS1:GRB2:SHC1_kerat,,,
EGFR,STAT1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,EGFR_kerat,STAT1_kerat,,,
ELK1,CDKN1A,+,backbone,increases expression,increases expression,[54],keratinocyte,keratinocyte,autocrine,ELK1_kerat,CDKN1A_kerat,,,
ELK1,CDKN1A,+,backbone,increases expression,increases expression,[54],melanocyte,melanocyte,autocrine,ELK1_melan,CDKN1A_melan,,,
EZR,Melanocyte_migration,+,backbone,induces,induces,[12],melanocyte,none,scaffold,EZR_melan,Melanocyte_migration,,,
F10,F2RL1,+,backbone,activates,activates,[55],none,keratinocyte,scaffold,F10,F2RL1_kerat,,,
F2RL1,PLC,+,backbone,activates,activates,[56] ,keratinocyte,keratinocyte,autocrine,F2RL1_kerat,PLC_kerat,,,
F2RL1,RHOA,+,backbone,activates,activates,[57],keratinocyte,keratinocyte,autocrine,F2RL1_kerat,RHOA_kerat,,,
F7,F2RL1,+,backbone,activates,activates,[55],none,keratinocyte,scaffold,F7,F2RL1_kerat,,,
FAS:FADD_kerat,CASP8,+,backbone,activates,activates,[31],keratinocyte,keratinocyte,autocrine,FAS:FADD_kerat,CASP8_kerat,,,
FAS,FAS:FADD_kerat,+,backbone,forms complex,forms complex,[58],keratinocyte,keratinocyte,autocrine,FAS_kerat,FAS:FADD_kerat,,,
FASLG,FAS,+,backbone,activates,activates,[58],keratinocyte,keratinocyte,autocrine,FASLG_kerat,FAS_kerat,,,
FICZ_kerat,AHR:SRC:HSP90AA1_kerat,-,backbone,induces complex dissociation,induces complex dissociation,[5],keratinocyte,keratinocyte,autocrine,FICZ_kerat,AHR:SRC:HSP90AA1_kerat,,,
FOS,FOS_kerat:JUN_kerat,+,backbone,forms complex,forms complex,NetProTM,keratinocyte,keratinocyte,autocrine,FOS_kerat,FOS_kerat:JUN_kerat,,,
FOS_kerat:JUN_kerat,BCL2,+,backbone,increases expression,increases expression,[59],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,BCL2_kerat,,,
FOS_kerat:JUN_kerat,CCND1,+,backbone,increases expression,increases expression,[60],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,CCND1_kerat,,,
FOS_kerat:JUN_kerat,EDN1,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,EDN1_kerat,,,
FOS_kerat:JUN_kerat,IL1A,+,backbone,increases expression,increases expression,[61],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,IL1A_kerat,,,
FOS_kerat:JUN_kerat,IL6,-,backbone,inhibits expression,inhibits expression,[62],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,IL6_kerat,,,
FOS_kerat:JUN_kerat,IVL,+,backbone,increases expression,increases expression,[63],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,IVL_kerat,,,
FOS_kerat:JUN_kerat,MMPs,+,backbone,increases expression,increases expression,[64],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,MMPs_kerat,,,
FOS_kerat:JUN_kerat,NGF,+,backbone,increases expression,increases expression,NetProTM,keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,NGF_kerat,,,
FOS_kerat:JUN_kerat,PTGS2,+,backbone,increases expression,increases expression,[65],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,PTGS2_kerat,,,
FOS_kerat:JUN_kerat,TNF,+,backbone,increases expression,increases expression,[66],keratinocyte,keratinocyte,autocrine,FOS_kerat:JUN_kerat,TNF_kerat,,,
FOS_kerat:JUN_melan,BCL2,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,FOS_kerat:JUN_melan,BCL2_melan,,,
FOS_kerat:JUN_melan,CCND1,+,backbone,increases expression,increases expression,NetProTM,melanocyte,melanocyte,autocrine,FOS_kerat:JUN_melan,CCND1_melan,,,
FOS_kerat:JUN_melan,MMP1,+,backbone,increases expression,increases expression,[67],melanocyte,melanocyte,autocrine,FOS_kerat:JUN_melan,MMP1_melan,,,
FZD3,AKT1,+,backbone,activates,activates,[68],melanocyte,melanocyte,autocrine,FZD3_melan,AKT1_melan,,,
GAB1:PIK3CA_melan,AKT1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,GAB1:PIK3CA_melan,AKT1_melan,,,
GAB1,GAB1:PIK3CA_melan,+,backbone,forms complex,forms complex,NetProTM,melanocyte,melanocyte,autocrine,GAB1_melan,GAB1:PIK3CA_melan,,,
GADD45A,DNA_Repair_kerat,+,backbone,induces,induces,[69],keratinocyte,keratinocyte,autocrine,GADD45A_kerat,DNA_Repair_kerat,,,
Glutathionyl_DOPA_melan,Pheomelanin_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,Glutathionyl_DOPA_melan,Pheomelanin_melan,,,
GSH_melan,Glutathionyl_DOPA_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,GSH_melan,Glutathionyl_DOPA_melan,,,
GSK3B,NFATC1,-,backbone,inhibits,inhibits,[27],keratinocyte,keratinocyte,autocrine,GSK3B_kerat,NFAT2_kerat,,,
GSK3B,CTNNB1,-,backbone,inhibits,inhibits,NetProTM,melanocyte,melanocyte,autocrine,GSK3B_melan,CTNNB1_melan,,,
GUCY1A2,cGMP_melan,+,backbone,increases level,increases level,[41],melanocyte,melanocyte,autocrine,GUCY1A2_melan,cGMP_melan,,,
HGF,MET,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,HGF_kerat,MET_melan,,,
HIF1A,PMAIP1,+,backbone,increases expression,increases expression,[70],keratinocyte,keratinocyte,autocrine,HIF1A_kerat,PMAIP1_kerat,,,
HIF1A,KITLG,+,backbone,increases expression,increases expression,[71],melanocyte,melanocyte,autocrine,HIF1A_melan,KITLG_melan,,,
HRAS,RAF1,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,HRAS_kerat,RAF1_kerat,,,
HRAS,RAF1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,HRAS_melan,RAF1_melan,,,
CHUK,NFKB1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,IKBKA_kerat,NFKB1_kerat,,,
IL10,Skin_inflammation,0,backbone,regulates,regulates,[73],keratinocyte,none,scaffold,IL10_kerat,Skin_inflammation,,,
IL12A,DNA_Repair_kerat,+,backbone,induces,induces,[74],keratinocyte,keratinocyte,autocrine,IL12A_kerat,DNA_Repair_kerat,,,
IL1A,IL1R1,+,backbone,activates,activates,[72],keratinocyte,keratinocyte,autocrine,IL1A_kerat,IL1R1_kerat,,,
IL1R1:MYD88:IRAK1:IRAK4_kerat,IRAK1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,IL1R1:MYD88:IRAK1:IRAK4_kerat,IRAK1_Active_kerat,,,
IL1R1,IL1R1:MYD88:IRAK1:IRAK4_kerat,+,backbone,forms complex,forms complex,NetProTM,keratinocyte,keratinocyte,autocrine,IL1R1_kerat,IL1R1:MYD88:IRAK1:IRAK4_kerat,,,
IL6,IL6R,+,backbone,activates,activates,[75],keratinocyte,keratinocyte,autocrine,IL6_kerat,IL6R_kerat,,,
IL6R,JAK1,+,backbone,activates,activates,[75],keratinocyte,keratinocyte,autocrine,IL6R_kerat,JAK1_kerat,,,
CXCL8,Skin_inflammation,0,backbone,regulates,regulates,[76],keratinocyte,none,scaffold,IL8_kerat,Skin_inflammation,,,
Indole_5_6_quinone_carboxylic_acid_melan,Eumelanin_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,Indole_5_6_quinone_carboxylic_acid_melan,Eumelanin_melan,,,
Indole_5_6_quinone_melan,Eumelanin_melan,+,backbone,gets converted to,gets converted to,[48],melanocyte,melanocyte,autocrine,Indole_5_6_quinone_melan,Eumelanin_melan,,,
IP3_kerat,RYR1,+,backbone,activates,activates,[26],keratinocyte,keratinocyte,autocrine,IP3_kerat,RYR1_kerat,,,
IP3_melan,RYR1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,IP3_melan,RYR1_melan,,,
IRAK1_Active:TRAF6:ECSIT_kerat,MAP3K1,+,backbone,activates,activates,NetProTM,keratinocyte,keratinocyte,autocrine,IRAK1_Active:TRAF6:ECSIT_kerat,MAP3K1_kerat,,,
IRAK1_Active:TRAF6_kerat,IRAK1_Active:TRAF6:ECSIT_kerat,+,backbone,forms complex,forms complex,NetProTM,keratinocyte,keratinocyte,autocrine,IRAK1_Active:TRAF6_kerat,IRAK1_Active:TRAF6:ECSIT_kerat,,,
IRAK1_Active:TRAF6_kerat,MAP3K7:TAB1_kerat,0,backbone,associates,associates,[72],keratinocyte,keratinocyte,autocrine,IRAK1_Active:TRAF6_kerat,MAP3K7:TAB1_kerat,,,
IRAK1,IRAK1_Active:TRAF6_kerat,+,backbone,forms complex,forms complex,[72],keratinocyte,keratinocyte,autocrine,IRAK1_Active_kerat,IRAK1_Active:TRAF6_kerat,,,
IVL,Cell_differentiation_kerat,0,backbone,involved in,involved in,[77],keratinocyte,keratinocyte,autocrine,IVL_kerat,Cell_differentiation_kerat,,,
JAK1,STAT3,+,backbone,activates,activates,[75],keratinocyte,keratinocyte,autocrine,JAK1_kerat,STAT3_kerat,,,
JUN,FOS_kerat:JUN_kerat,+,backbone,forms complex,forms complex,NetProTM,keratinocyte,keratinocyte,autocrine,JUN_kerat,FOS_kerat:JUN_kerat,,,
KIT,PIK3CA,+,backbone,activates,activates,[78],melanocyte,melanocyte,autocrine,KIT_melan,PIK3CA_melan,,,
KIT,SOS1:GRB2:SHC1_melan,+,backbone,induces complex formation,induces complex formation,NetProTM,melanocyte,melanocyte,autocrine,KIT_melan,SOS1:GRB2:SHC1_melan,,,
KITLG,KIT,+,backbone,activates,activates,NetProTM,keratinocyte,melanocyte,paracrine,KITLG_kerat,KIT_melan,,,
KITLG,KIT,+,backbone,activates,activates,[79],melanocyte,melanocyte,autocrine,KITLG_melan,KIT_melan,,,
Lipid_Peroxidation_kerat,4HNE_kerat,+,backbone,increases level,increases level,[80],keratinocyte,keratinocyte,autocrine,Lipid_Peroxidation_kerat,4HNE_kerat,,,
MAP2K1,MAPK1,+,backbone,activates,activates,[53],keratinocyte,keratinocyte,autocrine,MAP2K1_kerat,MAPK1_kerat,,,
MAP2K1,MAPK3,+,backbone,activates,activates,[53],keratinocyte,keratinocyte,autocrine,MAP2K1_kerat,MAPK3_kerat,,,
MAP2K1,MAPK1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP2K1_melan,MAPK1_melan,,,
MAP2K1,MAPK3,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP2K1_melan,MAPK3_melan,,,
MAP2K2,MAPK1,+,backbone,activates,activates,[53],keratinocyte,keratinocyte,autocrine,MAP2K2_kerat,MAPK1_kerat,,,
MAP2K2,MAPK3,+,backbone,activates,activates,[53],keratinocyte,keratinocyte,autocrine,MAP2K2_kerat,MAPK3_kerat,,,
MAP2K2,MAPK1,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP2K2_melan,MAPK1_melan,,,
MAP2K2,MAPK3,+,backbone,activates,activates,NetProTM,melanocyte,melanocyte,autocrine,MAP2K2_melan,MAPK3_melan,,,
