gene,full_name
CDT1,Chromatin licensing and DNA replication factor 1
CEACAM1,CEA cell adhesion molecule 1
CEP57,Centrosomal protein 57
CETN2,Centrin 2
CFLAR,CASP8 and FADD like apoptosis regulator
CHEK2,Checkpoint kinase 2
CHRNA9,Cholinergic receptor nicotinic alpha 9 subunit
CHUK,Component of inhibitor of nuclear factor kappa B kinase complex
CLNK,Cytokine dependent hematopoietic cell linker
CNOT1,CCR4-NOT transcription complex subunit 1
COL18A1,Collagen type XVIII alpha 1 chain
CPVL,Carboxypeptidase vitellogenic like
CREB1,CAMP responsive element binding protein 1
CREB3,CAMP responsive element binding protein 3 like 4
CREB3L1,CAMP responsive element binding protein 3 like 1
CREB3L2,CAMP responsive element binding protein 3 like 2
CREB3L3,CAMP responsive element binding protein 3 like 3
CREB3L4,CAMP responsive element binding protein 3 like 4
CREBBP,CREB binding lysine acetyltransferase
CSF1,Colony stimulating factor 1
CSF2,Colony stimulating factor 2
CSF2RA,Colony stimulating factor 2 receptor subunit alpha
CTC1,CST telomere replication complex component 1
CTH,V-set and immunoglobulin domain containing 2
CTLA4,Cytotoxic T-lymphocyte associated protein 4
CTNNB1,Catenin beta 1
CTNS,"Cystinosin, lysosomal cystine transporter"
CUL1,Cullin 1
CUL2,Cullin 2
CUL3,Cullin 3
CUL4A,Cullin 4A
CUL4B,Cullin 4B
CUL5,Cullin 5
CUL7,Cullin 7
CXCL8,C-X-C motif chemokine ligand 8
CYCS,"Cytochrome c, somatic"
CYFIP1,Cytoplasmic FMR1 interacting protein 1
CYLD,CYLD lysine 63 deubiquitinase
CYP11A1,Cytochrome P450 family 11 subfamily A member 1
DARS1,Aspartyl-tRNA synthetase 1
DCAF13,DDB1 and CUL4 associated factor 13
DCP1A,Decapping mRNA 1A
DCP2,Decapping mRNA 2
DCT,Dopachrome tautomerase
DDB1,Damage specific DNA binding protein 1
DDB2,Damage specific DNA binding protein 2
DDX3X,DEAD-box helicase 3 X-linked
DDX6,DEAD-box helicase 6
DEF8,Differentially expressed in FDCP 8 homolog
DFFA,DNA fragmentation factor subunit alpha
DFFB,DNA fragmentation factor subunit beta
DHX36,DEAH-box helicase 36
DIAPH1,Diaphanous related formin 1
DICER1,"Dicer 1, ribonuclease III"
DKC1,Dyskerin pseudouridine synthase 1
DNAJC12,DnaJ heat shock protein family (Hsp40) member C12
DPF1,Double PHD fingers 1
DPF2,Double PHD fingers 2
DPF3,Double PHD fingers 3
DSTYK,Dual serine/threonine and tyrosine protein kinase
DTNBP1,Dystrobrevin binding protein 1
DUSP1,Dual specificity phosphatase 12
DVL1,Dishevelled segment polarity protein 1
DVL2,Dishevelled segment polarity protein 2
DVL3,Dishevelled segment polarity protein 3
DYNLL1,Dynein light chain LC8-type 1
ECSIT,ECSIT signaling integrator
EDC3,Enhancer of mRNA decapping 3
EDIL3,EGF like and discoidin domains 3
EDN1,Endothelin 1
EDN3,Endothelin 3
EDNRA,Endothelin receptor type A
EDNRB,Endothelin receptor type B
EEF1E1,Eukaryotic translation elongation factor 1 epsilon 1
EGFR,Epidermal growth factor receptor
EGR2,Early growth response 2
EIF1,Eukaryotic translation initiation factor 1
EIF2B1,Eukaryotic translation initiation factor 2B subunit alpha
EIF2B3,Eukaryotic translation initiation factor 2B subunit gamma
EIF2B5,Eukaryotic translation initiation factor 2B subunit epsilon
EIF2S1,Eukaryotic translation initiation factor 2 subunit alpha
EIF2S2,Eukaryotic translation initiation factor 2 subunit beta
EIF2S3,Eukaryotic translation initiation factor 2 subunit gamma
EIF3A,Eukaryotic translation initiation factor 6
EIF3G,Eukaryotic translation initiation factor 3 subunit G
EIF4E,Eukaryotic translation initiation factor 4E
EIF5,Eukaryotic translation initiation factor 5
EIF6,Eukaryotic translation initiation factor 6
ELK1,Potassium voltage-gated channel subfamily H member 8
ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase 1
EP300,EP300 lysine acetyltransferase
EPG5,Ectopic P-granules 5 autophagy tethering factor
EPRS1,Glutamyl-prolyl-tRNA synthetase 1
ERCC1,"ERCC excision repair 1, endonuclease non-catalytic subunit"
ERCC2,"ERCC excision repair 2, TFIIH core complex helicase subunit"
ERCC3,"ERCC excision repair 3, TFIIH core complex helicase subunit"
ERCC4,"ERCC excision repair 4, endonuclease catalytic subunit"
ERCC5,"ERCC excision repair 5, endonuclease"
ERCC6,"ERCC excision repair 6, chromatin remodeling factor"
ESCO2,Establishment of sister chromatid cohesion N-acetyltransferase 2
EXO1,Exonuclease 1
EZR,Ezrin
F10,Coagulation factor X
F2RL1,F2R like trypsin receptor 1
F7,Coagulation factor VII
FADD,Fas associated via death domain
FADS2,Fatty acid desaturase 2
FAN1,FANCD2 and FANCI associated nuclease 1
FANCA,FA complementation group A
FANCB,FA complementation group B
FANCC,FA complementation group C
FANCD2,FA complementation group D2
FANCE,FA complementation group E
FANCF,FA complementation group F
FANCG,FA complementation group G
FANCI,FA complementation group I
FANCL,FA complementation group L
FANCM,FA complementation group M
FAP,"Glomulin, FKBP associated protein"
FARP2,"FERM, ARH/RhoGEF and pleckstrin domain protein 2"
FAS,Fatty acid synthase
FASLG,Fas ligand
FBL,Fibrillarin rRNA 2'-O-methyltransferase
FBXW7,F-box and WD repeat domain containing 7
FDX1,Ferredoxin 1
FGF2,Fibroblast growth factor 13
FGF9,Fibroblast growth factor 9
FGFR3,Fibroblast growth factor receptor 3
FIG4,FIG4 phosphoinositide 5-phosphatase
FLI1,FLII actin remodeling protein
FLNA,Filamin A
FLT1,Fms related receptor tyrosine kinase 1
FLT4,Fms related receptor tyrosine kinase 4
FMR1,FMR1 intronic transcript 1
FOS,"Fos proto-oncogene, AP-1 transcription factor subunit"
FOXD3,Forkhead box D3
FOXP1,Forkhead box P1
FRAS1,Fraser extracellular matrix complex subunit 1
FREM2,FRAS1 related extracellular matrix 2
FRS2,Fibroblast growth factor receptor substrate 2
FZD1,Frizzled class receptor 1
FZD10,Frizzled class receptor 10
FZD2,Frizzled class receptor 2
FZD3,Frizzled class receptor 9
FZD4,Frizzled class receptor 4
FZD5,Frizzled class receptor 5
FZD6,Frizzled class receptor 6
FZD7,Frizzled class receptor 7
FZD8,Frizzled class receptor 8
FZD9,Frizzled class receptor 9
GAB1,Phosphatidylinositol glycan anchor biosynthesis class U
GAB2,GRB2 associated binding protein 2
GADD45A,Growth arrest and DNA damage inducible alpha
GAGE2A,G antigen 2A
GAR1,Cyclic nucleotide gated channel subunit beta 1
GINS1,GINS complex subunit 1
GINS2,GINS complex subunit 2
GINS4,GINS complex subunit 4
GMPR,Guanosine monophosphate reductase
GNAI1,G protein subunit alpha i1
GNAI2,G protein subunit alpha i2
GNAI3,G protein subunit alpha i3
GNAO1,G protein subunit alpha o1
GNAQ,G protein subunit alpha q
GNAS,GNAS complex locus
GNB1,G protein subunit beta 1
GNPTG,N-acetylglucosamine-1-phosphate transferase subunit gamma
GP1BA,Glycoprotein Ib platelet subunit alpha
GPHN,Gephyrin
GPNMB,Glycoprotein nmb
GPR143,G protein-coupled receptor 143
GPR29,C-C motif chemokine receptor 6
GRB2,Growth factor receptor bound protein 2
GRIA2,Glutamate ionotropic receptor AMPA type subunit 2
GRIP1,Galectin 12
GSK3B,Glycogen synthase kinase 3 beta
GTF2B,General transcription factor IIB
GTF2E1,General transcription factor IIE subunit 1
GTF2E2,General transcription factor IIE subunit 2
GTF2H1,General transcription factor IIH subunit 1
GTF2H2,General transcription factor IIH subunit 2
GTF2H3,General transcription factor IIH subunit 3
GTF2H4,General transcription factor IIH subunit 4
GTF2H5,General transcription factor IIH subunit 5
GUCY1A2,Guanylate cyclase 1 soluble subunit alpha 2
GXYLT2,Glucoside xylosyltransferase 2
GZMB,Granzyme B
H2AFX,H2A.X variant histone
HDAC1,Histone deacetylase 1
HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2
HGD,"Homogentisate 1,2-dioxygenase"
HGF,Interleukin 6
HIF1A,Hypoxia inducible factor 1 subunit alpha
HINT1,Histidine triad nucleotide binding protein 1
HLA-B,"Major histocompatibility complex, class I, B"
HLA-DMB,"Major histocompatibility complex, class II, DM beta"
HLA-DQA1,"Major histocompatibility complex, class II, DQ alpha 1"
HLA-DQB1,"Major histocompatibility complex, class II, DQ beta 1"
HLA-DRA,"Major histocompatibility complex, class II, DR alpha"
HLA-DRB1,"Major histocompatibility complex, class II, DR beta 1"
HPS1,HPS1 biogenesis of lysosomal organelles complex 3 subunit 1
HPS3,HPS3 biogenesis of lysosomal organelles complex 2 subunit 1
HPS4,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2
HPS6,HPS6 biogenesis of lysosomal organelles complex 2 subunit 3
HRAS,"HRas proto-oncogene, GTPase"
HSP90AA1,Heat shock protein 90 alpha family class A member 1
HSPG2,Heparan sulfate proteoglycan 2
HUNK,Hormonally up-regulated Neu-associated kinase
IARS1,Isoleucyl-tRNA synthetase 1
ICAM1,Intercellular adhesion molecule 1
ID1,Inhibitor of DNA binding 1
IDS,Iduronate 2-sulfatase
IDUA,Alpha-L-iduronidase
IGF1R,Insulin like growth factor 1 receptor
IKBKB,Inhibitor of nuclear factor kappa B kinase subunit beta
IKBKG,Inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
IKZF4,IKAROS family zinc finger 4
IL10,Interleukin 10
IL12A,Interleukin 12A
IL12RB1,Interleukin 12 receptor subunit beta 1
IL15,Interleukin 15
IL17A,Interleukin 17A
IL17RA,Interleukin 17 receptor A
IL1A,Interleukin 1 alpha
IL1R1,Interleukin 1 receptor type 1
IL1RAPL1,Interleukin 1 receptor accessory protein like 1
IL2,Interleukin 2
IL23R,Interleukin 23 receptor
IL2RA,Interleukin 2 receptor subunit alpha
IL2RB,Interleukin 2 receptor subunit beta
IL2RG,Interleukin 2 receptor subunit gamma
IL6,Interleukin 6
IL6R,Interleukin 6 receptor
INSR,Insulin receptor
IRAK1,Interleukin 1 receptor associated kinase 1
IRAK4,Interleukin 1 receptor associated kinase 4
IRF3,Interferon regulatory factor 3
IRF4,Interferon regulatory factor 4
IRS1,Insulin receptor substrate 1
ITGA2,Integrin subunit alpha 2
IVL,Involucrin
JAK1,Janus kinase 1
JAK2,Janus kinase 2
JUN,"Jun proto-oncogene, AP-1 transcription factor subunit"
KARS1,Lysyl-tRNA synthetase 1
KAT5,Lysine acetyltransferase 5
KCNK12,Potassium two pore domain channel subfamily K member 12
KDR,Kinase insert domain receptor
KEAP1,Kelch like ECH associated protein 1
KIR3DL1,"Killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1"
KIT,"KIT proto-oncogene, receptor tyrosine kinase"
KITLG,KIT ligand
KMT2A,Lysine methyltransferase 2A
KRAS,"KRas proto-oncogene, GTPase"
KRT14,Keratin 14
KRT5,Keratin 5
KSR1,Kinase suppressor of ras 1
LARS1,Leucyl-tRNA synthetase 1
LCK,"LCK proto-oncogene, Src family tyrosine kinase"
LEF1,Lymphoid enhancer binding factor 1
LIG1,Leucine rich repeats and immunoglobulin like domains 1
LPP,LIM domain containing preferred translocation partner in lipoma
LRMDA,Leucine rich melanocyte differentiation associated
LSM14A,LSM14A mRNA processing body assembly factor
LYST,Lysosomal trafficking regulator
MAP2K1,Mitogen-activated protein kinase kinase 1
MAP2K2,Mitogen-activated protein kinase kinase 2
MAP2K3,Mitogen-activated protein kinase kinase 3
MAP2K4,Mitogen-activated protein kinase kinase 4
MAP2K6,Mitogen-activated protein kinase kinase 6
MAP2K7,Mitogen-activated protein kinase kinase 7
MAP3K1,Mitogen-activated protein kinase kinase kinase 1
MAP3K14,Mitogen-activated protein kinase kinase kinase 14
MAP3K5,Mitogen-activated protein kinase kinase kinase 5
MAP3K7,Mitogen-activated protein kinase kinase kinase 7
MAP4K2,Mitogen-activated protein kinase kinase kinase kinase 2
MAPK1,Mitogen-activated protein kinase 1
MAPK14,Mitogen-activated protein kinase 14
MAPK3,Mitogen-activated protein kinase 3
MAPK8,Mitogen-activated protein kinase 8
MARK3,Microtubule affinity regulating kinase 3
MARS1,Methionyl-tRNA synthetase 1
MC1R,Melanocortin 1 receptor
MC2R,Melanocortin 2 receptor
MC3R,Melanocortin 3 receptor
MC4R,Melanocortin 4 receptor
MC5R,Melanocortin 5 receptor
MCL1,"MCL1 apoptosis regulator, BCL2 family member"
MCM10,Minichromosome maintenance 10 replication initiation factor
MCM2,Minichromosome maintenance complex component 7
MCM3,Minichromosome maintenance complex component 3
MCM4,Minichromosome maintenance complex component 4
MCM5,Minichromosome maintenance complex component 5
MCM6,Minichromosome maintenance complex component 6
MCM7,Minichromosome maintenance complex component 7
MCMBP,Minichromosome maintenance complex binding protein
MDC1,Mediator of DNA damage checkpoint 1
MDM2,MDM2 proto-oncogene
MEN1,Menin 1
MET,SAFB like transcription modulator
MITF,Melanocyte inducing transcription factor
MLANA,Melan-A
MLH1,MutL homolog 1
MLPH,Melanophilin
MMP1,Matrix metallopeptidase 1
MNAT1,MNAT1 component of CDK activating kinase
MOV10,Mov10 RNA helicase
MPZL1,Myelin protein zero like 1
MRAP,Melanocortin 2 receptor accessory protein
MRE11A,MRE11 double strand break repair nuclease
MSH2,MutS homolog 2
MSH3,MutS homolog 3
MSH6,MutS homolog 6
MSN,Moesin
MTAP,Methylthioadenosine phosphorylase
MTOR,Mechanistic target of rapamycin kinase
MYC,"MYC proto-oncogene, bHLH transcription factor"
MYD88,MYD88 innate immune signal transduction adaptor
MYH8,Myosin heavy chain 8
MYO5A,Myosin VA
MYO7A,Myosin VIIA
MYRIP,Myosin VIIA and Rab interacting protein
NARS,Asparaginyl-tRNA synthetase 1
NARS1,Asparaginyl-tRNA synthetase 1
NBN,Artemin
NCSTN,Nicastrin
NEDD4,NEDD4 E3 ubiquitin protein ligase
NEDD8,NEDD8 ubiquitin like modifier
NEK6,NIMA related kinase 6
NF1,Neurofibromin 1
NFATC1,Nuclear factor of activated T cells 1
NFIX,Nuclear factor I X
NFKB1,Nuclear factor kappa B subunit 1
NFKBIA,NFKB inhibitor alpha
NGF,Nerve growth factor
NHP2,NHP2 ribonucleoprotein
NHP2L1,Small nuclear ribonucleoprotein 13
NID1,Nidogen 1
NKX2-5,NK2 homeobox 5
NLRP1,NLR family pyrin domain containing 1
NNT,Nicotinamide nucleotide transhydrogenase
NOP10,NOP10 ribonucleoprotein
NOP56,NOP56 ribonucleoprotein
NOP58,NOP58 ribonucleoprotein
NOS2,Nanos C2HC-type zinc finger 2
NOX1,NADPH oxidase 1
NPHP4,Nephrocystin 4
NR0B1,Nuclear receptor subfamily 0 group B member 1
NR5A1,Nuclear receptor subfamily 5 group A member 1
NRAS,"NRAS proto-oncogene, GTPase"
NRP1,Neuropilin 1
NRP2,Neural EGFL like 2
NRROS,Negative regulator of reactive oxygen species
NSD1,Nuclear receptor binding SET domain protein 1
NSMAF,Neutral sphingomyelinase activation associated factor
NTRK1,Neurotrophic receptor tyrosine kinase 1
NTRK2,Neurotrophic receptor tyrosine kinase 2
OBFC1,STN1 subunit of CST complex
OCA2,OCA2 melanosomal transmembrane protein
ORC1,Solute carrier family 25 member 15
ORC2,Origin recognition complex subunit 2
ORC3,Origin recognition complex subunit 3
ORC4,Origin recognition complex subunit 4
ORC5,Origin recognition complex subunit 5
ORC6,Origin recognition complex subunit 6
PABPC1,Poly(A) binding protein cytoplasmic 1
PAH,Phenylalanine hydroxylase
PAK1,Protein kinase N1
PALB2,Partner and localizer of BRCA2
PARD6A,Par-6 family cell polarity regulator alpha
PARN,Poly(A)-specific ribonuclease
PARP12,Poly(ADP-ribose) polymerase family member 12
PATL1,"PAT1 homolog 1, processing body mRNA decay factor"
PAX3,Paired box 3
PCNA,Proliferating cell nuclear antigen
PCNT,Pericentrin
PDCD1,Programmed cell death 1
PDE4B,Phosphodiesterase 4B
PDPK1,3-phosphoinositide dependent protein kinase 1
PEBP1,Phosphatidylethanolamine binding protein 1
PECAM1,Platelet and endothelial cell adhesion molecule 1
PHB,Prohibitin 1
PIAS3,Protein inhibitor of activated STAT 3
PIAS4,Protein inhibitor of activated STAT 4
PIK3CA,"Phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha"
PIK3R1,Phosphoinositide-3-kinase regulatory subunit 1
PIKFYVE,"Phosphoinositide kinase, FYVE-type zinc finger containing"
PINX1,PIN2 (TERF1) interacting telomerase inhibitor 1
PKC,Proline rich transmembrane protein 2
PLA2,Phospholipase A2 group IB
PLA2G1B,Phospholipase A2 group IB
PLA2G6,Phospholipase A2 group VI
PLC,Heparan sulfate proteoglycan 2
PLCB1,Phospholipase C beta 1
PLCB2,Phospholipase C beta 2
PLCB3,Phospholipase C beta 3
PLCB4,Phospholipase C beta 4
PLK1,Polo like kinase 1
PMAIP1,Phorbol-12-myristate-13-acetate-induced protein 1
PMEL,Premelanosome protein
PMS2,"PMS1 homolog 2, mismatch repair system component"
POFUT1,Protein O-fucosyltransferase 1
POGLUT1,Protein O-glucosyltransferase 1
POLA1,"DNA polymerase alpha 1, catalytic subunit"
POLA2,"DNA polymerase alpha 2, accessory subunit"
POLE,"DNA polymerase epsilon, catalytic subunit"
POLE2,"DNA polymerase epsilon 2, accessory subunit"
POLE3,"DNA polymerase epsilon 3, accessory subunit"
POLE4,"DNA polymerase epsilon 4, accessory subunit"
POLH,DNA polymerase eta
POMC,Proopiomelanocortin
POT1,Protection of telomeres 1
POU3F2,POU class 3 homeobox 2
PPARGC1A,PPARG coactivator 1 alpha
PPARGC1B,PPARG coactivator 1 beta
PPP1CC,Protein phosphatase 1 catalytic subunit gamma
PPP3CA,Protein phosphatase 3 catalytic subunit alpha
PPP3R1,"Protein phosphatase 3 regulatory subunit B, alpha"
PRF1,Zinc finger protein 395
PRIM1,DNA primase subunit 1
PRIM2,DNA primase subunit 2
PRKACA,Protein kinase cAMP-activated catalytic subunit alpha
PRKACB,Protein kinase cAMP-activated catalytic subunit beta
PRKACG,Protein kinase cAMP-activated catalytic subunit gamma
PRKAR1A,Protein kinase cAMP-dependent type I regulatory subunit alpha
PRKCA,Protein kinase C alpha
PRKCB,Protein kinase C beta
PRKCD,Protein kinase C delta
PRKCG,Protein kinase C gamma
PRKCH,Protein kinase C eta
PRKCZ,Protein kinase C zeta
PRKG1,Protein kinase cGMP-dependent 1
PRSS1,Serine protease 1
PSEN1,Presenilin 1
PSEN2,Presenilin 2
PSENEN,"Presenilin enhancer, gamma-secretase subunit"
PTEN,Phosphatase and tensin homolog
PTGER1,Prostaglandin E receptor 1
PTGER2,Prostaglandin E receptor 2
PTGER3,Prostaglandin E receptor 3
PTGER4,Prostaglandin E receptor 4
PTGS2,Prostaglandin-endoperoxide synthase 2
PTPN1,Protein tyrosine phosphatase non-receptor type 1
PTPN11,Protein tyrosine phosphatase non-receptor type 11
PTPN22,Protein tyrosine phosphatase non-receptor type 22
PTPRC,Protein tyrosine phosphatase receptor type C
PXDN,Peroxidasin
PXN,Peroxidasin
QARS1,Glutaminyl-tRNA synthetase 1
RAB27A,"RAB27A, member RAS oncogene family"
RAB5C,"RAB5C, member RAS oncogene family"
RAC1,"Ribonuclease A family member 1, pancreatic"
RACK1,Receptor for activated C kinase 1
RAD23B,RAD23 nucleotide excision repair protein B
RAD50,RAD50 double strand break repair protein
RAD51,RAD51 recombinase
RAD52,RAD52 DNA repair protein
RAF1,Ribonuclease A family member 3
RALGDS,Ral guanine nucleotide dissociation stimulator
RALY,RALY heterogeneous nuclear ribonucleoprotein
RAP1A,"RAP1A, member of RAS oncogene family"
RARS1,Arginyl-tRNA synthetase 1
RASA1,RAS p21 protein activator 1
RBX1,Ring-box 1
RDX,Radixin
RECQL4,RecQ like helicase 4
REL,"REL proto-oncogene, NF-kB subunit"
RELA,"RELA proto-oncogene, NF-kB subunit"
RERE,Arginine-glutamic acid dipeptide repeats
RET,Ret proto-oncogene
REV1,REV1 DNA directed polymerase
RFX5,Regulatory factor X5
RFXANK,Regulatory factor X associated ankyrin containing protein
RFXAP,Regulatory factor X associated protein
RHEB,"Ras homolog, mTORC1 binding"
RHOA,Ras homolog family member A
RIPK1,Receptor interacting serine/threonine kinase 1
RIT1,BCL11 transcription factor B
RMI1,RecQ mediated genome instability 1
RNASET2,Ribonuclease T2
RPA2,RNA polymerase I subunit B
RPGRIP1L,RPGRIP1 like
RPS5,Ribosomal protein S5
RPS6KA1,Ribosomal protein S6 kinase A1
RRP9,"Ribosomal RNA processing 9, U3 small nucleolar RNA binding protein"
RTEL1,Regulator of telomere elongation helicase 1
RUVBL1,RuvB like AAA ATPase 1
RYR1,Ryanodine receptor 1
SAMD9,Sterile alpha motif domain containing 9
SERPINB9,Serpin family B member 9
SERPINE1,Serpin family E member 1
SGPL1,Sphingosine-1-phosphate lyase 1
SH2B3,SH2B adaptor protein 3
SHC1,SHC adaptor protein 1
SHOC2,SHOC2 leucine rich repeat scaffold protein
SHQ1,"SHQ1, H/ACA ribonucleoprotein assembly factor"
SIN3A,SIN3 transcription regulator family member A
SIRPA,Signal regulatory protein alpha
SIRT1,Sirtuin 1
SKP1,S-phase kinase associated protein 1
SKP2,Ubiquitously expressed prefoldin like chaperone
SLC17A5,Solute carrier family 17 member 5
SLC1A2,Solute carrier family 1 member 2
SLC24A5,Solute carrier family 24 member 5
SLC29A3,Solute carrier family 29 member 3
SLC44A4,Solute carrier family 44 member 4
SLC45A2,Solute carrier family 45 member 2
SLC9A3R1,NHERF family PDZ scaffold protein 1
SLX4,SLX4 structure-specific endonuclease subunit
SMARCA2,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 2
SMARCA4,SWI/SNF related BAF chromatin remodeling complex subunit ATPase 4
