gene,phenotype_classes,is_hypopigmentation,is_hyperpigmentation,is_mixed,citation,citation_source
BIVM,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BLM,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BLOC1S3,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BLOC1S5,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BLOC1S6,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BNC2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BRAF,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BRCA2,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BRIP1,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
BTNL2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
C11ORF65,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
C1ORF141,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
C1QTNF6,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CASP7,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CBFA2T3,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CBS,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CCR6,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CD80,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CDH23,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CDH3,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CEP57,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CHRNA9,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CLNK,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CPVL,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CTC1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CTLA4,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CTNS,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
CYP11A1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DDB2,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DDX3X,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DDX6,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DEF8,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DKC1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DNAJC12,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DSTYK,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
DTNBP1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
EGR2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
EIF2S2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
EIF6,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ENPP1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
EPG5,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ERCC1,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ERCC2,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ERCC3,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ERCC4,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ERCC5,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ERCC6,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ESCO2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FADS2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FANCA,Hyperpigmentation|Hypopigmentation|Mixed,True,True,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FANCB,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FANCC,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FANCD2,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FANCE,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FANCI,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FAP,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FARP2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FGFR3,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FIG4,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FLI1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FLNA,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FMR1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FOXP1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FRAS1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
FREM2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
GAGE2A,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
GNPTG,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
GPHN,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
GPNMB,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
GRIP1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
GZMB,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HERC2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HGD,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HLA-B,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HLA-DQA1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HLA-DQB1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HLA-DRA,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HLA-DRB1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HPS1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HPS3,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HPS4,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HPS5,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HPS6,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
HUNK,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IDS,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IDUA,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IFTAP,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IKBKG,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IKZF4,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IL17A,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IL1RAPL1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IL23R,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IL2RA,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
IRF3,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
KCNK12,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
KRT14,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
KRT5,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
LPP,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
LRMDA,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
LYST,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MCM4,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MEN1,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MLH1,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MRAP,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MSH2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MSH6,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MTAP,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
MYH8,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NARS1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NBN,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NEK6,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NF1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NFIX,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NHP2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NID1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NLRP1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NNT,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NOP10,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NR0B1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NRROS,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
NSD1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PAH,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PALB2,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PARN,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PARP12,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PCNT,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PLA2G6,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PMS2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
POFUT1,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
POGLUT1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
POLA1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
POLH,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PPARGC1B,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PRKAR1A,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PSENEN,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PTEN,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PTPN1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PTPN11,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PTPN22,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
PTPRC,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RAB5C,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RALY,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RECQL4,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RERE,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RFXANK,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RIT1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RNASET2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RPGRIP1L,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
RTEL1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SAMD9,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SERPINB9,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SGPL1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SH2B3,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SHOC2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SLC17A5,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SLC1A2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SLC29A3,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SLC44A4,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SMARCAL1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SMO,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SMOC2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SPATA48,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
SPRED1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ST3GAL5,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
STAR,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
STAT4,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
STK11,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TBX5,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TEF,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TERC,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TG,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TICAM1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TINF2,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TNFRSF11A,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TP63,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TPCN2,Pigmentation phenotype,False,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TSC1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
TSC2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
UBASH3A,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
UBE2E2,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
USP9X,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
UVSSA,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
VEGFA,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
WIF1,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
WRAP53,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
WRN,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
XPA,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
XPC,Mixed,False,False,True,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ZC3H7B,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ZMIZ1,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ZMPSTE24,Hyperpigmentation,False,True,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
ZNF354A,Hypopigmentation,True,False,False,PMC9854651 (D'Arcy & Kiel 2023 Table S1),pmcid
