source,target,sign,edge_class,via,citation,citation_source
CASP3,DFFB,+,mechanistic_projection,DFFB:DFFA_kerat,relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),relayed_backbone
CASP3,MAP3K1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CASP3,PRKCD,+,mechanistic_projection,,PMID:9660939,inherited_backbone
CASP8,BID,+,mechanistic_projection,,PMID:20019748,inherited_backbone
CASP8,CASP3,+,mechanistic_projection,,PMID:11803373,inherited_backbone
CASP9,CASP3,+,mechanistic_projection,,PMID:11919192,inherited_backbone
CASP9,CASP8,+,mechanistic_projection,,PMID:11919192,inherited_backbone
CDC42,MAP3K1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CDC42,RAC1,+,mechanistic_projection,,PMID:11896192,inherited_backbone
CFLAR,MAP2K7,-,mechanistic_projection,,PMID:17110930,inherited_backbone
CHUK,NFKB1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,BCL2,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,CFLAR,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,DUSP1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CREB1,MITF,+,mechanistic_projection,,PMID:19124082,inherited_backbone
CREB1,PTGS2,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:17277233,inherited_backbone
CSF2,CSF2RA,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
CSF2RA,STAT3,+,mechanistic_projection,CSF2RA:JAK1_melan,relayed via CSF2RA:JAK1_melan (backbone-derived; see topology layer),relayed_backbone
CTNNB1,MITF,+,mechanistic_projection,CTNNB1:LEF1_melan,relayed via CTNNB1:LEF1_melan (backbone-derived; see topology layer),relayed_backbone
CYCS,CASP9,+,mechanistic_projection,APAF1:CYCS_kerat,relayed via APAF1:CYCS_kerat (backbone-derived; see topology layer),relayed_backbone
CYCS,TFAP2A,+,mechanistic_projection,,PMID:12952965,inherited_backbone
DUSP1,MAPK1,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
DUSP1,MAPK3,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
DUSP1,MAPK8,-,mechanistic_projection,,PMID:17363493,inherited_backbone
EDN1,EDNRB,+,mechanistic_projection,,PMID:16411896,inherited_backbone
EDNRB,ADCY4,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
EDNRB,PLC,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
EGFR,HRAS,+,mechanistic_projection,SOS1:GRB2:SHC1_kerat,relayed via SOS1:GRB2:SHC1_kerat (backbone-derived; see topology layer),relayed_backbone
EGFR,PIK3CA,+,mechanistic_projection,,PMID:12952968,inherited_backbone
EGFR,STAT1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
ELK1,CDKN1A,+,mechanistic_projection,,PMID:21642427,inherited_backbone
F10,F2RL1,+,mechanistic_projection,,PMID:19258275,inherited_backbone
F2RL1,PLC,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
F2RL1,RHOA,+,mechanistic_projection,,PMID:12925212,inherited_backbone
F7,F2RL1,+,mechanistic_projection,,PMID:19258275,inherited_backbone
FAS,CASP8,+,mechanistic_projection,FAS:FADD_kerat,relayed via FAS:FADD_kerat (backbone-derived; see topology layer),relayed_backbone
FASLG,FAS,+,mechanistic_projection,,PMID:9425165,inherited_backbone
FOS,BCL2,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,CCND1,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,EDN1,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,IL1A,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,IL6,-,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,IVL,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,MMPs,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,NGF,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,PTGS2,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FOS,TNF,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
FZD3,AKT1,+,mechanistic_projection,,PMID:17804197,inherited_backbone
GAB1,AKT1,+,mechanistic_projection,GAB1:PIK3CA_melan,relayed via GAB1:PIK3CA_melan (backbone-derived; see topology layer),relayed_backbone
GSK3B,CTNNB1,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
GSK3B,NFATC1,-,mechanistic_projection,,PMID:18708588,inherited_backbone
GUCY1A2,PRKG1,+,mechanistic_projection,cGMP_melan,relayed via cGMP_melan (backbone-derived; see topology layer),relayed_backbone
GUCY1A2,Phosphodiesterase,+,mechanistic_projection,cGMP_melan,relayed via cGMP_melan (backbone-derived; see topology layer),relayed_backbone
HGF,MET,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
HIF1A,KITLG,+,mechanistic_projection,,PMID:24194964,inherited_backbone
HIF1A,PMAIP1,+,mechanistic_projection,,PMID:20393480,inherited_backbone
HRAS,RAF1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,inherited_backbone
IL1A,IL1R1,+,mechanistic_projection,,PMID:11348449,inherited_backbone
IL1R1,IRAK1,+,mechanistic_projection,IL1R1:MYD88:IRAK1:IRAK4_kerat,relayed via IL1R1:MYD88:IRAK1:IRAK4_kerat (backbone-derived; see topology layer),relayed_backbone
IL6,IL6R,+,mechanistic_projection,,PMID:15191552,inherited_backbone
IL6R,JAK1,+,mechanistic_projection,,PMID:15191552,inherited_backbone
IRAK1,CHUK,0,mechanistic_projection,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP2K3,0,mechanistic_projection,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP2K4,0,mechanistic_projection,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP2K6,0,mechanistic_projection,IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),relayed_backbone
IRAK1,MAP3K1,+,mechanistic_projection,IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat,relayed via IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat (backbone-derived; see topology layer),relayed_backbone
JAK1,STAT3,+,mechanistic_projection,,PMID:15191552,inherited_backbone
JUN,BCL2,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,CCND1,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,EDN1,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,IL1A,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,IL6,-,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,IVL,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,MMPs,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,NGF,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,PTGS2,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
JUN,TNF,+,mechanistic_projection,FOS_kerat:JUN_kerat,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),relayed_backbone
KIT,HRAS,+,mechanistic_projection,SOS1:GRB2:SHC1_melan,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),relayed_backbone
KIT,PIK3CA,+,mechanistic_projection,,PMID:16410786,inherited_backbone
KITLG,KIT,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:22637532,inherited_backbone
MAP2K1,MAPK1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K1,MAPK3,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K2,MAPK1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K2,MAPK3,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,inherited_backbone
MAP2K3,MAPK14,+,mechanistic_projection,,"Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",inherited_backbone
MAP2K4,MAPK8,+,mechanistic_projection,,"NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",inherited_backbone
MAP2K6,MAPK14,+,mechanistic_projection,,"Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",inherited_backbone
MAP2K7,MAPK8,+,mechanistic_projection,,"NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",inherited_backbone
MAP3K1,MAP2K4,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAP3K1,MAP2K7,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAP3K1,MAP3K14,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAP3K14,CHUK,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAP3K5,MAP2K3,+,mechanistic_projection,,PMID:11029458,inherited_backbone
MAP3K5,MAP2K4,+,mechanistic_projection,,PMID:11029458,inherited_backbone
MAP3K5,MAP2K6,+,mechanistic_projection,,PMID:11029458,inherited_backbone
MAP3K5,MAP2K7,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAP3K5,MAP3K1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAP4K2,MAP3K1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAPK1,ATF2,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK1,ELK1,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK1,FOS,+,mechanistic_projection,,PMID:15964692,inherited_backbone
MAPK1,JUN,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK1,MITF,-,mechanistic_projection,,PMID:18039926,inherited_backbone
MAPK1,PLA2,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
MAPK1,RPS6KA1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:19847192,inherited_backbone
MAPK1,TP53,+,mechanistic_projection,,PMID:10781582,inherited_backbone
MAPK14,ATF2,+,mechanistic_projection,,PMID:11244091,inherited_backbone
MAPK14,BAX,+,mechanistic_projection,,PMID:15964692,inherited_backbone
MAPK14,BCL2L1,+,mechanistic_projection,,PMID:15292226,inherited_backbone
MAPK14,CASP3,+,mechanistic_projection,,PMID:10233770,inherited_backbone
MAPK14,CREB1,+,mechanistic_projection,,PMID:11841550,inherited_backbone
MAPK14,ELK1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MAPK14,FOS,+,mechanistic_projection,,PMID:14511403; PMID:15964692,inherited_backbone
MAPK14,HIF1A,+,mechanistic_projection,,PMID:16278378,inherited_backbone
MAPK14,USF1,+,mechanistic_projection,,PMID:15358786,inherited_backbone
MAPK3,ATF2,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK3,ELK1,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK3,FOS,+,mechanistic_projection,,PMID:15964692,inherited_backbone
MAPK3,JUN,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK3,MITF,-,mechanistic_projection,,PMID:18039926,inherited_backbone
MAPK3,PLA2,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
MAPK3,RPS6KA1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:19847192,inherited_backbone
MAPK3,TP53,+,mechanistic_projection,,PMID:10781582,inherited_backbone
MAPK8,ATF2,+,mechanistic_projection,,PMID:11348449,inherited_backbone
MAPK8,BAK1,+,mechanistic_projection,MCL1:BAK1_kerat,relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),relayed_backbone
MAPK8,BAX,+,mechanistic_projection,MCL1:BAX_kerat,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),relayed_backbone
MAPK8,JUN,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:14511403,inherited_backbone
MAPK8,MCL1,+,mechanistic_projection,MCL1:BAX_kerat,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),relayed_backbone
MAPK8,MCL1,+,mechanistic_projection,MCL1:BAK1_kerat,relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),relayed_backbone
MC1R,ADCY4,+,mechanistic_projection,,"Raghunath-ref[14]:Dong F, Cui R, Liu F: Additional Roles of A-MSH/MC1R Signali",inherited_backbone
MC1R,NFKB1,-,mechanistic_projection,,PMID:19656324,inherited_backbone
MET,GAB1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MET,HRAS,+,mechanistic_projection,SOS1:GRB2:SHC1_melan,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),relayed_backbone
MITF,BCL2,+,mechanistic_projection,,PMID:12086670,inherited_backbone
MITF,CDK4,+,mechanistic_projection,,"Raghunath-ref[97]:Wellbrock C, Rana S, Paterson H, Pickersgill H, Brummelkamp",inherited_backbone
MITF,DCT,+,mechanistic_projection,,PMID:19026785,inherited_backbone
MITF,EDNRB,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MITF,MC1R,+,mechanistic_projection,,PMID:12204775,inherited_backbone
MITF,MET,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MITF,MITF,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MITF,MITF,+,mechanistic_projection,MITF:EP300_melan,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MITF,MLANA,+,mechanistic_projection,,PMID:15117970,inherited_backbone
MITF,OCA2,+,mechanistic_projection,,PMID:22234890,inherited_backbone
MITF,PMEL,+,mechanistic_projection,,PMID:18039926,inherited_backbone
MITF,PRKCB,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
MITF,TYR,+,mechanistic_projection,,PMID:19026785,inherited_backbone
MITF,TYRP1,+,mechanistic_projection,,PMID:19026785,inherited_backbone
MSN,CDH2,+,mechanistic_projection,,PMID:18983538,inherited_backbone
NFATC1,PTGS2,+,mechanistic_projection,,PMID:18708588,inherited_backbone
NFKB1,BCL2,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,CDKN1A,+,mechanistic_projection,,PMID:12612054,inherited_backbone
NFKB1,CSF2,+,mechanistic_projection,,PMID:15102074,inherited_backbone
NFKB1,CXCL8,+,mechanistic_projection,,PMID:19726162,inherited_backbone
NFKB1,EDN1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,F2RL1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,FASLG,+,mechanistic_projection,,PMID:16631160,inherited_backbone
NFKB1,ICAM1,+,mechanistic_projection,,PMID:15654951,inherited_backbone
NFKB1,IL10,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,IL12A,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,IL1A,+,mechanistic_projection,,PMID:10862790,inherited_backbone
NFKB1,IL6,+,mechanistic_projection,,PMID:16211268,inherited_backbone
NFKB1,KITLG,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,MMPs,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
NFKB1,NOS2,+,mechanistic_projection,,"Raghunath-ref[110]:Song XZ, Bi ZG, Xu AE: Green tea polyphenol epigallocatechin",inherited_backbone
NFKB1,PRKCD,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NFKB1,PTGS2,+,mechanistic_projection,,PMID:14633657,inherited_backbone
NFKB1,TNF,+,mechanistic_projection,,PMID:21282043,inherited_backbone
NFKB1,TP53,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NGF,NTRK1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
NOS2,GUCY1A2,+,mechanistic_projection,Nitric_oxide_kerat,relayed via Nitric_oxide_kerat (backbone-derived; see topology layer),relayed_backbone
NOX1,EGFR,+,mechanistic_projection,ROS_kerat,relayed via ROS_kerat (backbone-derived; see topology layer),relayed_backbone
NOX1,MAP3K5,+,mechanistic_projection,ROS_kerat,relayed via ROS_kerat (backbone-derived; see topology layer),relayed_backbone
NOX1,SMPD2,+,mechanistic_projection,ROS_kerat,relayed via ROS_kerat (backbone-derived; see topology layer),relayed_backbone
NTRK1,HRAS,+,mechanistic_projection,SOS1:GRB2:SHC1_melan,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),relayed_backbone
PAK1,MAP2K3,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PAK1,MAP2K6,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PAX3,MITF,+,mechanistic_projection,,PMID:10536986; PMID:19124082,inherited_backbone
PDPK1,AKT1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:19342374,inherited_backbone
PDPK1,PRKCH,+,mechanistic_projection,,PMID:12223477,inherited_backbone
PIAS3,MITF,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PIAS3,STAT3,-,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PIK3CA,PDPK1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:19342374,inherited_backbone
PIK3CA,RAC1,+,mechanistic_projection,,PMID:18983538,inherited_backbone
PKC,NFKB1,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
PLA2,PTGER1,+,mechanistic_projection,Arachidonic_Acid_kerat>PGE2_kerat,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PLA2,PTGER2,+,mechanistic_projection,Arachidonic_Acid_kerat>PGE2_kerat,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PLA2,PTGER3,+,mechanistic_projection,Arachidonic_Acid_kerat>PGE2_kerat,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PLA2,PTGER4,+,mechanistic_projection,Arachidonic_Acid_kerat>PGE2_kerat,relayed via Arachidonic_Acid_kerat>PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PLC,PRKCB,+,mechanistic_projection,DAG_melan,relayed via DAG_melan (backbone-derived; see topology layer),relayed_backbone
PLC,RYR1,+,mechanistic_projection,IP3_melan,relayed via IP3_melan (backbone-derived; see topology layer),relayed_backbone
PLC,RYR1,+,mechanistic_projection,IP3_kerat,relayed via IP3_kerat (backbone-derived; see topology layer),relayed_backbone
PLC,SMPD1,+,mechanistic_projection,DAG_kerat,relayed via DAG_kerat (backbone-derived; see topology layer),relayed_backbone
PMAIP1,BAK1,+,mechanistic_projection,,PMID:15901672,inherited_backbone
PPP3CA,NFATC1,+,mechanistic_projection,,PMID:18708588,inherited_backbone
PRKACA,CREB1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:12950719,inherited_backbone
PRKCB,GAB1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PRKCB,TYR,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PRKCD,BAK1,+,mechanistic_projection,MCL1:BAK1_kerat,relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),relayed_backbone
PRKCD,BAX,+,mechanistic_projection,MCL1:BAX_kerat,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),relayed_backbone
PRKCD,CASP3,+,mechanistic_projection,,PMID:15304079,inherited_backbone
PRKCD,CASP8,+,mechanistic_projection,,PMID:15304079,inherited_backbone
PRKCD,CASP9,+,mechanistic_projection,,PMID:15304079,inherited_backbone
PRKCD,MCL1,+,mechanistic_projection,MCL1:BAX_kerat,relayed via MCL1:BAX_kerat (backbone-derived; see topology layer),relayed_backbone
PRKCD,MCL1,+,mechanistic_projection,MCL1:BAK1_kerat,relayed via MCL1:BAK1_kerat (backbone-derived; see topology layer),relayed_backbone
PRKCD,NFKB1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PRKCH,CASP3,-,mechanistic_projection,,PMID:12646210,inherited_backbone
PRKCH,CDK2,-,mechanistic_projection,,PMID:11175348,inherited_backbone
PRKCH,MAPK14,+,mechanistic_projection,,PMID:12646210,inherited_backbone
PRKCZ,NFKB1,+,mechanistic_projection,,PMID:12881425,inherited_backbone
PRKG1,CREB1,+,mechanistic_projection,,PMID:22441938,inherited_backbone
PTGER1,PLC,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
PTGER2,ADCY4,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PTGER3,PLC,+,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
PTGER4,ADCY4,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
PTGS2,PTGER1,+,mechanistic_projection,PGE2_melan,relayed via PGE2_melan (backbone-derived; see topology layer),relayed_backbone
PTGS2,PTGER1,+,mechanistic_projection,PGE2_kerat,relayed via PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PTGS2,PTGER2,+,mechanistic_projection,PGE2_kerat,relayed via PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PTGS2,PTGER3,+,mechanistic_projection,PGE2_melan,relayed via PGE2_melan (backbone-derived; see topology layer),relayed_backbone
PTGS2,PTGER3,+,mechanistic_projection,PGE2_kerat,relayed via PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
PTGS2,PTGER4,+,mechanistic_projection,PGE2_kerat,relayed via PGE2_kerat (backbone-derived; see topology layer),relayed_backbone
Phosphodiesterase,PRKACA,-,mechanistic_projection,,relayed via nan (backbone-derived; see topology layer),relayed_backbone
RAC1,MAP2K3,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
RAC1,MAP2K6,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
RAC1,MAP3K1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:8910292,inherited_backbone
RAC1,NOX1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
RAC1,PAK1,+,mechanistic_projection,,PMID:22882909,inherited_backbone
RAC1,PRKCZ,+,mechanistic_projection,RAC1:PARD6A:CDC42_melan,relayed via RAC1:PARD6A:CDC42_melan (backbone-derived; see topology layer),relayed_backbone
RAF1,MAP2K1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,inherited_backbone
RAF1,MAP2K2,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,inherited_backbone
RAP1A,RAC1,+,mechanistic_projection,,NetProTM (Molecular Connections curated interaction DB),inherited_backbone
