gene_string,gene_sysgo,process_1,process_2,process_3,main_location,disease_gene_flag,disease_gene_class,in_a375,expr_a375_lfq,in_fm55,expr_fm55_lfq,citation,citation_source
CUL4B,CUL4B,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,CUL4B,151073.41666666666,CUL4B,105599.75,PMC9854651,pmcid
CUL5,CUL5,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,CUL5,81439.16666666667,CUL5,83686.83333333333,PMC9854651,pmcid
CUL7,CUL7,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_B_3_Golgi apparatus,,,CUL7,44124.666666666664,CUL7,43568.5,PMC9854651,pmcid
CYFIP1,CYFIP1,3_5_2_Innate Immune System,Innate Immune System,Immune system & Inflammation,01_A_Cytosol,,,CYFIP1,349796.6666666667,CYFIP1,309590.0,PMC9854651,pmcid
CYLD,CYLD,1_8_13_Deubiquitination,Post-translational protein modification,"Protein translation, folding, modification & degradation",01_D_3_Microtubules,,,,,,,PMC9854651,pmcid
CYP11A1,CYP11A1,1_25_1_Biological oxidations,Metabolism - Other,Metabolism,01_B_1_Mitochondria,CYP11A1,Hyperpigmentation disorder,,,,,PMC9854651,pmcid
DCAF13,DCAF13,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,,,,,PMC9854651,pmcid
DCP1A,DCP1A,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,DCP1A,80581.16666666667,DCP1A,88759.5,PMC9854651,pmcid
DCP2,DCP2,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,,,,,PMC9854651,pmcid
DDB1,DDB1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,DDB1,346173.3333333333,DDB1,339265.0,PMC9854651,pmcid
DDB2,DDB2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,DDB2,Mixed hypo- & hyperpigmentation disorder,DDB2,109309.83333333333,DDB2,71791.83333333333,PMC9854651,pmcid
DDX3X,DDX3X,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",03_A_Nucleus,DDX3X,Hypopigmentation disorder,,,,,PMC9854651,pmcid
DDX6,DDX6,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_A_Cytosol,DDX6,Hypopigmentation disorder,DDX6,614560.0,DDX6,672523.3333333334,PMC9854651,pmcid
DHX36,DHX36,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,DHX36,131391.66666666666,DHX36,107165.0,PMC9854651,pmcid
DKC1,DKC1,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,DKC1,Hyperpigmentation disorder,DKC1,1292.2333333333333,DKC1,1411.75,PMC9854651,pmcid
DTNBP1,DTNBP1,3_3_Neuronal System_synapses_channels,Neuronal System_synapses_channels,Neuronal System_synapses_channels,01_B_6_Melanosomes,DTNBP1,Hypopigmentation disorder,DTNBP1,59731.166666666664,DTNBP1,52065.833333333336,PMC9854651,pmcid
DYNLL1,DYNLL1,1_15_2_Myosin_dynein_kinesin,Cytoskeleton,Cytoskeleton,01_D_3_Microtubules,,,DYNLL1,314698.3333333333,DYNLL1,316078.3333333333,PMC9854651,pmcid
EDC3,EDC3,1_6_3_Metabolism of mRNA,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_A_Cytosol,,,EDC3,147181.66666666666,EDC3,147666.33333333334,PMC9854651,pmcid
EDN1,EDN1,3_12_Hormone activity,Hormones,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
EDN3,EDN3,3_12_Hormone activity,Hormones,Signaling,04_EXTRACELLULAR,EDN3,Hypopigmentation disorder,,,,,PMC9854651,pmcid
EDNRA,EDNRA,3_6_23_Endothelin receptors,GPCR signaling,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
EDNRB,EDNRB,3_6_23_Endothelin receptors,GPCR signaling,Signaling,02_B_Cell membrane,EDNRB,Hypopigmentation disorder,,,,,PMC9854651,pmcid
EGFR,EGFR,3_2_22_ERBB family signaling,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
EGR2,EGR2,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,EGR2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
EIF1,EIF1,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF1,391400.0,EIF1,350341.6666666667,PMC9854651,pmcid
EIF2B1,EIF2B1,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF2B1,557403.3333333334,EIF2B1,508718.3333333333,PMC9854651,pmcid
EIF2B3,EIF2B3,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF2B3,129473.66666666667,EIF2B3,121990.0,PMC9854651,pmcid
EIF2B5,EIF2B5,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF2B5,103255.5,EIF2B5,100957.33333333333,PMC9854651,pmcid
EIF2S1,EIF2S1,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF2S1,1111060.0,EIF2S1,1266216.6666666667,PMC9854651,pmcid
EIF2S2,EIF2S2,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,EIF2S2,Hyperpigmentation disorder,EIF2S2,262185.0,EIF2S2,319286.6666666667,PMC9854651,pmcid
EIF2S3,EIF2S3,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,,,,,PMC9854651,pmcid
EIF3A,EIF3A,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF3A,568910.0,EIF3A,612275.0,PMC9854651,pmcid
EIF3G,EIF3G,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF3G,405395.0,EIF3G,424130.0,PMC9854651,pmcid
EIF4E,EIF4E,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF4E,262793.3333333333,EIF4E,258070.0,PMC9854651,pmcid
EIF5,EIF5,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,,,EIF5,437708.3333333333,EIF5,489640.0,PMC9854651,pmcid
EIF6,EIF6,1_8_1_Translation,Metabolism of mRNA & Translation,"Protein translation, folding, modification & degradation",01_C_3_Ribosomes,EIF6,Hyperpigmentation disorder,EIF6,2103166.6666666665,EIF6,2259350.0,PMC9854651,pmcid
ENPP1,ENPP1,1_18_Metabolism of vitamins and cofactors,Metabolism of vitamins and cofactors,Metabolism,04_EXTRACELLULAR,ENPP1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
EP300,EP300,1_3_Chromatin organization,Chromatin organization,Chromatin organization & DNA repair,03_D_Chromatin,,,,,,,PMC9854651,pmcid
ERCC1,ERCC1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ERCC1,Mixed hypo- & hyperpigmentation disorder,ERCC1,18250.5,ERCC1,11238.833333333334,PMC9854651,pmcid
ERCC2,ERCC2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ERCC2,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
ERCC3,ERCC3,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ERCC3,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
ERCC4,ERCC4,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ERCC4,Hyperpigmentation disorder,ERCC4,65371.166666666664,ERCC4,49739.5,PMC9854651,pmcid
ERCC5,ERCC5,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ERCC5,Mixed hypo- & hyperpigmentation disorder,ERCC5,212881.0,ERCC5,147940.0,PMC9854651,pmcid
ERCC6,ERCC6,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,ERCC6,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
ESCO2,ESCO2,4_1_2_Cell Cycle,Signaling - Cell fates,Signaling,03_A_Nucleus,ESCO2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
EXO1,EXO1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
FADD,FADD,4_2_Programmed Cell Death,Cell death,Signaling,01_A_Cytosol,,,FADD,138228.33333333334,FADD,94179.66666666667,PMC9854651,pmcid
FADS2,FADS2,1_1_3_Fatty acid metabolism,Lipid & FA metabolism,Metabolism,01_B_2_b_Smooth ER,FADS2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
FAN1,FAN1,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
FANCA,FANCA,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,FANCA,"Hyper, Hypo & mixed",,,,,PMC9854651,pmcid
FANCB,FANCB,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,FANCB,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
FANCC,FANCC,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,FANCC,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
FANCD2,FANCD2,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,FANCD2,Mixed hypo- & hyperpigmentation disorder,FANCD2,27773.333333333332,FANCD2,15003.166666666666,PMC9854651,pmcid
FANCE,FANCE,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,FANCE,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
FANCF,FANCF,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
FANCG,FANCG,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
FANCI,FANCI,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,FANCI,Mixed hypo- & hyperpigmentation disorder,FANCI,81438.33333333333,FANCI,33593.166666666664,PMC9854651,pmcid
FANCL,FANCL,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
FANCM,FANCM,1_4_DNA Repair,DNA Repair,Chromatin organization & DNA repair,03_C_Nucleoplasm,,,,,,,PMC9854651,pmcid
FARP2,FARP2,1_26_5_Rho_GEF,Rho GTPase and regulators,Signaling,01_A_Cytosol,FARP2,Hypopigmentation disorder,,,,,PMC9854651,pmcid
FAS,FAS,4_2_Programmed Cell Death,Cell death,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
FASLG,FASLG,4_2_Programmed Cell Death,Cell death,Signaling,04_EXTRACELLULAR,FASLG,Hypopigmentation disorder,,,,,PMC9854651,pmcid
FBL,FBL,1_6_2_Metabolism of rRNA,Metabolism of rRNA,Metabolism,03_H_Necleoli,,,FBL,41900.0,FBL,22539.666666666668,PMC9854651,pmcid
FBXW7,FBXW7,1_8_11_Neddylation,Post-translational protein modification,"Protein translation, folding, modification & degradation",03_A_Nucleus,,,,,,,PMC9854651,pmcid
FDX1,FDX1,1_9_5_Mitochondrial iron-sulfur cluster biogenesis,Mitochondria,Organelles,01_B_1_d_Matrix,,,,,,,PMC9854651,pmcid
FGF2,FGF2,3_2_20_Signaling by FGFR,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
FGF9,FGF9,3_2_20_Signaling by FGFR,Signaling - Cell fates,Signaling,04_EXTRACELLULAR,,,,,,,PMC9854651,pmcid
FGFR3,FGFR3,3_2_20_Signaling by FGFR,Signaling - Cell fates,Signaling,02_B_Cell membrane,FGFR3,Mixed hypo- & hyperpigmentation disorder,,,,,PMC9854651,pmcid
FIG4,FIG4,1_26_48_phosphatidylinositol-phosphate phosphatase,Lipid & FA metabolism,Signaling,01_B_7_Endosomes,FIG4,Hypopigmentation disorder,FIG4,4960200.0,FIG4,3507133.3333333335,PMC9854651,pmcid
FLI1,FLI1,1_5_2_Transcription factors,Transcription & transcription factors,Transcription,03_C_Nucleoplasm,FLI1,Hypopigmentation disorder,,,,,PMC9854651,pmcid
FLNA,FLNA,1_15_1_Actin,Cytoskeleton,Cytoskeleton,01_D_1_Microfilaments (Actin),FLNA,Hyperpigmentation disorder,FLNA,1757333.3333333333,FLNA,1556316.6666666667,PMC9854651,pmcid
FLT1,FLT1,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
FLT4,FLT4,3_2_16_Signaling by VEGF,Signaling - Cell fates,Signaling,02_B_Cell membrane,,,,,,,PMC9854651,pmcid
