candidate_gene,n_supporting_loci,supporting_papers,cross_paper_convergence,attribution_basis_seen,effector_status_seen,supporting_loci_detail,mygene_summary,zhang2018_melanocyte_eqtl_tested,zhang2018_melanocyte_eqtl_significant,open_targets_canonical_check
LRMDA,1,Ang2023,False,nearest_gene_only,effector_uncertain,Ang2023:rs7911113,"This gene encodes a leucine-rich repeat protein. The encoded protein is thought to play a role in melanocyte differentiation. Mutations in this gene have been associated with autosomal recessive oculocutaneous albinism 7 (OCA7). Alternatively spliced transcript variants have been identified. [provided by RefSeq, Mar 2015].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
LTBP1,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs10173066,"The protein encoded by this gene belongs to the family of latent TGF-beta binding proteins (LTBPs). The secretion and activation of TGF-betas is regulated by their association with latency-associated proteins and with latent TGF-beta binding proteins. The product of this gene targets latent complexes of transforming growth factor beta to the extracellular matrix, where the latent cytokine is subsequently activated by several different mechanisms. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
MANBA,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs463373 (representative); also rs3733437, rs6826912, rs439757, rs223495, rs3733632","This gene encodes a member of the glycosyl hydrolase 2 family. The encoded protein localizes to the lysosome where it is the final exoglycosidase in the pathway for N-linked glycoprotein oligosaccharide catabolism. Mutations in this gene are associated with beta-mannosidosis, a lysosomal storage disease that has a wide spectrum of neurological involvement. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
MIR548F3,1,Kim2024,False,nearest_gene_only,effector_uncertain,Kim2024:rs75998173,"microRNAs (miRNAs) are short (20-24 nt) non-coding RNAs that are involved in post-transcriptional regulation of gene expression in multicellular organisms by affecting both the stability and translation of mRNAs. miRNAs are transcribed by RNA polymerase II as part of capped and polyadenylated primary transcripts (pri-miRNAs) that can be either protein-coding or non-coding. The primary transcript is cleaved by the Drosha ribonuclease III enzyme to produce an approximately 70-nt stem-loop precursor miRNA (pre-miRNA), which is further cleaved by the cytoplasmic Dicer ribonuclease to generate the mature miRNA and antisense miRNA star (miRNA*) products. The mature miRNA is incorporated into a RNA-induced silencing complex (RISC), which recognizes target mRNAs through imperfect base pairing with the miRNA and most commonly results in translational inhibition or destabilization of the target mRNA. The RefSeq represents the predicted microRNA stem-loop. [provided by RefSeq, Sep 2009].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
MRPS22,1,Kim2024,False,nearest_gene_only,effector_ambiguous_near,Kim2024:rs9853827,"Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 28S subunit protein that does not seem to have a counterpart in prokaryotic and fungal-mitochondrial ribosomes. This gene lies telomeric of and is transcribed in the opposite direction from the forkhead box L2 gene. A pseudogene corresponding to this gene is found on chromosome Xq. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
MSX2,1,Morgan2018,False,nearest_gene_only,effector_uncertain,Morgan2018:rs6876712,"This gene encodes a member of the muscle segment homeobox gene family. The encoded protein is a transcriptional repressor whose normal activity may establish a balance between survival and apoptosis of neural crest-derived cells required for proper craniofacial morphogenesis. The encoded protein may also have a role in promoting cell growth under certain conditions and may be an important target for the RAS signaling pathways. Mutations in this gene are associated with parietal foramina 1 and craniosynostosis type 2. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
NUCKS1,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs7529037,"This gene encodes a nuclear protein that is highly conserved in vertebrates. The conserved regions of the protein contain several consensus phosphorylation sites for casein kinase II and cyclin-dependent kinases, two putative nuclear localization signals, and a basic DNA-binding domain. It is phosphorylated in vivo by Cdk1 during mitosis of the cell cycle. [provided by RefSeq, Aug 2010].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
OPN4,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs3740342,"Opsins are members of the guanine nucleotide-binding protein (G protein)-coupled receptor superfamily. This gene encodes a photoreceptive opsin protein that is expressed within the ganglion and amacrine cell layers of the retina. In mouse, retinal ganglion cell axons expressing this gene projected to the suprachiasmatic nucleus and other brain nuclei involved in circadian photoentrainment. In mouse, this protein is coupled to a transient receptor potential (TRP) ion channel through a G protein signaling pathway and produces a physiologic light response via membrane depolarization and increased intracellular calcium. The protein functions as a sensory photopigment and may also have photoisomerase activity. Experiments with knockout mice indicate that this gene attenuates, but does not abolish, photoentrainment. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
ORAOV1,1,Morgan2018,False,nearest_gene_only,effector_uncertain,Morgan2018:rs638640,NOT_FOUND_IN_MYGENE,False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
PISRT1,1,Kim2024,False,nearest_gene_only,effector_ambiguous_near,Kim2024:rs9853827,,False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
PKHD1,1,Morgan2018,False,nearest_gene_only,effector_uncertain,Morgan2018:rs9463733,"The protein encoded by this gene is predicted to have a single transmembrane (TM)-spanning domain and multiple copies of an immunoglobulin-like plexin-transcription-factor domain. Alternative splicing results in two transcript variants encoding different isoforms. Other alternatively spliced transcripts have been described, but the full length sequences have not been determined. Several of these transcripts are predicted to encode truncated products which lack the TM and may be secreted. Mutations in this gene cause autosomal recessive polycystic kidney disease, also known as polycystic kidney and hepatic disease-1. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
PM20D1,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs7529037,"Enables hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides. Involved in several processes, including amide biosynthetic process; cellular amide catabolic process; and negative regulation of neuron death. Located in extracellular exosome. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
PPP3CA,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs463373 (representative); also rs3733437, rs6826912, rs439757, rs223495, rs3733632","Enables several functions, including ATPase binding activity; calmodulin binding activity; and calmodulin-dependent protein phosphatase activity. Involved in several processes, including calcineurin-NFAT signaling cascade; peptidyl-serine dephosphorylation; and response to calcium ion. Located in several cellular components, including cytosol; dendritic spine; and nucleoplasm. Part of calcineurin complex. Colocalizes with cytoplasmic side of plasma membrane. Implicated in developmental and epileptic encephalopathy 91. Biomarker of focal segmental glomerulosclerosis and schizophrenia. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
RAB29,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs7529037,"Enables several functions, including dynein complex binding activity; guanyl ribonucleotide binding activity; and kinesin binding activity. Involved in several processes, including positive regulation of T cell receptor signaling pathway; positive regulation of receptor recycling; and toxin transport. Located in several cellular components, including Golgi apparatus; endosome; and vacuole. [provided by Alliance of Genome Resources, Apr 2022]",True,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
RAB32,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs77310623,"The protein encoded by this gene anchors the type II regulatory subunit of protein kinase A to the mitochondrion and aids in mitochondrial fission. The encoded protein also appears to be involved in autophagy and melanosome secretion. Variations in this gene may be linked to leprosy. [provided by RefSeq, Dec 2015].",True,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SCARB1,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs10846744,"The protein encoded by this gene is a plasma membrane receptor for high density lipoprotein cholesterol (HDL). The encoded protein mediates cholesterol transfer to and from HDL. In addition, this protein is a receptor for hepatitis C virus glycoprotein E2 and facilitates cell entry by the virus, SARS-CoV2. [provided by RefSeq, Oct 2021].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SEM1,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs6977057,"The product of this gene has been localized within the split hand/split foot malformation locus SHFM1 at chromosome 7. It has been proposed to be a candidate gene for the autosomal dominant form of the heterogeneous limb developmental disorder split hand/split foot malformation type 1. In addition, it has been shown to directly interact with BRCA2. It also may play a role in the completion of the cell cycle. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SIK1,1,Morgan2018,False,nearest_gene_only,effector_uncertain,Morgan2018:rs672948,"This gene encodes a serine/threonine protein kinase that contains a ubiquitin-associated (UBA) domain. The encoded protein is a member of the adenosine monophosphate-activated kinase (AMPK) subfamily of kinases that play a role in conserved signal transduction pathways. A mutation in this gene is associated with early infantile epileptic encephalopathy 30. [provided by RefSeq, Nov 2016].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SLC39A8,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs463373 (representative); also rs3733437, rs6826912, rs439757, rs223495, rs3733632","This gene encodes a member of the SLC39 family of solute-carrier genes, which show structural characteristics of zinc transporters. The encoded protein is glycosylated and found in the plasma membrane and mitochondria, and functions in the cellular import of zinc at the onset of inflammation. It is also thought to be the primary transporter of the toxic cation cadmium, which is found in cigarette smoke. Multiple transcript variants encoding different isoforms have been found for this gene. Additional alternatively spliced transcript variants of this gene have been described, but their full-length nature is not known. [provided by RefSeq, Oct 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SLC45A3,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs7529037,"Predicted to enable sucrose:proton symporter activity. Predicted to be involved in positive regulation of small molecule metabolic process; regulation of oligodendrocyte differentiation; and sucrose transport. Predicted to be located in plasma membrane. Predicted to be active in membrane. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SLC6A17,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs6689641,"The protein encoded by this gene is a member of the SLC6 family of transporters, which are responsible for the presynaptic uptake of most neurotransmitters. The encoded vesicular transporter is selective for proline, glycine, leucine and alanine. In mouse, the strongest expression of this gene was in cortical and hippocampal tissues where expression increased during embryonic brain development and peaked postnatally. Defects in this gene cause a form of autosomal recessive intellectual disability. [provided by RefSeq, Jul 2017].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SYN2,1,Kim2024,False,nearest_gene_only,effector_uncertain,Kim2024:rs3773364,"This gene is a member of the synapsin gene family. Synapsins encode neuronal phosphoproteins which associate with the cytoplasmic surface of synaptic vesicles. Family members are characterized by common protein domains, and they are implicated in synaptogenesis and the modulation of neurotransmitter release, suggesting a potential role in several neuropsychiatric diseases. This member of the synapsin family encodes a neuron-specific phosphoprotein that selectively binds to small synaptic vesicles in the presynaptic nerve terminal. Polymorphisms in this gene are associated with abnormal presynaptic function and related neuronal disorders, including autism, epilepsy, bipolar disorder and schizophrenia. Alternative splicing of this gene results in multiple transcript variants. The tissue inhibitor of metalloproteinase 4 gene is located within an intron of this gene and is transcribed in the opposite direction. [provided by RefSeq, Feb 2014].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
SYT6,1,Ang2023,False,stated_unknown,effector_ambiguous_near,"Ang2023:rs116218201 (representative); cluster also rs113236485, rs115102845, rs185469828","The protein encoded by this gene belongs to the synaptotagmin family. Synaptotagmins share a common domain structure that includes a transmembrane domain and a cytoplasmic region composed of 2 C2 domains, and are involved in calcium-dependent exocytosis of synaptic vesicles. This protein has been shown to be a key component of the secretory machinery involved in acrosomal exocytosis. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2011].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
TACR3,1,Ang2023,False,nearest_gene_only,effector_ambiguous_near,"Ang2023:rs463373 (representative); also rs3733437, rs6826912, rs439757, rs223495, rs3733632","This gene belongs to a family of genes that function as receptors for tachykinins.  Receptor affinities are specified by variations in the 5'-end of the sequence.  The receptors belonging to this family are characterized by interactions with G proteins and 7 hydrophobic transmembrane regions.  This gene encodes the receptor for the tachykinin neurokinin 3, also referred to as neurokinin B. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
TENT5A,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs9361843,"Enables RNA binding activity. Predicted to be involved in mRNA stabilization. Predicted to act upstream of or within response to bacterium. Implicated in lung non-small cell carcinoma; osteoarthritis; and osteogenesis imperfecta type 18. [provided by Alliance of Genome Resources, Apr 2022]",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
TRPS1,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs800884,"This gene encodes a transcription factor that represses GATA-regulated genes and binds to a dynein light chain protein. Binding of the encoded protein to the dynein light chain protein affects binding to GATA consensus sequences and suppresses its transcriptional activity. Defects in this gene are a cause of tricho-rhino-phalangeal syndrome (TRPS) types I-III. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
UGT1A6,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs10929285,"This gene encodes a UDP-glucuronosyltransferase, an enzyme of the glucuronidation pathway that transforms small lipophilic molecules, such as steroids, bilirubin, hormones, and drugs, into water-soluble, excretable metabolites. This gene is part of a complex locus that encodes several UDP-glucuronosyltransferases. The locus includes thirteen unique alternate first exons followed by four common exons. Four of the alternate first exons are considered pseudogenes. Each of the remaining nine 5' exons may be spliced to the four common exons, resulting in nine proteins with different N-termini and identical C-termini. Each first exon encodes the substrate binding site, and is regulated by its own promoter. The enzyme encoded by this gene is active on phenolic and planar compounds. Alternative splicing in the unique 5' end of this gene results in two transcript variants. [provided by RefSeq, Jul 2008].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
USP35,1,Kim2024,False,regulatory_demonstrated,effector_uncertain,Kim2024:rs10899491,"This gene encodes a member of the peptidase C19 family of ubiquitin-specific proteases. These deubiquitinating enzymes (DUBs) catalyze the removal of ubiquitin proteins from other proteins. The encoded protein associates with polarized mitochondria and has been shown to inhibit NF-kappa B activation and delay PARK2-mediated degradation of mitochondria. Expression of this gene is upregulated by the let-7a microRNA and reduced expression has been observed in human tumor tissues. [provided by RefSeq, Jul 2017].",False,False,"NOT_COMPLETED — rate-limited (global client limit) across all retry attempts this session; honest gap, needs re-open"
