gene_a,gene_b,raghunath_sign,raghunath_citation,both_string_mappable,string_edge_present_score700,citation,citation_source
CASP3,DFFA,+,relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CASP3,DFFB,+,relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via DFFB:DFFA_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CASP3,MAP3K1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CASP3,PRKCD,+,PMID:9660939,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:9660939,string_db+inherited_backbone
BID,CASP8,+,PMID:20019748,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:20019748,string_db+inherited_backbone
CASP3,CASP8,+,PMID:11803373,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11803373,string_db+inherited_backbone
CASP3,CASP9,+,PMID:11919192,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11919192,string_db+inherited_backbone
CASP8,CASP9,+,PMID:11919192,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11919192,string_db+inherited_backbone
CDC42,MAP3K1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CDC42,RAC1,+,PMID:11896192,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11896192,string_db+inherited_backbone
CFLAR,MAP2K7,-,PMID:17110930,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:17110930,string_db+inherited_backbone
CHUK,NFKB1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
BCL2,CREB1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CFLAR,CREB1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CREB1,DUSP1,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CREB1,MITF,+,PMID:19124082,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19124082,string_db+inherited_backbone
CREB1,PTGS2,+,NetProTM (Molecular Connections curated interaction DB); PMID:17277233,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:17277233,string_db+inherited_backbone
CSF2,CSF2RA,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CSF2RA,STAT3,+,relayed via CSF2RA:JAK1_melan (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via CSF2RA:JAK1_melan (backbone-derived; see topology layer),string_db+inherited_backbone
CTNNB1,MITF,+,relayed via CTNNB1:LEF1_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via CTNNB1:LEF1_melan (backbone-derived; see topology layer),string_db+inherited_backbone
CASP9,CYCS,+,relayed via APAF1:CYCS_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via APAF1:CYCS_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CYCS,TFAP2A,+,PMID:12952965,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12952965,string_db+inherited_backbone
DUSP1,MAPK1,-,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
DUSP1,MAPK3,-,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
DUSP1,MAPK8,-,PMID:17363493,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:17363493,string_db+inherited_backbone
EDN1,EDNRB,+,PMID:16411896,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16411896,string_db+inherited_backbone
ADCY4,EDNRB,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
EDNRB,PLC,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
EGFR,HRAS,+,relayed via SOS1:GRB2:SHC1_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via SOS1:GRB2:SHC1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
EGFR,PIK3CA,+,PMID:12952968,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12952968,string_db+inherited_backbone
EGFR,STAT1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CDKN1A,ELK1,+,PMID:21642427,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:21642427,string_db+inherited_backbone
F10,F2RL1,+,PMID:19258275,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19258275,string_db+inherited_backbone
F2RL1,PLC,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
F2RL1,RHOA,+,PMID:12925212,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:12925212,string_db+inherited_backbone
F2RL1,F7,+,PMID:19258275,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:19258275,string_db+inherited_backbone
CASP8,FAS,+,relayed via FAS:FADD_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FAS:FADD_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FAS,FASLG,+,PMID:9425165,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:9425165,string_db+inherited_backbone
BCL2,FOS,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CCND1,FOS,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
EDN1,FOS,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,IL1A,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,IL6,-,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,IVL,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,MMPS,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,NGF,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,PTGS2,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
FOS,TNF,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
AKT1,FZD3,+,PMID:17804197,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:17804197,string_db+inherited_backbone
AKT1,GAB1,+,relayed via GAB1:PIK3CA_melan (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via GAB1:PIK3CA_melan (backbone-derived; see topology layer),string_db+inherited_backbone
CTNNB1,GSK3B,-,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
GSK3B,NFATC1,-,PMID:18708588,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18708588,string_db+inherited_backbone
GUCY1A2,PRKG1,+,relayed via cGMP_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via cGMP_melan (backbone-derived; see topology layer),string_db+inherited_backbone
GUCY1A2,PHOSPHODIESTERASE,+,relayed via cGMP_melan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via cGMP_melan (backbone-derived; see topology layer),string_db+inherited_backbone
HGF,MET,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
HIF1A,KITLG,+,PMID:24194964,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:24194964,string_db+inherited_backbone
HIF1A,PMAIP1,+,PMID:20393480,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:20393480,string_db+inherited_backbone
HRAS,RAF1,+,NetProTM (Molecular Connections curated interaction DB); PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11348449,string_db+inherited_backbone
IL1A,IL1R1,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
IL1R1,IRAK1,+,relayed via IL1R1:MYD88:IRAK1:IRAK4_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IL1R1:MYD88:IRAK1:IRAK4_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IL6,IL6R,+,PMID:15191552,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15191552,string_db+inherited_backbone
IL6R,JAK1,+,PMID:15191552,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15191552,string_db+inherited_backbone
CHUK,IRAK1,0,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IRAK1,MAP2K3,0,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IRAK1,MAP2K4,0,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IRAK1,MAP2K6,0,relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IRAK1_Active:TRAF6_kerat>MAP3K7:TAB1_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IRAK1,MAP3K1,+,relayed via IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via IRAK1_Active:TRAF6_kerat>IRAK1_Active:TRAF6:ECSIT_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
JAK1,STAT3,+,PMID:15191552,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15191552,string_db+inherited_backbone
BCL2,JUN,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
CCND1,JUN,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
EDN1,JUN,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IL1A,JUN,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IL6,JUN,-,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
IVL,JUN,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
JUN,MMPS,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
JUN,NGF,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
JUN,PTGS2,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
JUN,TNF,+,relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via FOS_kerat:JUN_kerat (backbone-derived; see topology layer),string_db+inherited_backbone
HRAS,KIT,+,relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via SOS1:GRB2:SHC1_melan (backbone-derived; see topology layer),string_db+inherited_backbone
KIT,PIK3CA,+,PMID:16410786,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16410786,string_db+inherited_backbone
KIT,KITLG,+,NetProTM (Molecular Connections curated interaction DB); PMID:22637532,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:22637532,string_db+inherited_backbone
MAP2K1,MAPK1,+,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11359940,string_db+inherited_backbone
MAP2K1,MAPK3,+,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11359940,string_db+inherited_backbone
MAP2K2,MAPK1,+,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11359940,string_db+inherited_backbone
MAP2K2,MAPK3,+,NetProTM (Molecular Connections curated interaction DB); PMID:11359940,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:11359940,string_db+inherited_backbone
MAP2K3,MAPK14,+,"Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",True,True,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",string_db+inherited_backbone
MAP2K4,MAPK8,+,"NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",True,True,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",string_db+inherited_backbone
MAP2K6,MAPK14,+,"Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",True,True,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",string_db+inherited_backbone
MAP2K7,MAPK8,+,"NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",True,True,"STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); Raghunath-ref[67]:Xu Y, Fisher GJ: Ultraviolet (UV) light irradiation induced",string_db+inherited_backbone
MAP2K4,MAP3K1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP2K7,MAP3K1,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP3K1,MAP3K14,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
CHUK,MAP3K14,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP2K3,MAP3K5,+,PMID:11029458,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11029458,string_db+inherited_backbone
MAP2K4,MAP3K5,+,PMID:11029458,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11029458,string_db+inherited_backbone
MAP2K6,MAP3K5,+,PMID:11029458,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11029458,string_db+inherited_backbone
MAP2K7,MAP3K5,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP3K1,MAP3K5,+,NetProTM (Molecular Connections curated interaction DB),True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
MAP3K1,MAP4K2,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
ATF2,MAPK1,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
ELK1,MAPK1,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
FOS,MAPK1,+,PMID:15964692,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15964692,string_db+inherited_backbone
JUN,MAPK1,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
MAPK1,MITF,-,PMID:18039926,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:18039926,string_db+inherited_backbone
MAPK1,PLA2,+,relayed via nan (backbone-derived; see topology layer),False,,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); relayed via nan (backbone-derived; see topology layer),string_db+inherited_backbone
MAPK1,RPS6KA1,+,NetProTM (Molecular Connections curated interaction DB); PMID:19847192,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB); PMID:19847192,string_db+inherited_backbone
MAPK1,TP53,+,PMID:10781582,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10781582,string_db+inherited_backbone
ATF2,MAPK14,+,PMID:11244091,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11244091,string_db+inherited_backbone
BAX,MAPK14,+,PMID:15964692,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15964692,string_db+inherited_backbone
BCL2L1,MAPK14,+,PMID:15292226,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15292226,string_db+inherited_backbone
CASP3,MAPK14,+,PMID:10233770,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:10233770,string_db+inherited_backbone
CREB1,MAPK14,+,PMID:11841550,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11841550,string_db+inherited_backbone
ELK1,MAPK14,+,NetProTM (Molecular Connections curated interaction DB),True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); NetProTM (Molecular Connections curated interaction DB),string_db+inherited_backbone
FOS,MAPK14,+,PMID:14511403; PMID:15964692,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:14511403; PMID:15964692,string_db+inherited_backbone
HIF1A,MAPK14,+,PMID:16278378,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:16278378,string_db+inherited_backbone
MAPK14,USF1,+,PMID:15358786,True,False,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15358786,string_db+inherited_backbone
ATF2,MAPK3,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
ELK1,MAPK3,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
FOS,MAPK3,+,PMID:15964692,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:15964692,string_db+inherited_backbone
JUN,MAPK3,+,PMID:11348449,True,True,STRING v12.0 (2026-07-12T01:17:03.759858+00:00); PMID:11348449,string_db+inherited_backbone
