base,resolution_method,query_sent,db_source,node_type,accession,db_iupac_name,db_formula,chebi_xref,ruling_rationale
4HNE,pubchem_synonym_raw_token,4HNE,PubChem name/synonym index,small_molecule,CID:5283344,(E)-4-hydroxynon-2-enal,C9H16O2,CHEBI:32585,
ACTH,pubchem_synonym_raw_token,ACTH,PubChem name/synonym index,peptide_ligand,CID:16132265,(4S)-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[2-[[(2S)-4-amino-2-[[(2S)-1-[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-1-[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-1-[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxypropanoyl]amino]-4-methylsulfanylbutanoyl]amino]-4-carboxybutanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-phenylpropanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]acetyl]amino]hexanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]amino]acetyl]amino]hexanoyl]amino]hexanoyl]amino]-5-carbamimidamidopentanoyl]amino]-5-carbamimidamidopentanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]amino]hexanoyl]amino]-3-methylbutanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]pyrrolidine-2-carbonyl]amino]-4-oxobutanoyl]amino]acetyl]amino]propanoyl]amino]-4-carboxybutanoyl]amino]-3-carboxypropanoyl]amino]-4-carboxybutanoyl]amino]-3-hydroxypropanoyl]amino]propanoyl]amino]-5-[[(2S)-1-[[(2S)-1-[(2S)-2-[[(2S)-1-[[(2S)-4-carboxy-1-[[(1S)-1-carboxy-2-phenylethyl]amino]-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]carbamoyl]pyrrolidin-1-yl]-1-oxo-3-phenylpropan-2-yl]amino]-1-oxopropan-2-yl]amino]-5-oxopentanoic acid,C207H308N56O58S,CHEBI:3892,
Arachidonic_Acid,pubchem_synonym_raw_token,Arachidonic_Acid,PubChem name/synonym index,small_molecule,CID:5312542,"(5E,8E,11E,14E)-icosa-5,8,11,14-tetraenoic acid",C20H32O2,CHEBI:15843,
Ceramide,pubchem_synonym_raw_token,Ceramide,PubChem name/synonym index,small_molecule,CID:139583739,"2-hydroxy-N-[(E)-3-hydroxy-1-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxydocos-4-en-2-yl]hexadecanamide",C44H85NO9,CHEBI:17761,
Cysteine,pubchem_synonym_raw_token,Cysteine,PubChem name/synonym index,small_molecule,CID:5862,(2R)-2-amino-3-sulfanylpropanoic acid,C3H7NO2S,CHEBI:15356,
DHI,pubchem_synonym_raw_token,DHI,PubChem name/synonym index,small_molecule,CID:114683,"1H-indole-5,6-diol",C8H7NO2,CHEBI:27404,
DHICA,pubchem_synonym_raw_token,DHICA,PubChem name/synonym index,small_molecule,CID:54691355,2-carboxy-5-hydroxy-1H-indol-6-olate,C9H6NO4-,CHEBI:2003,
DOPA,pubchem_synonym_raw_token,DOPA,PubChem name/synonym index,small_molecule,CID:6047,"(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoic acid",C9H11NO4,CHEBI:15765,
DOPAchrome,pubchem_synonym_raw_token,DOPAchrome,PubChem name/synonym index,small_molecule,CID:119399,"5,6-dioxo-2,3-dihydro-1H-indole-2-carboxylic acid",C9H7NO4,CHEBI:15772,
DOPAquinone,pubchem_synonym_raw_token,DOPAquinone,PubChem name/synonym index,small_molecule,CID:439316,"(2S)-2-amino-3-(3,4-dioxocyclohexa-1,5-dien-1-yl)propanoic acid",C9H9NO4,CHEBI:16852,
FICZ,pubchem_synonym_raw_token,FICZ,PubChem name/synonym index,small_molecule,CID:1863,"5,11-dihydroindolo[3,2-b]carbazole-12-carbaldehyde",C19H12N2O,,
GSH,pubchem_synonym_raw_token,GSH,PubChem name/synonym index,small_molecule,CID:124886,(2S)-2-amino-5-[[(2R)-1-(carboxymethylamino)-1-oxo-3-sulfanylpropan-2-yl]amino]-5-oxopentanoic acid,C10H17N3O6S,CHEBI:16856,
IP3,pubchem_synonym_raw_token,IP3,PubChem name/synonym index,small_molecule,CID:439456,"[(1R,2S,3R,4R,5S,6R)-2,3,5-trihydroxy-4,6-diphosphonooxycyclohexyl] dihydrogen phosphate",C6H15O15P3,CHEBI:16595,
PGE2,pubchem_synonym_raw_token,PGE2,PubChem name/synonym index,small_molecule,CID:5280360,"(Z)-7-[(1R,2R,3R)-3-hydroxy-2-[(E,3S)-3-hydroxyoct-1-enyl]-5-oxocyclopentyl]hept-5-enoic acid",C20H32O5,CHEBI:15551,
Tyrosine,pubchem_synonym_raw_token,Tyrosine,PubChem name/synonym index,small_molecule,CID:6057,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,C9H11NO3,CHEBI:17895,
cAMP,pubchem_synonym_raw_token,cAMP,PubChem name/synonym index,small_molecule,CID:6076,"(4aR,6R,7R,7aS)-6-(6-aminopurin-9-yl)-2-hydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-7-ol",C10H12N5O6P,CHEBI:17489,
cGMP,pubchem_synonym_raw_token,cGMP,PubChem name/synonym index,small_molecule,CID:135398570,"9-[(4aR,6R,7R,7aS)-2,7-dihydroxy-2-oxo-4a,6,7,7a-tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinin-6-yl]-2-amino-1H-purin-6-one",C10H12N5O7P,CHEBI:16356,
