gene,supporting_layers,n_edge_bearing_layers,is_raghunath_enzyme_class_token,omim_disease_flag,omim_disease_names,omim_phenotype_class,massspec_detected_flag,massspec_a375_lfq,massspec_fm55_lfq,bajpai_hit_flag,bajpai_castle_effect,bajpai_q_value,bajpai_direction,bajpai_orphan_hit,citation,citation_source
PRKACA,Raghunath|KEGG|GRN|STRING_ours|DArcy_STRING,5,False,False,,,False,,,False,,,,False,"UniProt:P17612;KEGG:hsa04916;PMID:24333333;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
OCA2,Raghunath|Reactome|GRN|STRING_ours|DArcy_STRING,5,False,True,"Oculocutaneous albinism, type 2|Piebaldism",Hypopigmentation,False,,,True,1.4,0.00019277,reduces_pigmentation,False,"UniProt:Q04671;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:22234890;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
SOX10,Raghunath|Reactome|GRN|STRING_ours|DArcy_STRING,5,False,True,Waardenburg syndrome 4C; PCWH syndrome|Waardenburg syndrome type 2E,Hypopigmentation,True,229673.33333333337,286783.3333333333,False,,,,False,"UniProt:P56693;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:11032856,24760871;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
EDN1,Raghunath|KEGG|Reactome|STRING_ours|DArcy_STRING,5,False,False,,,False,,,False,,,,False,"UniProt:P05305;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
CTNNB1,Raghunath|KEGG|Reactome|STRING_ours|DArcy_STRING,5,False,False,,,True,131545.0,95901.33333333331,False,,,,False,"UniProt:P35222;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
CDK2,Raghunath|Reactome|GRN|STRING_ours|DArcy_STRING,5,False,False,,,True,149666.66666666666,103078.33333333331,False,,,,False,"UniProt:P24941;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:15607961,18628967,19067971,19192212,1999537,19995375,24317198,28263292,29507054;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
PAX3,Raghunath|Reactome|GRN|STRING_ours|DArcy_STRING,5,False,True,Waardenburg syndrome type 1|Waardenburg syndrome type 3,Hypopigmentation,False,,,False,,,,False,"UniProt:P23760;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:22290434;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
DCT,Raghunath|KEGG|Reactome|GRN|STRING_ours,5,False,False,,,False,,,True,1.7,0.00019277,reduces_pigmentation,False,"UniProt:P40126;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:10770922,11310793,11543611,12032083,12753399,14706856,15250937,15729346,15892717,16029420,16197942,16411896,16493586,16857183,17237008,17702866,19067970,19067971,19192212,19699574,19765058,1999537,19995375,21519923,21995379,22371403,22847819,22898827,23063590,23178856,23729736,23935660,24016750,24078219,24192058,27374284,28390782,28431046,28842328,30322121,30408247,30579288,30603437,31208857,31354817,33823181,33896085,34641584,35163281,35290062,35461746,36978940,37138409,37734767,8995290,9199364;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
LEF1,Raghunath|KEGG|Reactome|STRING_ours,4,False,False,,,False,,,False,,,,False,Entrez:51176;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PMEL,Raghunath|Reactome|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,"UniProt:P40967;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:11076759,12819038,14643677,15357840,16964280,19067971,19699574,1999537,20099279,24769727,26070258,27515936,27774936,31354817,37628992,37734767;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
MLANA,Raghunath|Reactome|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,"UniProt:Q16655;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:12819038,14744763,19067971,19699574,1999537,20099279,20482673,24733089,26599548,27515936,31354817,33181138,37628992;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
MAP2K1,Raghunath|KEGG|STRING_ours|DArcy_STRING,4,False,True,Cardiofaciocutaneous syndrome 3,Hyperpigmentation,True,544098.3333333334,454883.3333333333,False,,,,False,"UniProt:Q02750;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
MET,Raghunath|Reactome|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,"UniProt:P08581;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:16455654,17371876,19067971,1999537,20067553,20068147,24317198,26845432,27220989,32319656;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
CREBBP,KEGG|Reactome|STRING_ours|DArcy_STRING,4,False,False,,,True,27248.5,26167.333333333332,True,1.0,0.000666558,reduces_pigmentation,False,"KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
KITLG,Raghunath|KEGG|STRING_ours|DArcy_STRING,4,False,True,"Familial progressive hyperpigmentation with or without hypopigmentation|Waardenburg syndrome, type 2F|[Skin/hair/eye pigmentation 7, blond/brown hair]",Mixed|Pigmentation phenotype,False,,,False,,,,False,"UniProt:P21583;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
EGFR,Raghunath|GRN|STRING_ours|DArcy_STRING,4,False,False,,,False,,,False,,,,False,"UniProt:P00533;PMID:25789707,33916908;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
RAF1,Raghunath|KEGG|STRING_ours|DArcy_STRING,4,False,True,LEOPARD syndrome 2|Noonan syndrome 5,Hyperpigmentation,True,83409.0,64363.333333333336,False,,,,False,"UniProt:P04049;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
BCL2,Raghunath|Reactome|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,"UniProt:P10415;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:12086670,16034081,17266927,17384650,18276801,19067971,19192212,1999537,19995375,20862309,22647378,24317198,27185926,28263292,28738256,28976960,33741716,37123908;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
CDK4,Raghunath|GRN|STRING_ours|DArcy_STRING,4,False,False,,,True,100951.16666666669,79261.5,False,,,,False,"UniProt:P11802;PMID:23469153,26199390;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
CDKN1A,Raghunath|Reactome|GRN|STRING_ours,4,False,False,,,True,,2755.6666666666665,False,,,,False,"UniProt:P38936;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:15716956,17266927,19067971,1999537,19995375,20067556,20701798,22138449,27702651;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
USF1,Raghunath|Reactome|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,UniProt:P22415;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;PMID:19087304;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
PRKCB,Raghunath|KEGG|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,UniProt:P05771;KEGG:hsa04916;PMID:16411896;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
MAPK3,Raghunath|KEGG|Reactome|STRING_ours,4,False,False,,,True,273421.6666666667,267420.0,False,,,,False,UniProt:P27361;KEGG:hsa04916;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
HRAS,Raghunath|KEGG|STRING_ours|DArcy_STRING,4,False,True,Costello syndrome,Hyperpigmentation,False,,,False,,,,False,"UniProt:P01112;KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TP53,Raghunath|GRN|STRING_ours|DArcy_STRING,4,False,False,,,False,,,False,,,,False,"UniProt:P04637;PMID:11914272,16303321,18053811,22216266,29937714,36191262;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
CALM1,Raghunath|KEGG|GRN|STRING_ours,4,False,False,,,False,,,False,,,,False,Entrez:801;KEGG:hsa04916;PMID:10945244;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
BCL2L1,Raghunath|GRN|STRING_ours|DArcy_STRING,4,False,False,,,False,,,False,,,,False,"UniProt:Q07817;PMID:10871843,11059777,20421967,21802410;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid|pmid_or_database
CDH2,Raghunath|Reactome|STRING_ours,3,False,False,,,True,36823.666666666664,29610.666666666668,False,,,,False,UniProt:P19022;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
EDN3,Reactome|STRING_ours|DArcy_STRING,3,False,True,Waardenburg syndrome 4B,Hypopigmentation,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
BBC3,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:Q9BXH1;OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
PRKCZ,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:Q05513;PMID:21258399;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
TNFRSF1A,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:P19438;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
GNAS,KEGG|STRING_ours|DArcy_STRING,3,False,True,"McCune-Albright syndrome, somatic, mosaic",Hyperpigmentation,True,134666.66666666666,203661.66666666663,False,,,,False,"KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
HSP90AA1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,5805866.666666667,4896800.0,False,,,,False,"Entrez:3320;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
MLPH,Reactome|STRING_ours|DArcy_STRING,3,False,True,Griscelli syndrome type 3,Hypopigmentation,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
MC2R,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Glucocorticoid deficiency, due to ACTH unresponsiveness",Hyperpigmentation,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
CASP8,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,175738.33333333334,146448.33333333334,False,,,,False,"UniProt:Q14790;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TPSAB1,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,"UniProt:Q15661;PMID:11157480,11741327,14527958,18284417,20513998;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
CCND1,Raghunath|Reactome|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P24385;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
RAB27A,Reactome|STRING_ours|DArcy_STRING,3,False,True,Griscelli syndrome type 2,Hypopigmentation,False,,,True,2.0,0.00019277,reduces_pigmentation,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
HIF1A,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,"UniProt:Q16665;PMID:15983061,16386209,19995375,22012259,26999813,27220989,31207090;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
MAPK14,Raghunath|Reactome|STRING_ours,3,False,False,,,True,133740.0,89664.66666666667,False,,,,False,UniProt:Q16539;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
HGF,Raghunath|GRN|STRING_ours,3,False,False,,,False,,,False,,,,False,UniProt:P14210;PMID:16455654;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
MCL1,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,False,,,False,,,,False,"UniProt:Q07820;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
GPR143,Reactome|STRING_ours|DArcy_STRING,3,False,True,"Oculocutaneous albinism, type 1, Nettleship-Falls type|Piebaldism",Hypopigmentation,False,,,True,1.0,0.008625554,reduces_pigmentation,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
RPS6KA1,Raghunath|Reactome|STRING_ours,3,False,False,,,True,179763.33333333334,158858.33333333334,False,,,,False,UniProt:Q15418;R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database
PTGS2,Raghunath|GRN|STRING_ours,3,False,False,,,True,19744.333333333332,140273.11666666667,False,,,,False,UniProt:P35354;PMID:24471568;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
CXCL8,Raghunath|GRN|STRING_ours,3,False,False,,,True,,56388.333333333336,False,,,,False,"UniProt:P10145;PMID:20573688,23144021,24471568;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00)",accession|database|pmid_or_database
STAT3,Raghunath|GRN|STRING_ours,3,False,False,,,True,135006.66666666666,121100.5,False,,,,False,UniProt:P40763;OmniPath-curated (aggregator record; no PMID field on this row — see omnipath_sources);STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
KRAS,KEGG|STRING_ours|DArcy_STRING,3,False,False,,,True,38641.833333333336,52061.63333333333,False,,,,False,"KEGG:hsa04916;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
TNFSF11,Reactome|STRING_ours|DArcy_STRING,3,False,True,Vitiligo,Hypopigmentation,False,,,False,,,,False,"R-HSA-5662702|R-HSA-9730414|R-HSA-388601|R-HSA-5619036;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
GRB2,Raghunath|STRING_ours|DArcy_STRING,3,False,False,,,True,130071.0,129168.33333333331,False,,,,False,"Entrez:2885;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00);PMC9854651 (D'Arcy & Kiel 2023, Bioengineering 10(1):13, DOI:10.3390/bioengineering10010013)",accession|database|pmcid
BAX,Raghunath|GRN|STRING_ours,3,False,False,,,True,385028.3333333333,374628.3333333333,False,,,,False,UniProt:Q07812;PMID:18053811;STRING v12.0 (query_utc 2026-07-12T01:17:03.759858+00:00),accession|database|pmid_or_database
