gene,entrez,ensembl,chr,node_class,citation,citation_source
CHUK,1147.0,ENSG00000213341,10,network_protein_gene,UniProt:O15111,accession
CREB1,1385.0,ENSG00000118260,2,network_protein_gene,UniProt:P16220,accession
CSF2,1437.0,ENSG00000164400,5,network_protein_gene,UniProt:P04141,accession
CSF2RA,1438.0,ENSG00000292357,X,network_protein_gene,UniProt:P15509,accession
CTNNB1,1499.0,ENSG00000168036,3,network_protein_gene,UniProt:P35222,accession
CXCL8,3576.0,ENSG00000169429,4,network_protein_gene,UniProt:P10145,accession
CYCS,54205.0,ENSG00000172115,7,network_protein_gene,UniProt:P99999,accession
DCT,1638.0,ENSG00000080166,13,network_protein_gene,UniProt:P40126,accession
DFFA,1676.0,ENSG00000160049,1,network_protein_gene,UniProt:O00273,accession
DFFB,1677.0,ENSG00000169598,1,network_protein_gene,UniProt:O76075,accession
DUSP1,1843.0,ENSG00000120129,5,network_protein_gene,UniProt:P28562,accession
ECSIT,51295.0,ENSG00000130159,19,network_protein_gene,Entrez:51295,accession
EDN1,1906.0,ENSG00000078401,6,network_protein_gene,UniProt:P05305,accession
EDNRB,1910.0,ENSG00000136160,13,network_protein_gene,UniProt:P24530,accession
EGFR,1956.0,ENSG00000146648,7,network_protein_gene,UniProt:P00533,accession
ELK1,2002.0,ENSG00000126767,X,network_protein_gene,UniProt:P19419,accession
EP300,2033.0,ENSG00000100393,22,network_protein_gene,Entrez:2033,accession
EZR,7430.0,ENSG00000092820,6,network_protein_gene,UniProt:P15311,accession
F10,2159.0,ENSG00000126218,13,network_protein_gene,UniProt:P00742,accession
F2RL1,2150.0,ENSG00000164251,5,network_protein_gene,UniProt:P55085,accession
F7,2155.0,ENSG00000057593,13,network_protein_gene,UniProt:P08709,accession
FADD,8772.0,ENSG00000168040,11,network_protein_gene,Entrez:8772,accession
FAS,355.0,ENSG00000026103,10,network_protein_gene,UniProt:P25445,accession
FASLG,356.0,ENSG00000117560,1,network_protein_gene,UniProt:P48023,accession
FOS,2353.0,ENSG00000170345,14,network_protein_gene,UniProt:P01100,accession
FZD3,7976.0,ENSG00000104290,8,network_protein_gene,UniProt:Q9NPG1,accession
GAB1,2549.0,ENSG00000109458,4,network_protein_gene,UniProt:Q13480,accession
GADD45A,1647.0,ENSG00000116717,1,network_protein_gene,UniProt:P24522,accession
GRB2,2885.0,ENSG00000177885,17,network_protein_gene,Entrez:2885,accession
GSK3B,2932.0,ENSG00000082701,3,network_protein_gene,UniProt:P49841,accession
GUCY1A2,2977.0,ENSG00000152402,11,network_protein_gene,UniProt:P33402,accession
HGF,3082.0,ENSG00000019991,7,network_protein_gene,UniProt:P14210,accession
HIF1A,3091.0,ENSG00000100644,14,network_protein_gene,UniProt:Q16665,accession
HRAS,3265.0,ENSG00000276536,11,network_protein_gene,UniProt:P01112,accession
HSP90AA1,3320.0,ENSG00000080824,14,network_protein_gene,Entrez:3320,accession
ICAM1,3383.0,ENSG00000090339,19,network_protein_gene,UniProt:P05362,accession
IL10,3586.0,ENSG00000136634,1,network_protein_gene,UniProt:P22301,accession
IL12A,3592.0,ENSG00000168811,3,network_protein_gene,UniProt:P29459,accession
IL1A,3552.0,ENSG00000115008,2,network_protein_gene,UniProt:P01583,accession
IL1R1,3554.0,ENSG00000115594,2,network_protein_gene,UniProt:P14778,accession
IL6,3569.0,ENSG00000136244,7,network_protein_gene,UniProt:P05231,accession
IL6R,3570.0,ENSG00000160712,1,network_protein_gene,UniProt:P08887,accession
IRAK1,3654.0,ENSG00000184216,X,network_protein_gene,UniProt:P51617,accession
IRAK4,51135.0,ENSG00000198001,12,network_protein_gene,Entrez:51135,accession
IVL,3713.0,ENSG00000163207,1,network_protein_gene,UniProt:P07476,accession
JAK1,3716.0,ENSG00000162434,1,network_protein_gene,UniProt:P23458,accession
JUN,3725.0,ENSG00000177606,1,network_protein_gene,UniProt:P05412,accession
KIT,3815.0,ENSG00000157404,4,network_protein_gene,UniProt:P10721,accession
KITLG,4254.0,ENSG00000049130,12,network_protein_gene,UniProt:P21583,accession
LEF1,51176.0,ENSG00000138795,4,network_protein_gene,Entrez:51176,accession
MAP2K1,5604.0,ENSG00000169032,15,network_protein_gene,UniProt:Q02750,accession
MAP2K2,5605.0,ENSG00000126934,19,network_protein_gene,UniProt:P36507,accession
MAP2K3,5606.0,ENSG00000034152,17,network_protein_gene,UniProt:P46734,accession
MAP2K4,6416.0,ENSG00000065559,17,network_protein_gene,UniProt:P45985,accession
MAP2K6,5608.0,ENSG00000108984,17,network_protein_gene,UniProt:P52564,accession
MAP2K7,5609.0,ENSG00000076984,19,network_protein_gene,UniProt:O14733,accession
MAP3K1,4214.0,ENSG00000095015,5,network_protein_gene,UniProt:Q13233,accession
MAP3K14,9020.0,ENSG00000006062,17,network_protein_gene,UniProt:Q99558,accession
MAP3K5,4217.0,ENSG00000197442,6,network_protein_gene,UniProt:Q99683,accession
MAP3K7,6885.0,ENSG00000135341,6,network_protein_gene,Entrez:6885,accession
MAP4K2,5871.0,ENSG00000168067,11,network_protein_gene,UniProt:Q12851,accession
MAPK1,5594.0,ENSG00000100030,22,network_protein_gene,UniProt:P28482,accession
MAPK14,1432.0,ENSG00000112062,6,network_protein_gene,UniProt:Q16539,accession
MAPK3,5595.0,ENSG00000102882,16,network_protein_gene,UniProt:P27361,accession
MAPK8,5599.0,ENSG00000107643,10,network_protein_gene,UniProt:P45983,accession
MC1R,4157.0,ENSG00000258839,16,network_protein_gene,UniProt:Q01726,accession
MCL1,4170.0,ENSG00000143384,1,network_protein_gene,UniProt:Q07820,accession
MET,4233.0,ENSG00000105976,7,network_protein_gene,UniProt:P08581,accession
MITF,4286.0,ENSG00000187098,3,network_protein_gene,UniProt:O75030,accession
MLANA,2315.0,ENSG00000120215,9,network_protein_gene,UniProt:Q16655,accession
MMP1,4312.0,ENSG00000196611,11,network_protein_gene,UniProt:P03956,accession
MSN,4478.0,ENSG00000147065,X,network_protein_gene,UniProt:P26038,accession
MYD88,4615.0,ENSG00000172936,3,network_protein_gene,Entrez:4615,accession
NFATC1,4772.0,ENSG00000131196,18,network_protein_gene,UniProt:O95644,accession
NFKB1,4790.0,ENSG00000109320,4,network_protein_gene,UniProt:P19838,accession
NGF,4803.0,ENSG00000134259,1,network_protein_gene,UniProt:P01138,accession
NOS2,4843.0,ENSG00000007171,17,network_protein_gene,UniProt:P35228,accession
NOX1,27035.0,ENSG00000007952,X,network_protein_gene,UniProt:Q9Y5S8,accession
NSMAF,8439.0,ENSG00000035681,8,network_protein_gene,Entrez:8439,accession
NTRK1,4914.0,ENSG00000198400,1,network_protein_gene,UniProt:P04629,accession
OCA2,4948.0,ENSG00000104044,15,network_protein_gene,UniProt:Q04671,accession
PAK1,5058.0,ENSG00000149269,11,network_protein_gene,UniProt:Q13153,accession
PARD6A,50855.0,ENSG00000102981,16,network_protein_gene,Entrez:50855,accession
PAX3,5077.0,ENSG00000135903,2,network_protein_gene,UniProt:P23760,accession
PDE4B,5142.0,ENSG00000184588,1,network_protein_gene,Entrez:5142,accession
PDPK1,5170.0,ENSG00000140992,16,network_protein_gene,UniProt:O15530,accession
PIAS3,10401.0,ENSG00000131788,1,network_protein_gene,UniProt:Q9Y6X2,accession
PIK3CA,5290.0,ENSG00000121879,3,network_protein_gene,UniProt:P42336,accession
PLA2G1B,5319.0,ENSG00000170890,12,network_protein_gene,Entrez:5319,accession
PLCB1,23236.0,ENSG00000182621,20,network_protein_gene,Entrez:23236,accession
PMAIP1,5366.0,ENSG00000141682,18,network_protein_gene,UniProt:Q13794,accession
PMEL,6490.0,ENSG00000185664,12,network_protein_gene,UniProt:P40967,accession
PPP3CA,5530.0,ENSG00000138814,4,network_protein_gene,UniProt:Q08209,accession
PRKACA,5566.0,ENSG00000288516,19,network_protein_gene,UniProt:P17612,accession
PRKCA,5578.0,ENSG00000154229,17,network_protein_gene,Entrez:5578,accession
PRKCB,5579.0,ENSG00000166501,16,network_protein_gene,UniProt:P05771,accession
PRKCD,5580.0,ENSG00000163932,3,network_protein_gene,UniProt:Q05655,accession
PRKCH,5583.0,ENSG00000027075,14,network_protein_gene,UniProt:P24723,accession
PRKCZ,5590.0,ENSG00000067606,1,network_protein_gene,UniProt:Q05513,accession
PRKG1,5592.0,ENSG00000185532,10,network_protein_gene,UniProt:Q13976,accession
PRSS1,5644.0,,7,network_protein_gene,Entrez:5644,accession
PTGER1,5731.0,ENSG00000160951,19,network_protein_gene,UniProt:P34995,accession
PTGER2,5732.0,ENSG00000125384,14,network_protein_gene,UniProt:P43116,accession
PTGER3,5733.0,ENSG00000050628,1,network_protein_gene,UniProt:P43115,accession
PTGER4,5734.0,ENSG00000171522,5,network_protein_gene,UniProt:P35408,accession
PTGS2,5743.0,ENSG00000073756,1,network_protein_gene,UniProt:P35354,accession
RAC1,5879.0,ENSG00000136238,7,network_protein_gene,UniProt:P63000,accession
RACK1,10399.0,ENSG00000204628,5,network_protein_gene,Entrez:10399,accession
RAF1,5894.0,ENSG00000132155,3,network_protein_gene,UniProt:P04049,accession
RAP1A,5906.0,ENSG00000116473,1,network_protein_gene,UniProt:P62834,accession
RDX,5962.0,ENSG00000137710,11,network_protein_gene,UniProt:P35241,accession
RHOA,387.0,ENSG00000067560,3,network_protein_gene,UniProt:P61586,accession
RIPK1,8737.0,ENSG00000137275,6,network_protein_gene,Entrez:8737,accession
RPS6KA1,6195.0,ENSG00000281877,1,network_protein_gene,UniProt:Q15418,accession
RYR1,6261.0,ENSG00000196218,19,network_protein_gene,UniProt:P21817,accession
SHC1,6464.0,ENSG00000160691,1,network_protein_gene,Entrez:6464,accession
SMPD1,6609.0,ENSG00000166311,11,network_protein_gene,UniProt:P17405,accession
SMPD2,6610.0,ENSG00000135587,6,network_protein_gene,UniProt:O60906,accession
SOS1,6654.0,ENSG00000115904,2,network_protein_gene,Entrez:6654,accession
SOX10,6663.0,ENSG00000100146,22,network_protein_gene,UniProt:P56693,accession
SPTLC1,10558.0,ENSG00000090054,9,network_protein_gene,UniProt:O15269,accession
SPTLC2,9517.0,ENSG00000100596,14,network_protein_gene,UniProt:O15270,accession
SRC,6714.0,ENSG00000291971,20,network_protein_gene,UniProt:P12931,accession
STAT1,6772.0,ENSG00000115415,2,network_protein_gene,UniProt:P42224,accession
STAT3,6774.0,ENSG00000168610,17,network_protein_gene,UniProt:P40763,accession
TAB1,10454.0,ENSG00000100324,22,network_protein_gene,Entrez:10454,accession
TFAP2A,7020.0,ENSG00000137203,6,network_protein_gene,UniProt:P05549,accession
TNF,7124.0,ENSG00000228321,6,network_protein_gene,UniProt:P01375,accession
TNFRSF1A,7132.0,ENSG00000067182,12,network_protein_gene,UniProt:P19438,accession
TP53,7157.0,ENSG00000141510,17,network_protein_gene,UniProt:P04637,accession
TPSAB1,7177.0,ENSG00000172236,16,network_protein_gene,UniProt:Q15661,accession
TRADD,8717.0,ENSG00000102871,16,network_protein_gene,Entrez:8717,accession
TRAF2,7186.0,ENSG00000127191,9,network_protein_gene,Entrez:7186,accession
TRAF6,7189.0,ENSG00000175104,11,network_protein_gene,Entrez:7189,accession
TYR,7299.0,ENSG00000077498,11,network_protein_gene,UniProt:P14679,accession
TYRP1,7306.0,ENSG00000107165,9,network_protein_gene,UniProt:P17643,accession
USF1,7391.0,ENSG00000158773,1,network_protein_gene,UniProt:P22415,accession
WNT5A,7474.0,ENSG00000114251,3,network_protein_gene,UniProt:P41221,accession
POMC,5443.0,ENSG00000115138,2,cleavage_precursor_gene,Entrez:5443|UniProt:P01189,accession
PLA2,,,,enzyme_activity_class,HGNC:GG:467,hgnc_gene_group
MMPs,,,,enzyme_activity_class,HGNC:GG:891,hgnc_gene_group
Trypsin,,,,enzyme_activity_class,HGNC:GG:738,hgnc_gene_group
Phosphodiesterase,,,,enzyme_activity_class,HGNC:GG:681,hgnc_gene_group
PKC,,,,enzyme_activity_class,HGNC:GG:3523,hgnc_gene_group
PLC,,,,enzyme_activity_class,HGNC:GG:832,hgnc_gene_group
