gene,reactome_source_accessions,mitf_subpathways,specific_reactions_within_pigmentation_subpathway,also_in_darcy_omim_disease_table,citation,citation_source
DICER1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
DPF1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
DPF2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
DPF3,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
EDIL3,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
EDN3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
EEF1E1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
EPRS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
FOXD3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
GMPR,MITF-M-regulated melanocyte development,Regulation of MITF-M dependent genes involved in invasion,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
GPR143,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9856053,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
GXYLT2,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
HDAC1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation|Regulation of MITF-M-dependent genes involved in apoptosis|Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
HINT1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation|Regulation of MITF-M-dependent genes involved in apoptosis|Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
IARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ID1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
IRF4,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9907147|R-HSA-9907145|R-HSA-9824579,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ITGA2,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
KARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
LARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
LIG1,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MARK3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MC2R,Melanocortin receptors,,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MC3R,MITF-M-regulated melanocyte development|Melanocortin receptors,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MC4R,MITF-M-regulated melanocyte development|Melanocortin receptors,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MC5R,MITF-M-regulated melanocyte development|Melanocortin receptors,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MCM2,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MCM5,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MLPH,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9856465,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MOV10,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MYO5A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9856462|R-HSA-1449597|R-HSA-9856465,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
MYRIP,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9856465,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
PLK1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
POU3F2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis|Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
PPARGC1A,MITF-M-regulated melanocyte development,Regulation of MITF-M dependent genes involved in metabolism,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
PXDN,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
PXN,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
QARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
RAB27A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9856460|R-HSA-9856465,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
RARS1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SERPINE1,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SIN3A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation|Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SIRT1,MITF-M-regulated melanocyte development,Regulation of MITF-M dependent genes involved in metabolism|Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SLC24A5,Defective SLC24A5 causes oculocutaneous albinism 6 (OCA6),,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SLC45A2,Melanin biosynthesis,,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCA2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCA4,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCB1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCC1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCC2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCD1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCD2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCD3,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SMARCE1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SNAI2,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SOX2,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition|Transcriptional and post-translational regulation of MITF-M expression and activity",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SOX9,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SS18,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SS18L1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9824981|R-HSA-9824579|R-HSA-9825847|R-HSA-9824593,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
STT3B,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SUMO1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
SYTL2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in pigmentation,R-HSA-9856465,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TBX2,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in cell cycle and proliferation,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TBX3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TERT,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in DNA replication, damage repair and senescence",,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TFE3,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TFEB,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TFEC,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TNFSF11,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,True,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TNRC6A,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TNRC6B,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TNRC6C,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
TRPM1,MITF-M-regulated melanocyte development,Regulation of MITF-M-dependent genes involved in apoptosis,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
UBE2I,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
XPO1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
YWHAB,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
YWHAE,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
YWHAG,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
YWHAH,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
YWHAZ,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ZEB1,MITF-M-regulated melanocyte development,"Regulation of MITF-M-dependent genes involved in extracellular matrix, focal adhesion and epithelial-to-mesenchymal transition",,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
ZIC1,MITF-M-regulated melanocyte development,Transcriptional and post-translational regulation of MITF-M expression and activity,,False,Reactome curated union (data/external/db_responses/reactome_pigmentation_curated_union.json),accession
