gene,module,category,status,justification,n_primate_orth,n_within_paralog,ortholog_risk
EGFR,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,12.0,0.0,clean
EP300,pigmentation,melanogenesis_regulation,to_run,melanogenesis-mechanism;CRISPR-screen,12.0,0.0,clean
FASLG,pigmentation,melanogenesis_regulation,to_run,OMIM:Hypopigmentation;melanogenesis-mechanism,12.0,7.0,HIGH_paralog
GPR143,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,11.0,0.0,clean
HGF,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,12.0,0.0,clean
HPS1,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
HPS3,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
HPS4,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
HPS5,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
HPS6,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,9.0,0.0,low_ortholog_cov
HRAS,pigmentation,melanogenesis_regulation,to_run,OMIM:Hyperpigmentation;Baxter2018;melanogenesis-mechanism,12.0,0.0,clean
LYST,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
MAP2K1,pigmentation,melanogenesis_regulation,to_run,OMIM:Hyperpigmentation;Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,1.0,paralog_check
MAP2K2,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,1.0,paralog_check
MAPK3,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
MLPH,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018,12.0,2.0,paralog_check
MYO5A,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;melanosome-proteome,12.0,0.0,clean
PAK1,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,11.0,2.0,paralog_check
PPP3CA,pigmentation,melanogenesis_regulation,to_run,OMIM:Hypopigmentation;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
RAB27A,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
RAB5C,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;melanosome-proteome,11.0,0.0,clean
RAC1,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,8.0,1.0,paralog_check;low_ortholog_cov
RACK1,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,12.0,0.0,clean
RAF1,pigmentation,melanogenesis_regulation,to_run,OMIM:Hyperpigmentation;Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
SLC17A5,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation;Baxter2018;CRISPR-screen,12.0,0.0,clean
SLC1A2,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation,12.0,0.0,clean
SLC29A3,pigmentation,melanosome_biogenesis,to_run,OMIM:Hyperpigmentation;Baxter2018,12.0,3.0,HIGH_paralog
SLC44A4,pigmentation,melanosome_biogenesis,to_run,OMIM:Hypopigmentation,11.0,0.0,clean
SPTLC2,pigmentation,melanogenesis_regulation,to_run,melanogenesis-mechanism;melanosome-proteome;CRISPR-screen,12.0,0.0,clean
SRC,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism;melanosome-proteome,12.0,0.0,clean
TP53,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,12.0,2.0,paralog_check
TRAF6,pigmentation,melanogenesis_regulation,to_run,Baxter2018;melanogenesis-mechanism,12.0,0.0,clean
