pig,hor,direction,stim,inhib,directed,n_refs,n_sources,hor_axis,string_confirmed,pig_in_panel,likely_hub
PRKACA,NCOA3,PRKACA->NCOA3,True,False,True,2,9,coactivator_corepressor_carrier,True,False,False
JAK2,ESR1,JAK2->ESR1,False,True,True,2,2,estrogen_axis,True,False,False
PRKACA,ESR1,PRKACA->ESR1,True,True,True,3,12,estrogen_axis,True,False,False
IKBKB,NCOA3,IKBKB->NCOA3,True,False,True,11,15,coactivator_corepressor_carrier,True,False,False
CHUK,ESR1,CHUK->ESR1,True,False,True,22,13,estrogen_axis,True,False,True
CAMK2G,NCOR2,CAMK2G->NCOR2,False,True,True,1,4,coactivator_corepressor_carrier,False,False,False
AKT1,ESR1,AKT1->ESR1,True,False,True,18,20,estrogen_axis,True,False,True
PTGER1,GNAQ,PTGER1->GNAQ,True,False,True,2,2,gnrh_signaling,True,False,False
CHUK,NCOA3,CHUK->NCOA3,True,False,True,12,19,coactivator_corepressor_carrier,True,False,True
HSP90AA1,AR,HSP90AA1->AR,True,False,True,13,7,androgen_axis,True,False,False
SRC,ESR1,SRC->ESR1,True,False,True,31,28,estrogen_axis,True,False,True
MAPK1,NCOA1,MAPK1->NCOA1,True,False,True,4,20,coactivator_corepressor_carrier,False,False,True
EDNRA,GNAQ,EDNRA->GNAQ,True,False,True,2,2,gnrh_signaling,True,False,False
SRC,CYP19A1,SRC->CYP19A1,True,False,True,2,8,estrogen_axis,True,False,True
MAPK3,NCOA1,MAPK3->NCOA1,True,False,True,2,12,coactivator_corepressor_carrier,False,False,True
EGFR,GPER1,GPER1->EGFR,True,False,True,1,1,estrogen_axis,True,False,False
EDNRB,GNAQ,EDNRB->GNAQ,True,False,True,1,2,gnrh_signaling,True,True,False
HRAS,GNAQ,GNAQ->HRAS,True,False,True,1,1,gnrh_signaling,True,False,False
GNAQ,GNRHR,GNRHR->GNAQ,True,False,True,1,3,hpg_axis,True,False,False
MAPK1,AR,MAPK1->AR,True,True,True,3,14,androgen_axis,True,False,True
NR0B1,NCOR2,NR0B1->NCOR2,True,False,True,1,1,coactivator_corepressor_carrier,True,False,False
MAPK14,NCOA3,MAPK14->NCOA3,True,False,True,9,21,coactivator_corepressor_carrier,True,False,True
FZD3,GNAQ,FZD3->GNAQ,True,False,True,1,2,gnrh_signaling,True,False,False
RHOA,GNAQ,GNAQ->RHOA,True,False,True,1,1,gnrh_signaling,True,False,False
SRC,SCARB1,SCARB1->SRC,True,False,True,1,1,steroid_biosynthesis,True,False,True
CDK2,NCOR2,CDK2->NCOR2,False,True,True,2,3,coactivator_corepressor_carrier,True,False,True
MTOR,ESR1,MTOR->ESR1,True,False,True,2,5,estrogen_axis,True,False,True
GNAQ,KISS1R,KISS1R->GNAQ,True,False,True,1,2,hpg_axis,True,False,False
GTF2H2,ESR1,GTF2H2->ESR1,True,False,True,1,4,estrogen_axis,False,False,False
GNAS,GPER1,GPER1->GNAS,True,False,True,1,1,estrogen_axis,True,False,False
GNAI3,GNRHR,GNRHR->GNAI3,True,False,True,1,1,hpg_axis,False,False,False
MC3R,GNAQ,MC3R->GNAQ,True,False,True,1,1,gnrh_signaling,False,False,False
RBX1,ESR1,RBX1->ESR1,False,True,True,1,1,estrogen_axis,True,False,False
GNB1,GPER1,GPER1->GNB1,True,False,True,1,1,estrogen_axis,True,False,False
RPS6KA1,ESR1,RPS6KA1->ESR1,True,False,True,17,17,estrogen_axis,True,False,True
MC5R,GNAQ,MC5R->GNAQ,True,False,True,1,1,gnrh_signaling,False,False,False
PIK3R1,ESR1,ESR1->PIK3R1,True,False,True,6,8,estrogen_axis,True,False,False
CAMK2A,NCOR2,CAMK2A->NCOR2,False,True,True,1,10,coactivator_corepressor_carrier,False,False,False
PAK1,ESR1,PAK1->ESR1,True,False,True,21,25,estrogen_axis,True,False,False
CDK7,ESR1,CDK7->ESR1,True,False,True,15,20,estrogen_axis,True,False,False
AKT2,ESR1,AKT2->ESR1,True,False,True,5,20,estrogen_axis,True,False,True
AKT1,NCOR1,AKT1->NCOR1,False,True,True,1,9,coactivator_corepressor_carrier,True,False,True
WNT5A,LDLR,WNT5A->LDLR,False,False,True,1,3,steroid_biosynthesis,True,False,False
WNT7A,LDLR,WNT7A->LDLR,False,False,True,1,1,steroid_biosynthesis,False,False,False
CALM3,ESR1,CALM3->ESR1,False,False,True,7,4,estrogen_axis,True,False,False
CALM3,AR,CALM3->AR,False,False,True,1,1,androgen_axis,False,False,False
GNAI2,LHCGR,GNAI2->LHCGR,False,False,True,1,12,hpg_axis,False,False,False
GNAS,LHCGR,GNAS->LHCGR,False,False,True,1,12,hpg_axis,True,False,False
EGFR,AR,AR->EGFR,True,False,True,4,6,androgen_axis,True,False,False
EDNRB,GNA11,EDNRB->GNA11,False,False,True,2,3,gnrh_signaling,True,True,False
EDNRA,GNA11,EDNRA->GNA11,True,False,True,3,4,gnrh_signaling,True,False,False
CDK2,NCOA1,CDK2->NCOA1,True,False,True,3,7,coactivator_corepressor_carrier,False,False,True
PRKACA,STAR,PRKACA->STAR,False,False,True,3,4,steroid_biosynthesis,True,False,False
PRKCZ,NCOA3,PRKCZ->NCOA3,False,False,True,1,7,coactivator_corepressor_carrier,False,False,False
PRKACA,NCOR1,PRKACA->NCOR1,False,False,True,1,6,coactivator_corepressor_carrier,True,False,False
MTOR,AR,MTOR->AR,False,False,True,3,3,androgen_axis,True,False,True
PRKCA,AR,PRKCA->AR,False,False,True,1,6,androgen_axis,False,False,False
MAPK14,AR,MAPK14->AR,True,False,True,4,12,androgen_axis,False,False,True
PRKACA,CYP17A1,PRKACA->CYP17A1,False,False,True,2,7,androgen_axis,True,False,False
ABL1,ESR2,ABL1->ESR2,False,False,True,2,4,estrogen_axis,False,False,True
MAPK3,NCOA2,MAPK3->NCOA2,False,False,True,1,8,coactivator_corepressor_carrier,False,False,True
MAPK3,AR,MAPK3->AR,False,False,True,2,8,androgen_axis,True,False,True
PPP1CC,NCOR1,PPP1CC->NCOR1,False,False,True,1,1,coactivator_corepressor_carrier,False,False,False
PTPN1,ESR1,PTPN1->ESR1,False,False,True,1,4,estrogen_axis,True,False,False
RPS6KA1,ESR2,RPS6KA1->ESR2,False,False,True,1,8,estrogen_axis,False,False,True
EP300,AR,EP300->AR,True,False,True,5,9,androgen_axis,True,False,True
SUMO1,NCOA1,SUMO1->NCOA1,False,False,True,1,2,coactivator_corepressor_carrier,True,False,False
CDK2,NCOR1,CDK2->NCOR1,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
GSK3B,NCOA1,GSK3B->NCOA1,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
GSK3B,NCOA3,GSK3B->NCOA3,False,False,True,3,6,coactivator_corepressor_carrier,True,False,True
GSK3B,NCOR1,GSK3B->NCOR1,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
GSK3B,NCOR2,GSK3B->NCOR2,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
MAPK14,FKBP5,MAPK14->FKBP5,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
MAPK14,NCOA1,MAPK14->NCOA1,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
MAPK14,NCOR1,MAPK14->NCOR1,False,False,True,1,2,coactivator_corepressor_carrier,False,False,True
MAPK8,ESR1,MAPK8->ESR1,True,False,True,1,6,estrogen_axis,True,False,False
MAPK8,NCOA3,MAPK8->NCOA3,False,False,True,1,9,coactivator_corepressor_carrier,True,False,False
PRKCA,ESR1,PRKCA->ESR1,False,False,True,1,2,estrogen_axis,True,False,False
PRKCA,STAR,PRKCA->STAR,False,False,True,1,2,steroid_biosynthesis,False,False,False
