"tip","observed","predicted","surprise"
"Hapalemur_aureus",0,0.072,0.072
"Hapalemur_griseus",0,0.072,0.072
"Cercopithecus_neglectus",0,0.072,0.072
"Cercopithecus_diana",0,0.072,0.072
"Macaca_fascicularis",0,0.07,0.07
"Lophocebus_aterrimus",0,0.07,0.07
"Euoticus_pallidus",0,0.069,0.069
"Euoticus_elegantulus",0,0.069,0.069
"Galago_matschiei",0,0.066,0.066
"Rhinopithecus_bieti",0,0.066,0.066
"Presbytis_rubicunda",0,0.062,0.062
"Mico_nigriceps",0,0.061,0.061
"Saguinus_imperator",0,0.061,0.061
"Pongo_pygmaeus",0,0.06,0.06
"Pongo_abelii",0,0.06,0.06
"Aotus_trivirgatus",0,0.059,0.059
"Aotus_nigriceps",0,0.059,0.059
"Cercopithecus_lhoesti",0,0.059,0.059
"Otolemur_garnettii",0,0.058,0.058
"Otolemur_crassicaudatus",0,0.058,0.058
"Lepilemur_microdon",0,0.057,0.057
"Lepilemur_ruficaudatus",0,0.057,0.057
"Lepilemur_leucopus",0,0.057,0.057
"Papio_papio",0,0.057,0.057
"Cacajao_calvus",0,0.056,0.056
"Cacajao_melanocephalus",0,0.056,0.056
"Alouatta_sara",0,0.055,0.055
"Alouatta_seniculus",0,0.055,0.055
"Cercopithecus_mitis",0,0.054,0.054
"Cercopithecus_nictitans",0,0.054,0.054
"Lepilemur_edwardsi",0,0.052,0.052
"Callicebus_donacophilus",0,0.052,0.052
"Callicebus_caligatus",0,0.052,0.052
"Chiropotes_chiropotes",0,0.052,0.052
"Mandrillus_sphinx",0,0.052,0.052
"Mandrillus_leucophaeus",0,0.052,0.052
"Propithecus_tattersalli",0,0.05,0.05
"Propithecus_verreauxi",0,0.05,0.05
"Saguinus_midas",0,0.05,0.05
"Rhinopithecus_avunculus",0,0.05,0.05
"Cercopithecus_solatus",0,0.05,0.05
"Cercopithecus_cephus",0,0.05,0.05
"Lepilemur_septentrionalis",0,0.048,0.048
"Lepilemur_dorsalis",0,0.048,0.048
"Macaca_radiata",0,0.048,0.048
"Cercocebus_atys",0,0.048,0.048
"Microcebus_myoxinus",0,0.047,0.047
"Microcebus_rufus",0,0.047,0.047
"Callithrix_penicillata",0,0.045,0.045
"Ateles_paniscus",0,0.045,0.045
"Pygathrix_cinerea",0,0.045,0.045
"Macaca_ochreata",0,0.043,0.043
"Leontocebus_nigricollis",0,0.042,0.042
"Cebus_capucinus",0,0.041,0.041
"Rhinopithecus_roxellana",0,0.041,0.041
"Rhinopithecus_brelichi",0,0.041,0.041
"Macaca_tonkeana",0,0.041,0.041
"Macaca_assamensis",0,0.041,0.041
"Macaca_thibetana",0,0.041,0.041
"Pygathrix_nigripes",0,0.04,0.04
"Pygathrix_nemaeus",0,0.04,0.04
"Alouatta_pigra",0,0.039,0.039
"Alouatta_palliata",0,0.039,0.039
"Macaca_hecki",0,0.039,0.039
"Macaca_maura",0,0.039,0.039
"Leontocebus_tripartitus",0,0.037,0.037
"Leontocebus_fuscicollis",0,0.037,0.037
"Pan_troglodytes",0,0.037,0.037
"Pan_paniscus",0,0.037,0.037
"Saguinus_inustus",0,0.036,0.036
"Cercopithecus_erythrotis",0,0.036,0.036
"Cercopithecus_ascanius",0,0.036,0.036
"Simias_concolor",0,0.035,0.035
"Nasalis_larvatus",0,0.035,0.035
"Cercopithecus_dryas",0,0.034,0.034
"Saguinus_bicolor",0,0.033,0.033
"Saguinus_leucopus",0,0.033,0.033
"Cebus_albifrons",0,0.033,0.033
"Cebus_olivaceus",0,0.033,0.033
"Saimiri_boliviensis",0,0.032,0.032
"Macaca_cyclopis",0,0.032,0.032
"Macaca_mulatta",0,0.031,0.031
"Callicebus_cupreus",0,0.03,0.03
"Gorilla_gorilla",0,0.03,0.03
"Gorilla_beringei",0,0.03,0.03
"Cercopithecus_petaurista",0,0.03,0.03
"Cercopithecus_erythrogaster",0,0.03,0.03
"Macaca_silenus",0,0.029,0.029
"Macaca_nemestrina",0,0.029,0.029
"Cercopithecus_mona",0,0.029,0.029
"Cercopithecus_pogonias",0,0.029,0.029
"Papio_ursinus",0,0.028,0.028
"Papio_cynocephalus",0,0.028,0.028
"Saimiri_oerstedii",0,0.026,0.026
"Ateles_chamek",0,0.026,0.026
"Ateles_geoffroyi",0,0.025,0.025
"Ateles_fusciceps",0,0.025,0.025
"Macaca_fuscata",0,0.025,0.025
"Macaca_nigra",0,0.025,0.025
"Chlorocebus_aethiops",0,0.024,0.024
"Cercopithecus_sclateri",0,0.024,0.024
"Saimiri_ustus",0,0.023,0.023
"Callicebus_moloch",0,0.022,0.022
"Callicebus_hoffmannsi",0,0.022,0.022
"Callithrix_aurita",0,0.022,0.022
"Callithrix_kuhlii",0,0.022,0.022
"Galago_moholi",0,0.021,0.021
"Presbytis_melalophos",0,0.021,0.021
"Ateles_marginatus",0,0.02,0.02
"Ateles_belzebuth",0,0.02,0.02
"Chiropotes_albinasus",0,0.019,0.019
"Chiropotes_satanas",0,0.019,0.019
"Leontopithecus_chrysopygus",0,0.019,0.019
"Saguinus_mystax",0,0.019,0.019
"Saguinus_labiatus",0,0.019,0.019
"Pithecia_albicans",0,0.018,0.018
"Pithecia_aequatorialis",0,0.018,0.018
"Mico_humeralifer",0,0.018,0.018
"Saguinus_oedipus",0,0.016,0.016
"Saguinus_geoffroyi",0,0.016,0.016
"Saimiri_vanzolinii",0,0.016,0.016
"Saimiri_sciureus",0,0.016,0.016
"Callithrix_jacchus",0,0.014,0.014
"Callithrix_geoffroyi",0,0.014,0.014
"Galago_senegalensis",0,0.013,0.013
"Galago_gallarum",0,0.013,0.013
"Pithecia_monachus",0,0.013,0.013
"Pithecia_irrorata",0,0.013,0.013
"Mico_mauesi",0,0.012,0.012
"Callithrix_flaviceps",0,0.012,0.012
"Macaca_sinica",0,0.012,0.012
"Macaca_nigrescens",0,0.012,0.012
"Cercocebus_agilis",0,0.007,0.007
"Cercocebus_galeritus",0,0.007,0.007
"Leontopithecus_rosalia",0,0.005,0.005
"Presbytis_femoralis",0,0.004,0.004
"Presbytis_comata",0,0.004,0.004
"Lophocebus_albigena",0,0.004,0.004
"Cercocebus_torquatus",0,0.004,0.004
"Leontopithecus_chrysomelas",0,0.002,0.002
"Leontopithecus_caissara",0,0.002,0.002
