species,chosen_accession,assembly_level,annotated,dichromatism,family,pipeline_path
Nycticebus_coucang,GCF_027406575.1,Chromosome,True,monochromatic,nycticebus,direct
Otolemur_crassicaudatus,GCA_963574585.1,Scaffold,False,monochromatic,otolemur,miniprot
Otolemur_garnettii,GCF_000181295.1,Scaffold,True,monochromatic,otolemur,direct
Pan_paniscus,GCF_029289425.2,Chromosome,True,monochromatic,pan,direct
Pan_troglodytes,GCF_028858775.2,Chromosome,True,monochromatic,pan,direct
Papio_kindae,GCA_963573405.1,Scaffold,False,monochromatic,papio,miniprot
Perodicticus_potto,GCA_963574655.1,Scaffold,False,monochromatic,perodicticus,miniprot
Pongo_abelii,GCF_028885655.2,Chromosome,True,monochromatic,pongo,direct
Pongo_pygmaeus,GCF_028885625.2,Chromosome,True,monochromatic,pongo,direct
Propithecus_coquereli,GCF_000956105.1,Scaffold,True,monochromatic,propithecus,direct
Propithecus_deckenii,GCA_963574665.1,Scaffold,False,monochromatic,propithecus,miniprot
Propithecus_diadema,GCA_963575075.1,Scaffold,False,monochromatic,propithecus,miniprot
Propithecus_edwardsi,GCA_963575085.1,Scaffold,False,monochromatic,propithecus,miniprot
Propithecus_perrieri,GCA_963574695.1,Scaffold,False,monochromatic,propithecus,miniprot
Propithecus_tattersalli,GCA_963574315.1,Scaffold,False,monochromatic,propithecus,miniprot
Propithecus_verreauxi,GCA_963575125.1,Scaffold,False,monochromatic,propithecus,miniprot
Saguinus_bicolor,GCA_963574455.1,Scaffold,False,monochromatic,saguinus,miniprot
Saguinus_geoffroyi,GCA_963574215.1,Scaffold,False,monochromatic,saguinus,miniprot
Saguinus_imperator,GCA_004024885.1,Scaffold,False,monochromatic,saguinus,miniprot
Saguinus_inustus,GCA_963574735.1,Scaffold,False,monochromatic,saguinus,miniprot
Saguinus_labiatus,GCA_963575005.1,Scaffold,False,monochromatic,saguinus,miniprot
Saguinus_midas,GCA_021498475.1,Chromosome,False,monochromatic,saguinus,miniprot
Saguinus_mystax,GCA_963574345.1,Scaffold,False,monochromatic,saguinus,miniprot
Saguinus_oedipus,GCA_031835075.1,Chromosome,False,monochromatic,saguinus,miniprot
Saimiri_cassiquiarensis,GCA_963573395.1,Scaffold,False,monochromatic,saimiri,miniprot
Saimiri_macrodon,GCA_963573505.1,Scaffold,False,monochromatic,saimiri,miniprot
Tarsius_lariang,GCA_963574405.1,Scaffold,False,monochromatic,tarsius,miniprot
Tarsius_wallacei,GCA_963574415.1,Scaffold,False,monochromatic,tarsius,miniprot
