gene,module,n_tips,n_dich,pgls_beta,pgls_p,lambda,phyloglm_beta,phyloglm_p,phyloglm_alpha,degenerate,pgls_p_BH,phyloglm_p_BH,perm_p
LYST,pigmentation,93,18,-0.002762797453272167,0.6219516407273091,0.9608169885530602,-4.889099132383781e-4,0.9886525362505802,0.16473200294140053,FALSE,0.9815810067864432,1,NA
EDN3,pigmentation,76,17,0.0020717950043419326,0.6333520106060767,0.8943382939619197,0.014037035738085577,0.48305824539339515,0.07968107696893298,FALSE,0.9815810067864432,1,NA
HSD17B6,hormone,84,18,-0.0024990119679024502,0.6387742355962576,0.8780937126682921,-3.343864220095711e-5,0.9990915952447359,0.16839890349009234,FALSE,0.9815810067864432,1,NA
MITF,pigmentation,88,15,0.0024002021851211525,0.6413209495412093,0.7645214251382512,4.554789501760274e-4,0.9890353229876656,0.22431133698729017,FALSE,0.9815810067864432,1,NA
HPS1,pigmentation,89,20,-0.0024293115462555416,0.6435109674533427,0.9228092658127295,9.013187876341812e-5,0.9973023388247402,0.18121456798308583,FALSE,0.9815810067864432,1,NA
SLC44A4,pigmentation,94,20,-0.002390323108809226,0.6526797477094008,0.8869452358464043,-3.872380311102708e-4,0.9895197644385143,0.2067682413006808,FALSE,0.9815810067864432,1,NA
NCOA3,hormone,85,20,0.002008485845473339,0.6750663171450331,0.9257280816646795,3.113170410729116e-4,0.9874429890487912,0.10979177220947015,FALSE,0.9815810067864432,1,NA
CGA,hormone,56,13,-0.0028343033592102386,0.6807509473609665,0.8756214917960623,-1.1218552622761581e-4,0.9966495263345867,0.09971885630914398,FALSE,0.9815810067864432,1,NA
TFAP2A,pigmentation,88,21,-0.004525292332096391,0.6903184688653237,0.896182776098308,-9.396265740158004e-4,0.9886805438119964,0.17802503436474412,FALSE,0.9815810067864432,1,NA
STAR,hormone,86,17,0.0019253029701499324,0.70740995366794035,0.6737888278539831,0.010015037557694126,0.7142657333034156,0.22937830928285227,FALSE,0.9815810067864432,1,NA
GNAQ,hormone,71,13,0.04994657132988743,0.7193440512041238,0.553243612030007,-2.1709289611547382e-5,0.9999783809365158,0.23534123510495836,FALSE,0.9815810067864432,1,NA
SLC1A2,pigmentation,89,19,-0.003712383006830082,0.7197123009369792,0.8989829991722278,7.53475930089155e-4,0.9882856183783172,0.18413206097907045,FALSE,0.9815810067864432,1,NA
ASIP,pigmentation,79,14,-0.001804261948930994,0.7219524609443027,0.8774464169053077,-0.020056741236969107,0.5713344640130729,0.16671502570257585,FALSE,0.9815810067864432,1,NA
EP300,pigmentation,87,19,-0.003001812992625238,0.7245723266669277,0.8736096131678431,-0.9633176742366616,0.2881911752569233,0.16777823429862562,FALSE,0.9815810067864432,1,NA
GNRH1,hormone,89,21,-0.001326480778705436,0.7344116207450776,0.9072510012050573,0.00265347509794891,0.888548868105332,0.18668659205434324,FALSE,0.9815810067864432,1,NA
LHCGR,hormone,89,20,-0.0014295319418768716,0.7631559047308523,0.9142879876839263,-0.01075653431405849,0.6421189305608415,0.10566403950004076,FALSE,0.9815810067864432,1,NA
HPS5,pigmentation,92,20,-0.0012500355031032607,0.7635636229407421,0.8795115152370268,-0.006269412173250051,0.797996390916508,0.19497700126221557,FALSE,0.9815810067864432,1,NA
RAB5C,pigmentation,39,11,-0.097654937841281,0.7647200866824616,0.7793504949562494,-0.7100691817072237,0.6905079082638053,0.11160690392026551,FALSE,0.9815810067864432,1,NA
MC1R,pigmentation,86,18,0.0012636463188748805,0.7919517945962249,0.8174168111247928,2.3653842795863322e-4,0.992598775607329,0.20899142493560172,FALSE,0.9941824772656289,1,NA
HSD17B2,hormone,93,20,0.0014318152497329489,0.8038682985910941,0.8896255393493386,0.0021156688096685356,0.9388026781452473,0.1268763297062696,FALSE,0.9941824772656289,1,NA
CTNNB1,pigmentation,87,19,-0.018283299752787845,0.8377729402076811,0.9233917163385841,0.07170925708718671,0.8797572736307576,0.15509983220656662,FALSE,0.9941824772656289,1,NA
AP3D1,pigmentation,92,20,-0.0014721109831526981,0.8391427818926308,0.8907201811820974,-2.9012260678414574e-4,0.9940573099614165,0.2118856115977235,FALSE,0.9941824772656289,1,NA
PPP3CA,pigmentation,84,18,-0.0010031220651039372,0.849284487823203,0.9304531017744129,0.016471786624855284,0.43654904042250753,0.04837948769684234,FALSE,0.9941824772656289,1,NA
ESR2,hormone,91,20,9.127612748831456e-4,0.8585027799333348,0.9334089687549069,2.9313367767804953e-4,0.9905604382512718,0.1250658148270752,FALSE,0.9941824772656289,1,NA
SLC24A5,pigmentation,99,21,6.403144225336529e-4,0.8641310562962672,0.9213886111362938,0.006355136595511435,0.6730983660283107,0.08309466248948202,FALSE,0.9941824772656289,1,NA
HSD17B3,hormone,92,20,-7.666007492175597e-4,0.8735670760014069,0.873833064640688,-1.993783571515625e-4,0.9942543109028125,0.19060211334164298,FALSE,0.9941824772656289,1,NA
FKBP5,hormone,94,21,-5.340166000006307e-4,0.9038338989863794,0.9398880833934684,8.613126938860619e-4,0.973579939450987,0.18090287462166552,FALSE,0.9941824772656289,1,NA
CYP11A1,hormone,84,18,6.430873069644508e-4,0.9326887909660244,0.7516870574201715,0.019599586145115873,0.642881777749692,0.22992890648393058,FALSE,0.9941824772656289,1,NA
CYP17A1,hormone,56,14,-5.419841697468296e-4,0.9410666414038316,0.7852867148348099,-1.284672649146789e-4,0.9971448945527797,0.19997257102997013,FALSE,0.9941824772656289,1,NA
GPR143,pigmentation,91,17,-2.1307821721318332e-4,0.9511017760112009,0.9281267976765412,-7.394253090142639e-4,0.9660044184409948,0.14095087486323635,FALSE,0.9941824772656289,1,NA
GPER1,hormone,92,21,6.991341720134672e-4,0.9641599462411947,0.9042638810446092,6.058100742583677e-4,0.994096714896642,0.1956353043675883,FALSE,0.9941824772656289,1,NA
RACK1,pigmentation,88,18,3.936558044789153e-4,0.9664936048496366,0.7738542683329781,4.4957988795634514e-4,0.9921673721198404,0.2304811240458793,FALSE,0.9941824772656289,1,NA
SCARB1,hormone,79,18,-2.422345686103607e-4,0.9715365493762078,0.924301944926872,0.023522927906295673,0.5433510599799326,0.14990142483444016,FALSE,0.9941824772656289,1,NA
CYP11B2,hormone,82,16,2.1616269687252648e-4,0.973741894800513,0.5114569363323073,8.907199249967113e-5,0.998020234649784,0.25593239475947366,FALSE,0.9941824772656289,1,NA
FSHB,hormone,95,21,1.0745815210083156e-4,0.9799811940978121,0.9208011195034964,0.0020951183731181054,0.9261920515666198,0.1847384449379024,FALSE,0.9941824772656289,1,NA
HPS3,pigmentation,95,19,-4.762651450997949e-5,0.9929831227995343,0.8964278892511329,0.021965796374367852,0.5005832808660311,0.17770389076601112,FALSE,0.9941824772656289,1,NA
KISS1R,hormone,88,19,3.976913557972006e-5,0.9941824772656289,0.9113698735412981,0.01347370926824379,0.5896948878279289,0.08886177609825702,FALSE,0.9941824772656289,1,NA
BLOC1S6,pigmentation,29,5,NA,NA,NA,9.29035589568479e-5,0.9999491634871455,0.3499508745202429,FALSE,NA,1,NA
BNC2,pigmentation,80,15,NA,NA,NA,6.560462504565073e-4,0.9843766611939918,0.06176136130798431,FALSE,NA,1,NA
CYP21A2,hormone,70,14,NA,NA,NA,2.5756084803151696e-4,0.9937594486567084,0.22858292308582023,FALSE,NA,1,NA
CYP7B1,hormone,83,17,NA,NA,NA,3.53863300876771e-4,0.9896377683966895,0.1920592801034717,FALSE,NA,1,NA
EGFR,pigmentation,85,17,NA,NA,NA,3.1735673175977645e-4,0.9952230148427728,0.19809105444799002,FALSE,NA,1,NA
ESR1,hormone,91,19,NA,NA,NA,1.9755201393337367e-4,0.9935267324996824,0.14822815962668606,FALSE,NA,1,NA
HSD17B1,hormone,36,4,NA,NA,NA,-0.03191271617120988,0.6706890969387276,0.8713001048833713,FALSE,NA,1,NA
HSD17B11,hormone,87,19,NA,NA,NA,-5.652830030576324e-4,0.9836027016895886,0.09812989828217845,FALSE,NA,1,NA
LHB,hormone,64,11,NA,NA,NA,-0.020294460649485015,0.6763111022695222,0.1426233675916483,FALSE,NA,1,NA
MFSD12,pigmentation,54,6,NA,NA,NA,-1.1501774499233288e-4,0.9930476554959401,0.04523552107065449,FALSE,NA,1,NA
MLANA,pigmentation,78,13,NA,NA,NA,1.2144537143546428e-4,0.9951581225968347,0.05391604004361762,FALSE,NA,1,NA
MRAP2,pigmentation,62,14,NA,NA,NA,0.04100982018594959,0.47549612857316614,0.04757391990114892,FALSE,NA,1,NA
NCOR2,hormone,83,17,NA,NA,NA,-1.1293041800428367,0.4811279136917661,0.18493434093959044,FALSE,NA,1,NA
OCA2,pigmentation,73,13,NA,NA,NA,-3.7039619078520485e-4,0.9898197602855385,0.01595224159335414,FALSE,NA,1,NA
PAX3,pigmentation,88,19,NA,NA,NA,-0.044984672338047,0.7048098822477221,0.12554488341046077,FALSE,NA,1,NA
