gene,set,K,p,n_tips,n_fg,fg_branch_len,tree_len,pct_gaps,aln_ref_ratio,flags
GNRH2,hormone,1.358321574050675,1,48,9,0.0,0.48322,0.42,0.966,near_zero_fg
GNRHR,hormone,0.726566576900799,0.2717488677698007,93,21,0.04349,0.40887,11.96,1.0,clean
GPER1,hormone,17.76203454972112,0.3803548734843059,92,21,0.03785,1.16075,0.03,1.0,clean
HSD17B1,hormone,2.93188262931127,2.129904030923058e-10,36,4,2.0969,3.56726,8.77,0.851,clean
HSD17B11,hormone,1.207910343633457,0.5371416929319086,87,19,0.50696,6.63229,14.54,0.767,branch_len_blowup
HSD17B12,hormone,2.52438021620289,4.289460120432409e-09,46,9,0.44535,0.85355,8.19,0.821,clean
HSD17B2,hormone,1.897918874345887,0.03537218241317752,93,20,22.13935,29.69635,14.68,0.429,branch_len_blowup
HSD17B3,hormone,1.387744218566408,0.0495461948959377,92,20,0.41591,2541.75049,7.93,0.513,branch_len_blowup
HSD17B6,hormone,0.9837523999571596,0.9334697865245246,84,18,1.09752,10.88925,9.18,0.975,branch_len_blowup
HSD17B7,hormone,1.315245687562477,0.00864130727224044,74,18,0.12581,0.77737,8.4,0.979,clean
HSD17B8,hormone,50,0.2542765241259248,50,10,0.00129,0.17514,0.0,0.985,near_zero_fg
HSD3B1,hormone,0.09709535782916588,0.07925290460164958,74,16,0.27351,1.3723,10.58,1.0,clean
HSD3B2,hormone,0.1336988159494741,0.02122913868113829,58,11,0.06317,0.55925,10.22,0.884,clean
IRF4,pigmentation,1.196260750171102,0.2733169649067693,90,21,0.0493,0.52339,3.61,1.0,clean
KISS1,hormone,0.718703452998976,0.1000987897869955,67,19,0.06105,1.22429,0.85,0.938,clean
KISS1R,hormone,4.981681052842976e-14,8.50420289744136e-10,88,19,0.28585,1.1804,7.2,1.0,K_boundary
KIT,pigmentation,1.497144713565082,0.8398379859318622,17,4,0.0076,0.08761,0.0,0.973,near_zero_fg
KITLG,pigmentation,1.301217849556824,0.0001986572713004175,99,21,0.53292,2.11583,5.58,0.813,clean
LDLR,hormone,1.272422223386402,5.492545729979259e-05,70,18,202.16425,334.23179,12.82,0.875,branch_len_blowup
LEF1,pigmentation,35.60638738788781,0.8304795348141953,58,14,0.00151,42.37474,7.18,0.565,near_zero_fg|branch_len_blowup
LHB,hormone,0.8799499253649579,0.4993338271943922,64,11,0.2494,2.13551,5.08,0.994,clean
LHCGR,hormone,0.3213025510815606,0.008868157040173408,89,20,0.02025,5.5119,0.24,0.57,branch_len_blowup
MC1R,pigmentation,0.4530389358137035,0.04301218579980526,86,18,0.03761,0.7981,0.01,1.0,clean
MFSD12,pigmentation,0.3672440159119029,1.153201163450746e-06,54,6,0.50205,2386.49955,11.86,0.73,branch_len_blowup
MITF,pigmentation,0.6106773495561894,0.2475950191591645,88,15,0.01564,0.36288,16.45,0.779,clean
MLANA,pigmentation,0.3918649502626662,0.6191719448894537,78,13,0.00548,3.79404,14.57,1.0,near_zero_fg
MRAP2,pigmentation,9.04000966249574,0.1783101793703574,62,14,0.00264,0.2527,0.0,0.629,near_zero_fg
NCOA1,hormone,1.001351145218654,0.9878713641817067,96,21,0.02477,8.67778,6.01,0.386,branch_len_blowup
NCOA2,hormone,1.00129293264027,0.9954322473097033,95,20,0.20684,3.93956,9.98,0.595,clean
NCOA3,hormone,0.9321364194661366,0.4048190073230868,85,20,0.01929,0.32003,8.9,0.792,clean
NCOR2,hormone,0.8673354767186031,0.2704565289146659,83,17,0.07142,1.50373,12.11,0.454,clean
OCA2,pigmentation,0.5738780460445614,0.5286095471005461,73,13,0.48011,4489.79216,24.65,0.132,branch_len_blowup|gaps_gt_20pct
PAX3,pigmentation,1.411912439233397,0.01258587693657365,88,19,205.78041,266.79605,12.55,0.586,branch_len_blowup
PMEL,pigmentation,0.8684130890881213,0.9884049975873573,88,21,10.80271,1075.78033,1.41,0.783,branch_len_blowup
POMC,pigmentation,3.105221737592792,1.662517568057353e-09,40,8,1.05502,1.83795,3.33,0.676,clean
SCARB1,hormone,1.294183872364792,0.0003832087047936916,79,18,1.87213,7.46541,16.19,0.717,branch_len_blowup
SHBG,hormone,0.2394352082210147,0.00571466895793582,50,13,0.02486,0.31757,4.2,1.0,clean
SLC24A4,pigmentation,1.242203986811845,0.4089114947157826,95,20,34318.97769,37707.06819,11.49,0.545,branch_len_blowup
SLC24A5,pigmentation,1.140530476849868,0.3277012200115436,99,21,0.07536,0.62382,4.96,0.806,clean
SLC45A2,pigmentation,0.9156750085085422,0.8167843648324998,95,21,0.04067,0.88235,16.74,0.649,clean
SOX10,pigmentation,1.009082726783273,0.8842210886725077,94,17,1.0998,15.14481,8.06,0.981,branch_len_blowup
SRD5A1,hormone,2.323385093487047,4.670142494944685e-09,91,18,1.18214,2.49783,22.43,0.897,gaps_gt_20pct
SRD5A2,hormone,8.46505892626824,0.1591812045557366,59,12,0.00457,0.14491,0.88,0.634,near_zero_fg
SRD5A3,hormone,0.9147934000545848,0.8054101762181396,60,10,0.30149,7.78599,9.7,0.858,branch_len_blowup
STAR,hormone,0.747579972336053,0.5564280153219561,86,17,0.02272,0.58241,5.05,1.0,clean
STS,hormone,1.639606301577698,0.07138415217242478,94,19,220.10895,338.65336,10.99,0.541,branch_len_blowup
SULT1E1,hormone,2.446318122422539,0.09884191281469279,93,20,0.02029,0.486,9.64,1.0,clean
TFAP2A,pigmentation,1.928375906095212,8.912524419701917e-06,88,21,1.29314,1.61979,1.19,1.0,clean
TYR,pigmentation,2.179116633683003,9.18283993289748e-09,97,20,0.21044,0.94544,3.77,0.653,clean
TYRP1,pigmentation,1.618772219530023,0.07536211178910068,95,21,0.03394,0.38546,4.51,0.782,clean
